Time,syn3A_1,syn3A_2,syn3A_3,syn3A_4
0,1340467.667,277382.6667,0,0
4,3559680.667,1770766.667,1318074.667,603192.6667
8,8183981.667,7020181.667,5165021.667,3938277.667
12,9242372.667,5983762.667,4962553.667,3729813.667
16,7542735.667,4136821.667,4203054.667,2722057.667
20,5042731.667,3644785.667,2341309.667,2439756.667
24,5804626.667,4394256.667,2429018.667,2217122.667
28,5490362.667,4080552.667,2760938.667,1877075.667
32,3834766.667,2735096.667,1716789.667,1087793.667
36,12438597.67,10763193.67,5265287.667,5409593.667
40,41825479.67,32627325.67,20135833.67,20132887.67
44,216846851.7,201046773.7,140615914.7,125440109.7
48,339245429.7,334760055.7,332361491.7,335498731.7
52,300713385.7,305894243.7,317470250.7,292515080.7
56,298691301.7,282926308.7,309373760.7,344586431.7
60,238791407.7,261397795.7,261510348.7,246244217.7
64,207943349.7,231157024.7,240786642.7,233062492.7
68,218049451.7,238444145.7,232143332.7,260018233.7
72,205107748.7,196487275.7,197746828.7,196854101.7
