Time,syn3B_1,syn3B_2,syn3B_3,syn3B_4
0,0,0,0,0
4,846014.6667,174524.6667,1139024.667,0
8,3652069.667,3586096.667,3727069.667,2196207.667
12,2952427.667,3259616.667,3189370.667,1501075.667
16,1468749.667,3216282.667,2138509.667,44152.66667
20,1895641.667,1829493.667,1987964.667,1128485.667
24,1966125.667,1830164.667,2382493.667,1958466.667
28,2160410.667,1415170.667,2310882.667,749773.6667
32,1998841.667,1902609.667,1231405.667,202527.6667
36,10139034.67,6449346.667,5636721.667,3356044.667
40,47262751.67,37976576.67,25230796.67,20725867.67
44,271653495.7,230737740.7,151002304.7,139786503.7
48,231564742.7,251026270.7,258112147.7,257008529.7
52,191757343.7,215003159.7,224445211.7,204160226.7
56,204580739.7,222707719.7,209058834.7,180126520.7
60,120257548.7,122217196.7,160964031.7,147117413.7
64,137014160.7,163797735.7,164368197.7,159382435.7
68,148241410.7,153445278.7,146698389.7,154415653.7
72,121966938.7,121954098.7,114536892.7,119002528.7
