Time,syn1.0_1,syn1.0_2,syn1.0_3,syn1.0_4
0,12360688.67,15210241.67,13120449.67,14665694.67
4,24605724.67,33062467.67,25187486.67,26673720.67
8,106770078.7,98832114.67,95086096.67,92638817.67
12,246722219.7,197112874.7,196548576.7,176453481.7
16,366397491.7,296712621.7,352013480.7,340332522.7
20,495675798.7,476639468.7,497583242.7,500423249.7
24,526842591.7,651451474.7,604480916.7,557358592.7
28,434784717.7,657391010.7,597093977.7,664261750.7
32,693006356.7,687695820.7,642859152.7,713165605.7
36,507090146.7,703160909.7,701479345.7,772603520.7
40,631856315.7,697482859.7,626250092.7,675920818.7
44,451717618.7,760288070.7,769397994.7,730911876.7
48,558826074.7,601903003.7,628839047.7,616467835.7
52,596916302.7,562483720.7,603380440.7,701303118.7
56,650962923.7,656117986.7,616237692.7,544412127.7
60,566247205.7,642634758.7,568838341.7,540647590.7
64,477065037.7,385389053.7,594097840.7,634997298.7
68,553763359.7,634451541.7,609172796.7,636989720.7
72,568874240.7,638143740.7,418326228.7,878025792.7
