timepoint,strain,OD,OD_X1000
Ancestor,JCVI-syn3B,0.093,93
Ancestor,JCVI-syn3B,0.074,74
Ancestor,JCVI-syn3B,0.062,62
Ancestor,JCVI-syn3B,0.074,74
Ancestor,JCVI-syn3B,0.071,71
Ancestor,JCVI-syn3B,0.102,102
Evolved,JCVI-syn3B,0.516,494
Evolved,JCVI-syn3B,0.424333333,525
Evolved,JCVI-syn3B,0.475666667,529
Evolved,JCVI-syn3B,0.632,459
Ancestor,JCVI-syn1.0,0.774,422
Ancestor,JCVI-syn1.0,0.958,392
Ancestor,JCVI-syn1.0,0.793,552
Ancestor,JCVI-syn1.0,0.805,405
Ancestor,JCVI-syn1.0,1.074,774
Ancestor,JCVI-syn1.0,0.854,958
Evolved,JCVI-syn1.0,1.795333333,793
Evolved,JCVI-syn1.0,1.663333333,805
Evolved,JCVI-syn1.0,1.496666667,1074
Evolved,JCVI-syn1.0,1.558333333,854
