timepoint,strain,Diameter,Area,Volume,Pixels
Ancestor,JCVI-syn3B,0.398634976,0.1248075,0.033168423,30
Ancestor,JCVI-syn3B,0.549480395,0.23713425,0.086867081,57
Ancestor,JCVI-syn3B,0.341370599,0.0915255,0.02082941,22
Ancestor,JCVI-syn3B,0.674938185,0.3577815,0.160986931,86
Ancestor,JCVI-syn3B,0.642779586,0.3244995,0.139054436,78
Ancestor,JCVI-syn3B,0.845632485,0.56163375,0.316623829,135
Ancestor,JCVI-syn3B,0.839345168,0.55331325,0.309613868,133
Ancestor,JCVI-syn3B,0.61756265,0.299538,0.123322321,72
Ancestor,JCVI-syn3B,0.634485308,0.316179,0.13374062,76
Ancestor,JCVI-syn3B,0.742217934,0.432666,0.21408831,104
Ancestor,JCVI-syn3B,0.317242654,0.07904475,0.016717578,19
Ancestor,JCVI-syn3B,0.291121825,0.066564,0.012918822,16
Ancestor,JCVI-syn3B,0.504237792,0.199692,0.067128169,48
Ancestor,JCVI-syn3B,0.363902281,0.10400625,0.025232074,25
Ancestor,JCVI-syn3B,0.51975642,0.21217275,0.073518766,51
Ancestor,JCVI-syn3B,0.102927108,0.0083205,0.000570937,2
Ancestor,JCVI-syn3B,0.363902281,0.10400625,0.025232074,25
Ancestor,JCVI-syn3B,0.178274981,0.0249615,0.002966674,6
Ancestor,JCVI-syn3B,0.405224431,0.12896775,0.034840589,31
Ancestor,JCVI-syn3B,0.482770931,0.183051,0.058914468,44
Ancestor,JCVI-syn3B,0.405224431,0.12896775,0.034840589,31
Ancestor,JCVI-syn3B,0.504237792,0.199692,0.067128169,48
Ancestor,JCVI-syn3B,0.218341369,0.03744225,0.005450128,9
Ancestor,JCVI-syn3B,0.178274981,0.0249615,0.002966674,6
Ancestor,JCVI-syn3B,0.230152011,0.0416025,0.006383266,10
Ancestor,JCVI-syn3B,0.504237792,0.199692,0.067128169,48
Ancestor,JCVI-syn3B,0.378178344,0.11232675,0.028319696,27
Ancestor,JCVI-syn3B,0.411708433,0.133128,0.036539947,32
Ancestor,JCVI-syn3B,0.436682738,0.149769,0.043601025,36
Ancestor,JCVI-syn3B,0.442706232,0.15392925,0.045430292,37
Ancestor,JCVI-syn3B,0.493621071,0.1913715,0.06297667,46
Ancestor,JCVI-syn3B,0.317242654,0.07904475,0.016717578,19
Ancestor,JCVI-syn3B,0.349042806,0.09568575,0.022265615,23
Ancestor,JCVI-syn3B,0.252118896,0.049923,0.008391021,12
Ancestor,JCVI-syn3B,0.363902281,0.10400625,0.025232074,25
Ancestor,JCVI-syn3B,0.325484095,0.083205,0.018054603,20
Ancestor,JCVI-syn3B,0.325484095,0.083205,0.018054603,20
Ancestor,JCVI-syn3B,0.436682738,0.149769,0.043601025,36
Ancestor,JCVI-syn3B,0.51975642,0.21217275,0.073518766,51
Ancestor,JCVI-syn3B,0.317242654,0.07904475,0.016717578,19
Ancestor,JCVI-syn3B,0.356549962,0.099846,0.023733392,24
Ancestor,JCVI-syn3B,0.53975431,0.22881375,0.082335472,55
Ancestor,JCVI-syn3B,0.363902281,0.10400625,0.025232074,25
Ancestor,JCVI-syn3B,0.218341369,0.03744225,0.005450128,9
Ancestor,JCVI-syn3B,0.398634976,0.1248075,0.033168423,30
Ancestor,JCVI-syn3B,0.418091891,0.13728825,0.038266069,33
Ancestor,JCVI-syn3B,0.272319532,0.0582435,0.010573895,14
Ancestor,JCVI-syn3B,0.477253368,0.17889075,0.056917475,43
Ancestor,JCVI-syn1.0,0.820194088,0.52835175,0.288900654,127
Ancestor,JCVI-syn1.0,0.509463194,0.20385225,0.069236812,49
Ancestor,JCVI-syn1.0,0.659055062,0.3411405,0.149886916,82
Ancestor,JCVI-syn1.0,0.724156397,0.41186475,0.198836329,99
Ancestor,JCVI-syn1.0,0.586774798,0.27041625,0.105782294,65
Ancestor,JCVI-syn1.0,0.405224431,0.12896775,0.034840589,31
Ancestor,JCVI-syn1.0,0.564928259,0.250655063,0.094401419,60.25
Ancestor,JCVI-syn1.0,0.540979633,0.229853813,0.082897487,55.25
Ancestor,JCVI-syn1.0,0.573073886,0.2579355,0.098544066,62
Ancestor,JCVI-syn1.0,0.979160897,0.75300525,0.491542197,181
Ancestor,JCVI-syn1.0,0.411708433,0.133128,0.036539947,32
Ancestor,JCVI-syn1.0,0.295635611,0.068644125,0.013529099,16.5
Ancestor,JCVI-syn1.0,0.371108967,0.1081665,0.026761039,26
Ancestor,JCVI-syn1.0,0.493621071,0.1913715,0.06297667,46
Ancestor,JCVI-syn1.0,0.454513804,0.16224975,0.049163167,39
Ancestor,JCVI-syn1.0,0.493621071,0.1913715,0.06297667,46
Ancestor,JCVI-syn1.0,0.442706232,0.15392925,0.045430292,37
Ancestor,JCVI-syn1.0,0.549480395,0.23713425,0.086867081,57
Ancestor,JCVI-syn1.0,0.49895767,0.19553175,0.065041378,47
Ancestor,JCVI-syn1.0,0.551885135,0.239214375,0.088012572,57.5
Ancestor,JCVI-syn1.0,0.51975642,0.21217275,0.073518766,51
Ancestor,JCVI-syn1.0,0.544639064,0.232974,0.084591161,56
Ancestor,JCVI-syn1.0,0.669026204,0.351541125,0.156793483,84.5
Ancestor,JCVI-syn1.0,0.56375499,0.249615,0.093814468,60
Ancestor,JCVI-syn1.0,0.934881888,0.68644125,0.427827661,165
Ancestor,JCVI-syn1.0,0.49895767,0.19553175,0.065041378,47
Ancestor,JCVI-syn1.0,0.529849719,0.22049325,0.077885524,53
Ancestor,JCVI-syn1.0,0.836183781,0.549153,0.306128555,132
Ancestor,JCVI-syn1.0,0.579964801,0.264175875,0.102141806,63.5
Ancestor,JCVI-syn1.0,0.720489758,0.4077045,0.195831278,98
Ancestor,JCVI-syn1.0,0.509463194,0.20385225,0.069236812,49
Evolved,JCVI-syn1.0,1.158619308,1.054317474,0.814368388,253.4264706
Evolved,JCVI-syn1.0,0.962869282,0.728156189,0.467412818,175.027027
Evolved,JCVI-syn1.0,0.890383938,0.62265075,0.369598818,149.6666667
Evolved,JCVI-syn1.0,1.015951414,0.810654429,0.549057009,194.8571429
Evolved,JCVI-syn3B,0.631421768,0.313133103,0.131812705,75.26785714
Evolved,JCVI-syn3B,0.429627625,0.144968712,0.041521709,34.84615385
Evolved,JCVI-syn3B,0.478572843,0.179881286,0.057390866,43.23809524
Evolved,JCVI-syn3B,0.438107481,0.150747882,0.044029183,36.23529412
