LINE_ID,strain,tot,generations,per_genome_per_gen,bpsub_per_genome,per_CDS_per_gen,bpsub_per_CDS,per_nt_per_gen,bpsub_per_nt,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot,genome_len,CDS_len,AT/GC_genome,AT_proportion_genome,to_AT_tot,to_CG_tot,AT/GC_muts,GC/AT_muts,ts,tv,ts/tv,dN,dS,dN_dS,in_CDS,not_in_CDS
s1_1,MA_s1,27,792.784944,0.034057155,0.032795779,0.029242881,0.028159812,3.16E-08,3.04E-08,0,1,0,1,3,1,1,7,13,0,0,,2,0,2,,,0,2,,2,0,2,1078809,926310,3.166862365,0.760011272,20,4,5,0.2,10,16,0.625,17,6,0.74241623,22,4
s1_2,MA_s1,25,792.784944,0.031534403,0.029011651,0.027076742,0.024910603,2.92E-08,2.69E-08,1,1,0,0,1,1,1,11,9,0,0,6,1,6,1,,,6,1,6,1,6,1,1078809,926310,3.166862365,0.760011272,20,1,20,0.05,12,11,1.090909091,17,3,1.48483791,19,4
s1_4,MA_s1,24,792.784944,0.030273027,0.026488899,0.025993672,0.022744463,2.81E-08,2.46E-08,0,3,0,0,3,1,2,7,8,0,0,,4.666666667,0,14,,,0,14,,4.666666667,0,14,1078809,926310,3.166862365,0.760011272,15,3,5,0.2,10,11,0.909090909,13,6,0.56772933,18,3
s1_6,MA_s1,27,792.784944,0.034057155,0.027750275,0.029242881,0.023827533,3.16E-08,2.57E-08,2,3,0,0,0,0,3,8,11,0,0,1.5,1,3,3,,,3,3,1.5,1,3,3,1078809,926310,3.166862365,0.760011272,19,0,#DIV/0!,0,8,14,0.571428571,15,2,1.965227789,16,7
s1_8,MA_s1,29,792.784944,0.036579908,0.034057155,0.031409021,0.029242881,3.39E-08,3.16E-08,1,1,0,0,4,0,2,15,6,0,0,1,1,1,1,,,1,1,1,1,1,1,1078809,926310,3.166862365,0.760011272,21,4,5.25,0.19047619,19,8,2.375,19,6,0.829759848,24,3
s1_9,MA_s1,30,792.784944,0.037841284,0.032795779,0.03249209,0.028159812,3.51E-08,3.04E-08,2,2,0,0,3,1,1,14,7,0,0,1,1,2,2,,,2,2,1,1,2,2,1078809,926310,3.166862365,0.760011272,21,3,7,0.142857143,17,9,1.888888889,20,8,0.655072171,27,0
s1_10,MA_s1,26,792.784944,0.032795779,0.029011651,0.028159812,0.024910603,3.04E-08,2.69E-08,1,2,0,0,2,2,4,6,9,0,0,1,1,1,2,,,1,2,1,1,1,2,1078809,926310,3.166862365,0.760011272,15,2,7.5,0.133333333,8,15,0.533333333,19,3,1.659525787,21,2
s1_11,MA_s1,29,679.529952,0.042676559,0.036790137,0.036643857,0.031589532,3.96E-08,3.41E-08,1,3,0,0,5,1,1,5,13,0,0,1,1,1,3,,,1,3,1,1,1,3,1078809,926310,3.166862365,0.760011272,18,5,3.6,0.277777778,10,15,0.666666667,21,4,1.375658733,24,2
s1_12,MA_s1,13,792.784944,0.01639789,0.01639789,0.014079906,0.014079906,1.52E-08,1.52E-08,0,0,0,0,2,2,1,6,2,0,0,,,0,0,,,0,0,,,0,0,1078809,926310,3.166862365,0.760011272,8,2,4,0.25,8,5,1.6,9,1,2.358271696,9,4
s1_13,MA_s1,27,792.784944,0.034057155,0.030273027,0.029242881,0.025993672,3.16E-08,2.81E-08,0,2,1,0,1,1,1,9,12,1,0,,1,0,2,,160,0,2,,54,0,162,1078809,926310,3.166862365,0.760011272,21,1,21,0.047619048,10,14,0.714285714,17,1,4.45452463,17,7
s1_14,MA_s1,16,792.784944,0.020182018,0.018920642,0.017329115,0.016246045,1.87E-08,1.75E-08,0,1,0,0,0,1,1,9,4,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,13,0,#DIV/0!,0,9,6,1.5,11,1,2.882333922,11,4
s1_15,MA_s1,24,792.784944,0.030273027,0.027750275,0.025993672,0.023827533,2.81E-08,2.57E-08,0,2,0,1,3,0,3,7,8,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,15,4,3.75,0.266666667,10,12,0.833333333,10,8,0.327535035,17,5
s1_16,MA_s1,11,770.1339456,0.01428323,0.011686279,0.012264171,0.010034322,1.32E-08,1.08E-08,1,1,0,0,0,1,1,3,4,0,0,1,1,1,1,,,1,1,1,1,1,1,1078809,926310,3.166862365,0.760011272,7,0,#DIV/0!,0,3,6,0.5,7,3,0.611401885,9,0
s1_17,MA_s1,17,792.784944,0.021443394,0.020182018,0.018412185,0.017329115,1.99E-08,1.87E-08,1,0,0,0,1,0,1,7,7,0,0,1,,1,0,,,1,0,1,,1,0,1078809,926310,3.166862365,0.760011272,14,1,14,0.071428571,8,8,1,10,4,0.655073277,13,3
s1_18,MA_s1,28,792.784944,0.035318531,0.031534403,0.030325951,0.027076742,3.27E-08,2.92E-08,0,3,0,2,2,0,0,12,9,0,0,,1,0,3,,,0,3,,1,0,3,1078809,926310,3.166862365,0.760011272,21,4,5.25,0.19047619,14,11,1.272727273,21,3,1.834213888,23,2
s1_20,MA_s1,23,815.4359424,0.028205772,0.02330042,0.024218641,0.020006704,2.61E-08,2.16E-08,1,3,0,0,2,0,1,8,8,0,0,2,1.333333333,2,4,,,2,4,2,1.333333333,2,4,1078809,926310,3.166862365,0.760011272,16,2,8,0.125,10,9,1.111111111,12,6,0.524057675,17,2
s1_21,MA_s1,17,679.529952,0.025017293,0.023545688,0.021480882,0.020217301,2.32E-08,2.18E-08,1,0,0,0,1,2,1,9,3,0,0,1,,1,0,,,1,0,1,,1,0,1078809,926310,3.166862365,0.760011272,12,1,12,0.083333333,10,6,1.666666667,12,4,0.786088436,15,1
s1_22,MA_s1,20,656.8789536,0.03044701,0.028924659,0.026143061,0.024835908,2.82E-08,2.68E-08,0,1,0,0,1,1,3,6,8,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,14,1,14,0.071428571,7,12,0.583333333,15,2,1.965227789,16,4
s1_23,MA_s1,20,679.529952,0.02943211,0.026488899,0.025271626,0.022744463,2.73E-08,2.46E-08,0,2,0,0,1,1,5,7,4,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,11,1,11,0.090909091,8,10,0.8,17,2,2.22725959,18,0
s1_24,MA_s1,14,679.529952,0.020602477,0.019130871,0.017690138,0.016426557,1.91E-08,1.77E-08,0,1,0,0,0,0,5,4,4,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,8,0,#DIV/0!,0,4,9,0.444444444,9,2,1.179134405,10,3
s1_25,MA_s1,28,815.4359424,0.034337461,0.026979434,0.029483563,0.023165657,3.18E-08,2.50E-08,1,5,0,0,2,0,2,8,10,0,0,2,1,2,5,,,2,5,2,1,2,5,1078809,926310,3.166862365,0.760011272,18,2,9,0.111111111,10,12,0.833333333,16,3,1.397494055,18,4
s1_26,MA_s1,29,815.4359424,0.035563799,0.031884785,0.030536548,0.027377595,3.30E-08,2.96E-08,0,3,0,0,4,0,2,9,11,0,0,,1,0,3,,,0,3,,1,0,3,1078809,926310,3.166862365,0.760011272,20,4,5,0.2,13,13,1,22,4,1.441166753,25,2
s1_27,MA_s1,20,815.4359424,0.024526758,0.022074082,0.021059688,0.018953719,2.27E-08,2.05E-08,0,2,0,0,1,1,1,8,7,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,15,1,15,0.066666667,9,9,1,13,3,1.135462828,15,3
s1_28,MA_s1,23,815.4359424,0.028205772,0.024526758,0.024218641,0.021059688,2.61E-08,2.27E-08,0,3,0,0,2,1,1,8,8,0,0,,2,0,6,,,0,6,,2,0,6,1078809,926310,3.166862365,0.760011272,16,2,8,0.125,10,10,1,16,3,1.397494055,18,2
s1_29,MA_s1,26,792.784944,0.032795779,0.030273027,0.028159812,0.025993672,3.04E-08,2.81E-08,0,2,0,0,2,0,1,10,11,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,21,2,10.5,0.095238095,12,12,1,20,2,2.62030792,21,3
