Genotype,Timepoint,Strain,Diam
Minimal,Evolved,B_1,0.417
Minimal,Evolved,B_1,0.328
Minimal,Evolved,B_1,0.552
Minimal,Evolved,B_1,0.547
Minimal,Evolved,B_1,0.417
Minimal,Evolved,B_1,0.484
Minimal,Evolved,B_1,0.333
Minimal,Evolved,B_1,0.313
Minimal,Evolved,B_1,0.313
Minimal,Evolved,B_1,0.438
Minimal,Evolved,B_1,0.589
Minimal,Evolved,B_1,0.688
Minimal,Evolved,B_1,0.49
Minimal,Evolved,B_1,0.464
Minimal,Evolved,B_1,0.411
Minimal,Evolved,B_1,0.865
Minimal,Evolved,B_1,0.531
Minimal,Evolved,B_1,0.609
Minimal,Evolved,B_1,0.443
Minimal,Evolved,B_1,0.344
Minimal,Evolved,B_1,0.432
Minimal,Evolved,B_1,0.953
Minimal,Evolved,B_1,0.792
Minimal,Evolved,B_1,0.479
Minimal,Evolved,B_1,0.174
Minimal,Evolved,B_1,0.458
Minimal,Evolved,B_1,0.542
Minimal,Evolved,B_1,0.615
Minimal,Evolved,B_1,0.386
Minimal,Evolved,B_1,0.281
Minimal,Evolved,B_1,0.35
Minimal,Evolved,B_1,0.451
Minimal,Evolved,B_1,0.333
Minimal,Evolved,B_1,0.339
Minimal,Evolved,B_1,0.323
Minimal,Evolved,B_1,0.427
Minimal,Evolved,B_1,0.505
Minimal,Evolved,B_1,0.328
Minimal,Evolved,B_1,0.443
Minimal,Evolved,B_1,0.474
Minimal,Evolved,B_1,0.386
Minimal,Evolved,B_1,0.537
Minimal,Evolved,B_1,0.547
Minimal,Evolved,B_1,0.464
Wildtype,Evolved,s1_1,1.142
Wildtype,Evolved,s1_1,1.102
Wildtype,Evolved,s1_1,1.305
Wildtype,Evolved,s1_1,1.58
Wildtype,Evolved,s1_1,1.891
Wildtype,Evolved,s1_1,0.758
Wildtype,Evolved,s1_1,0.516
Wildtype,Evolved,s1_1,0.642
Wildtype,Evolved,s1_1,1.055
Wildtype,Evolved,s1_1,0.75
Wildtype,Evolved,s1_1,0.688
Wildtype,Evolved,s1_1,0.766
Wildtype,Evolved,s1_1,0.946
Wildtype,Evolved,s1_1,0.633
Wildtype,Evolved,s1_1,0.532
Wildtype,Evolved,s1_1,0.541
Wildtype,Evolved,s1_1,0.618
Wildtype,Evolved,s1_1,0.813
Wildtype,Evolved,s1_1,0.805
Wildtype,Evolved,s1_1,0.617
Wildtype,Evolved,s1_1,0.883
Wildtype,Evolved,s1_1,0.656
Wildtype,Evolved,s1_1,0.586
Wildtype,Evolved,s1_1,1.078
Wildtype,Evolved,s1_1,1.477
Wildtype,Evolved,s1_1,0.594
