9,10,11,13
1,1,1,1
0.133,1,1,0.274
0.333,0.051,0.35,0.161
1,1,0.939,1
1,1,0.069,1
1,0.146,1,0.081
0.074,0.209,1,0.439
0.052,0.078,0.232,1
0.073,0.199,0.102,1
0.235,0.085,0.053,1
0.063,0.085,0.051,0.318
1,1,0.471,1
0.383,0.112,0.055,1
1,1,0.098,0.102
1,0.05,0.175,1
0.105,0.054,0.183,0.403
1,0.065,0.097,0.257
0.165,0.143,1,0.052
0.108,0.331,1,1
1,0.054,1,0.297
0.326,0.906,0.065,
1,1,1,
1,1,1,
0.077,1,0.112,
0.345,0.075,0.055,
0.233,1,0.065,
,,1,
,,0.053,
,,0.06,
,,1,
,,0.446,
,,0.184,
,,1,
,,1,
,,0.44,
,,0.169,
,,0.163,
,,0.187,
