timepoint,strain,Mutation,W_1.0,W_mCherry
Ancestor,JCVI-syn3B,None,0.307291661,0.338771588
Ancestor,JCVI-syn3B,None,0.256079505,0.282313097
Ancestor,JCVI-syn3B,None,0.318151732,0.350744199
Ancestor,JCVI-syn3B,None,0.251404122,0.277158754
Ancestor,JCVI-syn3B,None,0.32160855,0.354555145
Ancestor,JCVI-syn3B,None,0.339200269,0.373949015
Ancestor,JCVI-syn3B,None,0.353389827,0.389592196
Ancestor,JCVI-syn3B,None,0.36914943,0.406966262
Ancestor,JCVI-syn3B,None,0.36453848,0.401882951
Ancestor,JCVI-syn3B,None,0.379963532,0.418888195
Ancestor,JCVI-syn3B,None,0.411952604,0.454154328
Ancestor,JCVI-syn3B,None,0.498698443,0.549786685
Ancestor,JCVI-syn3B,ftsZ,0.351653845,0.387678375
Ancestor,JCVI-syn3B,ftsZ,0.338552452,0.373234833
Ancestor,JCVI-syn3B,ftsZ,0.390589359,0.430602566
Ancestor,JCVI-syn3B,ftsZ,0.381496884,0.420578629
Ancestor,JCVI-syn3B,ftsZ,0.365278932,0.402699258
Ancestor,JCVI-syn3B,ftsZ,0.398801722,0.439656228
Ancestor,JCVI-syn3B,ftsZ,0.5347212,0.589499726
Ancestor,JCVI-syn3B,ftsZ,0.384160752,0.423515391
Ancestor,JCVI-syn3B,ftsZ,0.367132389,0.404742589
Ancestor,JCVI-syn3B,ftsZ,0.434630754,0.479155699
Ancestor,JCVI-syn3B,ftsZ,0.395666689,0.436200032
Ancestor,JCVI-syn3B,ftsZ,0.432549805,0.476861572
Ancestor,JCVI-syn1.0,None,1.078324009,1.188790922
Ancestor,JCVI-syn1.0,None,1.05697461,1.165254423
Ancestor,JCVI-syn1.0,None,0.928623042,1.023754116
Ancestor,JCVI-syn1.0,None,0.944821015,1.04161146
Ancestor,JCVI-syn1.0,None,0.991257324,1.092804851
Ancestor,JCVI-syn1.0,ftsZ,1.52930884,1.685976062
Ancestor,JCVI-syn1.0,ftsZ,1.513253817,1.668276312
Ancestor,JCVI-syn1.0,ftsZ,1.210599026,1.334616609
Ancestor,JCVI-syn1.0,ftsZ,1.097935205,1.210411151
Ancestor,JCVI-syn1.0,ftsZ,1.20457776,1.327978506
Ancestor,JCVI-syn1.0,ftsZ,1.085710866,1.196934512
Ancestor,JCVI-syn1.0,ftsZ,1.085219664,1.196392989
