 ,Area,Mean,Min,Max
1,45,2734.844,2069,3531
2,34,3124.118,2554,3518
3,29,3149.207,2701,3520
4,81,2579.309,1846,3522
5,31,2979.774,2357,3514
6,22,2996.455,2507,3371
7,43,3335.767,2776,3777
8,50,3083.94,2285,3768
9,59,2970.339,2070,3772
10,31,3329.516,2847,3759
11,28,3271.714,2824,3729
12,20,3325.65,3063,3523
13,49,3038.408,2430,3590
14,26,3189.308,2716,3530
15,39,3198.385,2755,3575
16,30,2985.033,2387,3552
17,49,2938.735,2286,3584
18,11,3466.364,3319,3585
19,31,3166.355,2672,3579
20,17,3253.235,2872,3572
21,45,2955.778,2290,3577
22,40,3374.175,2756,3834
23,3,3738.667,3625,3803
24,47,3088.298,2285,3810
25,26,3339.692,2731,3750
26,20,3372.7,2942,3795
