 ,Area,Mean,Min,Max
1,30,1013.767,766,1357
2,57,1147.316,739,1786
3,22,831.000,742,939
4,86,1123.605,755,1553
5,78,1311.231,752,2300
6,135,1366.074,737,2292
7,133,1228.286,736,2071
8,72,1216.722,737,1924
9,76,1376.382,735,2671
10,104,1182.702,736,1766
11,19,2619.158,2453,2795
12,16,2501.250,2278,2758
13,48,2471.896,2198,2801
14,25,2534.480,2255,2797
15,51,2224.314,1677,2788
16,2,2746.000,2725,2767
17,25,2561.480,2295,2789
18,6,2724.833,2638,2786
19,31,2620.419,2338,2792
20,44,2435.909,1958,2796
21,31,2477.677,2139,2791
22,48,2594.812,2122,3021
23,9,2895.333,2758,2993
24,6,2887.667,2752,3006
25,10,2931.600,2860,3008
26,48,2623.667,2125,3010
27,27,2784.407,2434,3019
28,32,2656.344,2308,2996
29,36,2474.750,1922,3014
30,37,2483.703,1868,2993
31,46,2676.739,2264,3010
32,19,2805.684,2605,2979
33,23,2627.652,2338,2838
34,12,2725.750,2581,2829
35,25,2601.640,2380,2834
36,20,2577.450,2285,2834
37,20,2643.750,2433,2833
38,36,2577.444,2246,2831
39,51,2424.059,1945,2819
40,19,2579.000,2314,2836
41,24,2427.875,2002,2797
42,55,2445.873,1873,2833
43,25,2538.400,2180,2828
44,9,2718.444,2551,2813
45,30,2374.033,1919,2832
46,33,2495.788,2106,2826
47,14,2747.429,2637,2829
48,43,2458.395,1998,2832
