Genotype,Timepoint,Strain,Diameter,Area,Volume,Pixels,Mean,Min,Max
Minimal,Evolved,B_1,0.646886845,0.32865975,0.141737113,79,2505.734,1769,3152
Minimal,Evolved,B_1,0.59573371,0.27873675,0.110701919,67,2533.776,1874,3138
Minimal,Evolved,B_1,0.6670439,0.349461,0.155403886,84,2492.512,1774,3161
Minimal,Evolved,B_1,0.53975431,0.22881375,0.082335472,55,2660.655,2016,3156
Minimal,Evolved,B_1,0.745777752,0.43682625,0.217183533,105,2474.038,1980,3172
Minimal,Evolved,B_1,0.317242654,0.07904475,0.016717578,19,2897.368,2564,3159
Minimal,Evolved,B_1,0.674938185,0.3577815,0.160986931,86,2523.174,1818,3169
Minimal,Evolved,B_1,0.418091891,0.13728825,0.038266069,33,2679.364,2211,3130
Minimal,Evolved,B_1,0.436682738,0.149769,0.043601025,36,2629.917,2139,3178
Minimal,Evolved,B_1,0.436682738,0.149769,0.043601025,36,2762.028,2271,3179
Minimal,Evolved,B_1,0.826627081,0.53667225,0.295751877,129,2560.085,1990,3176
Minimal,Evolved,B_1,0.405224431,0.12896775,0.034840589,31,2792.871,2348,3174
Minimal,Evolved,B_1,0.300081509,0.07072425,0.014148693,17,2790.235,2430,3166
Minimal,Evolved,B_1,0.442706232,0.15392925,0.045430292,37,2668.351,2203,3165
Minimal,Evolved,B_1,0.405224431,0.12896775,0.034840589,31,2592.613,2056,3178
Minimal,Evolved,B_1,0.454513804,0.16224975,0.049163167,39,2794.513,2309,3171
Minimal,Evolved,B_1,0.524827334,0.216333,0.075691648,52,2707.404,2145,3166
Minimal,Evolved,B_1,0.655024106,0.33698025,0.147153458,81,2476.395,1702,3178
Minimal,Evolved,B_1,0.816958596,0.5241915,0.285495168,126,2693.095,2174,3140
Minimal,Evolved,B_1,1.054689012,0.8736525,0.614287795,210,2156.876,1556,3135
Minimal,Evolved,B_1,1.220022763,1.16903025,0.950829011,281,2142.007,1424,3146
Minimal,Evolved,B_1,0.442706232,0.15392925,0.045430292,37,2905.946,2588,3148
Minimal,Evolved,B_1,0.727804563,0.416025,0.201856595,100,2384.45,1546,3149
Minimal,Evolved,B_1,0.870327673,0.59491575,0.345181094,143,2291.329,1478,3147
Minimal,Evolved,B_1,0.650968191,0.33282,0.144436822,80,2538.113,1781,3147
Minimal,Evolved,B_1,0.53975431,0.22881375,0.082335472,55,2648.527,2128,3119
Minimal,Evolved,B_1,0.586774798,0.27041625,0.105782294,65,2558,1937,3135
Minimal,Evolved,B_1,0.608924985,0.2912175,0.118219741,70,2691.3,2168,3142
Minimal,Evolved,B_1,0.897297728,0.632358,0.378275598,152,2172.993,1514,3088
Minimal,Evolved,B_1,0.690456033,0.3744225,0.172348183,90,2545.067,1925,3098
Minimal,Evolved,B_1,0.891374906,0.6240375,0.370834245,150,2441.907,1874,3139
Minimal,Evolved,B_1,0.53975431,0.22881375,0.082335472,55,2717,2186,3136
Minimal,Evolved,B_1,0.790598121,0.4909095,0.258741419,118,2391.483,1485,3132
Minimal,Evolved,B_1,0.58224365,0.266256,0.103350577,64,2489.875,1953,2965
Minimal,Evolved,B_1,0.577676963,0.26209575,0.100937785,63,2342.127,1746,2950
Minimal,Evolved,B_1,0.797269953,0.49923,0.265347386,120,2136.183,1505,2955
Minimal,Evolved,B_1,0.720489758,0.4077045,0.195831278,98,2428.5,1956,2935
Minimal,Evolved,B_1,0.586774798,0.27041625,0.105782294,65,2391.415,1847,2938
Minimal,Evolved,B_1,0.63029724,0.31201875,0.131109705,75,2361.16,1807,2934
Minimal,Evolved,B_1,0.436682738,0.149769,0.043601025,36,2619.278,2244,2950
Minimal,Evolved,B_1,0.90318171,0.6406785,0.385766069,154,2049.747,1461,2967
Minimal,Evolved,B_1,0.813710238,0.52003125,0.282103168,125,2105.632,1504,2997
Minimal,Evolved,B_1,0.608924985,0.2912175,0.118219741,70,2337.686,1704,3008
Minimal,Evolved,B_1,0.504237792,0.199692,0.067128169,48,2442.583,1880,2992
Minimal,Evolved,B_1,0.405224431,0.12896775,0.034840589,31,2624.258,2280,2989
Minimal,Evolved,B_1,0.371108967,0.1081665,0.026761039,26,2682.654,2324,2973
Minimal,Evolved,B_1,0.604559875,0.28705725,0.11569553,69,2271.058,1594,3003
Minimal,Evolved,B_1,0.554279442,0.2412945,0.089163054,58,2493.707,1957,3007
Minimal,Evolved,B_1,0.493621071,0.1913715,0.06297667,46,2490.348,1932,3009
Minimal,Evolved,B_1,0.391934752,0.12064725,0.0315239,29,2690.31,2280,3009
Minimal,Evolved,B_1,0.411708433,0.133128,0.036539947,32,2646.625,2223,2996
Minimal,Evolved,B_1,0.356549962,0.099846,0.023733392,24,2613.292,2229,2972
Minimal,Evolved,B_1,0.61756265,0.299538,0.123322321,72,2242.403,1666,2996
Minimal,Evolved,B_1,0.59573371,0.27873675,0.110701919,67,2385.075,1890,2999
Minimal,Evolved,B_1,0.363902281,0.10400625,0.025232074,25,2416.88,1948,2946
Minimal,Evolved,B_1,0.604559875,0.28705725,0.11569553,69,2425.159,1931,2981
Minimal,Evolved,B_2,0.488226143,0.18721125,0.060934284,45,2734.844,2069,3531
Minimal,Evolved,B_2,0.424379339,0.1414485,0.040018547,34,3124.118,2554,3518
Minimal,Evolved,B_2,0.391934752,0.12064725,0.0315239,29,3149.207,2701,3520
Minimal,Evolved,B_2,0.655024106,0.33698025,0.147153458,81,2579.309,1846,3522
Minimal,Evolved,B_2,0.405224431,0.12896775,0.034840589,31,2979.774,2357,3514
Minimal,Evolved,B_2,0.341370599,0.0915255,0.02082941,22,2996.455,2507,3371
Minimal,Evolved,B_2,0.477253368,0.17889075,0.056917475,43,3335.767,2776,3777
Minimal,Evolved,B_2,0.514635542,0.2080125,0.071367084,50,3083.94,2285,3768
Minimal,Evolved,B_2,0.559037292,0.24545475,0.091478906,59,2970.339,2070,3772
Minimal,Evolved,B_2,0.405224431,0.12896775,0.034840589,31,3329.516,2847,3759
Minimal,Evolved,B_2,0.385117975,0.116487,0.029907492,28,3271.714,2824,3729
Minimal,Evolved,B_2,0.325484095,0.083205,0.018054603,20,3325.65,3063,3523
Minimal,Evolved,B_2,0.509463194,0.20385225,0.069236812,49,3038.408,2430,3590
Minimal,Evolved,B_2,0.371108967,0.1081665,0.026761039,26,3189.308,2716,3530
Minimal,Evolved,B_2,0.454513804,0.16224975,0.049163167,39,3198.385,2755,3575
Minimal,Evolved,B_2,0.398634976,0.1248075,0.033168423,30,2985.033,2387,3552
Minimal,Evolved,B_2,0.509463194,0.20385225,0.069236812,49,2938.735,2286,3584
Minimal,Evolved,B_2,0.241385466,0.04576275,0.007364308,11,3466.364,3319,3585
Minimal,Evolved,B_2,0.405224431,0.12896775,0.034840589,31,3166.355,2672,3579
Minimal,Evolved,B_2,0.300081509,0.07072425,0.014148693,17,3253.235,2872,3572
Minimal,Evolved,B_2,0.488226143,0.18721125,0.060934284,45,2955.778,2290,3577
Minimal,Evolved,B_2,0.460304022,0.16641,0.051066128,40,3374.175,2756,3834
Minimal,Evolved,B_2,0.126059448,0.01248075,0.001048878,3,3738.667,3625,3803
Minimal,Evolved,B_2,0.49895767,0.19553175,0.065041378,47,3088.298,2285,3810
Minimal,Evolved,B_2,0.371108967,0.1081665,0.026761039,26,3339.692,2731,3750
Minimal,Evolved,B_2,0.325484095,0.083205,0.018054603,20,3372.7,2942,3795
Minimal,Ancestor,B_anc,0.398634976,0.1248075,0.033168423,30,1013.767,766,1357
Minimal,Ancestor,B_anc,0.549480395,0.23713425,0.086867081,57,1147.316,739,1786
Minimal,Ancestor,B_anc,0.341370599,0.0915255,0.02082941,22,831,742,939
Minimal,Ancestor,B_anc,0.674938185,0.3577815,0.160986931,86,1123.605,755,1553
Minimal,Ancestor,B_anc,0.642779586,0.3244995,0.139054436,78,1311.231,752,2300
Minimal,Ancestor,B_anc,0.845632485,0.56163375,0.316623829,135,1366.074,737,2292
Minimal,Ancestor,B_anc,0.839345168,0.55331325,0.309613868,133,1228.286,736,2071
Minimal,Ancestor,B_anc,0.61756265,0.299538,0.123322321,72,1216.722,737,1924
Minimal,Ancestor,B_anc,0.634485308,0.316179,0.13374062,76,1376.382,735,2671
Minimal,Ancestor,B_anc,0.742217934,0.432666,0.21408831,104,1182.702,736,1766
Minimal,Ancestor,B_anc,0.317242654,0.07904475,0.016717578,19,2619.158,2453,2795
Minimal,Ancestor,B_anc,0.291121825,0.066564,0.012918822,16,2501.25,2278,2758
Minimal,Ancestor,B_anc,0.504237792,0.199692,0.067128169,48,2471.896,2198,2801
Minimal,Ancestor,B_anc,0.363902281,0.10400625,0.025232074,25,2534.48,2255,2797
Minimal,Ancestor,B_anc,0.51975642,0.21217275,0.073518766,51,2224.314,1677,2788
Minimal,Ancestor,B_anc,0.102927108,0.0083205,0.000570937,2,2746,2725,2767
Minimal,Ancestor,B_anc,0.363902281,0.10400625,0.025232074,25,2561.48,2295,2789
Minimal,Ancestor,B_anc,0.178274981,0.0249615,0.002966674,6,2724.833,2638,2786
Minimal,Ancestor,B_anc,0.405224431,0.12896775,0.034840589,31,2620.419,2338,2792
Minimal,Ancestor,B_anc,0.482770931,0.183051,0.058914468,44,2435.909,1958,2796
Minimal,Ancestor,B_anc,0.405224431,0.12896775,0.034840589,31,2477.677,2139,2791
Minimal,Ancestor,B_anc,0.504237792,0.199692,0.067128169,48,2594.812,2122,3021
Minimal,Ancestor,B_anc,0.218341369,0.03744225,0.005450128,9,2895.333,2758,2993
Minimal,Ancestor,B_anc,0.178274981,0.0249615,0.002966674,6,2887.667,2752,3006
Minimal,Ancestor,B_anc,0.230152011,0.0416025,0.006383266,10,2931.6,2860,3008
Minimal,Ancestor,B_anc,0.504237792,0.199692,0.067128169,48,2623.667,2125,3010
Minimal,Ancestor,B_anc,0.378178344,0.11232675,0.028319696,27,2784.407,2434,3019
Minimal,Ancestor,B_anc,0.411708433,0.133128,0.036539947,32,2656.344,2308,2996
Minimal,Ancestor,B_anc,0.436682738,0.149769,0.043601025,36,2474.75,1922,3014
Minimal,Ancestor,B_anc,0.442706232,0.15392925,0.045430292,37,2483.703,1868,2993
Minimal,Ancestor,B_anc,0.493621071,0.1913715,0.06297667,46,2676.739,2264,3010
Minimal,Ancestor,B_anc,0.317242654,0.07904475,0.016717578,19,2805.684,2605,2979
Minimal,Ancestor,B_anc,0.349042806,0.09568575,0.022265615,23,2627.652,2338,2838
Minimal,Ancestor,B_anc,0.252118896,0.049923,0.008391021,12,2725.75,2581,2829
Minimal,Ancestor,B_anc,0.363902281,0.10400625,0.025232074,25,2601.64,2380,2834
Minimal,Ancestor,B_anc,0.325484095,0.083205,0.018054603,20,2577.45,2285,2834
Minimal,Ancestor,B_anc,0.325484095,0.083205,0.018054603,20,2643.75,2433,2833
Minimal,Ancestor,B_anc,0.436682738,0.149769,0.043601025,36,2577.444,2246,2831
Minimal,Ancestor,B_anc,0.51975642,0.21217275,0.073518766,51,2424.059,1945,2819
Minimal,Ancestor,B_anc,0.317242654,0.07904475,0.016717578,19,2579,2314,2836
Minimal,Ancestor,B_anc,0.356549962,0.099846,0.023733392,24,2427.875,2002,2797
Minimal,Ancestor,B_anc,0.53975431,0.22881375,0.082335472,55,2445.873,1873,2833
Minimal,Ancestor,B_anc,0.363902281,0.10400625,0.025232074,25,2538.4,2180,2828
Minimal,Ancestor,B_anc,0.218341369,0.03744225,0.005450128,9,2718.444,2551,2813
Minimal,Ancestor,B_anc,0.398634976,0.1248075,0.033168423,30,2374.033,1919,2832
Minimal,Ancestor,B_anc,0.418091891,0.13728825,0.038266069,33,2495.788,2106,2826
Minimal,Ancestor,B_anc,0.272319532,0.0582435,0.010573895,14,2747.429,2637,2829
Minimal,Ancestor,B_anc,0.477253368,0.17889075,0.056917475,43,2458.395,1998,2832
