 ,Area,Mean,Min,Max
1,127,1392.024,843,2199
2,49,1220.490,843,1746
3,82,1088.317,841,1368
4,99,1120.455,835,1663
5,65,1218.523,838,1936
6,31,983.774,833,1159
7,241,1507.187,1111,2188
8,221,2193.050,1618,3424
9,62,1201.629,836,1692
10,181,1442.088,835,2391
11,64,1009.953,834,1254
12,33,2009.848,1716,2397
13,26,1915.077,1645,2221
14,46,1175.326,912,1536
15,39,1103.436,908,1314
16,46,1110.630,842,1526
17,37,912.784,831,1029
18,76,1163.105,897,1570
19,57,1242.684,943,1570
20,47,2512.617,2224,2826
21,115,1281.730,978,1683
22,51,1209.392,960,1526
23,56,1060.375,952,1221
24,169,1324.751,945,1866
25,240,1719.325,1452,2051
26,165,1362.170,698,2258
27,47,1342.660,909,1740
28,53,1199.792,953,1526
29,132,1331.015,943,2011
30,127,1250.008,933,1683
31,98,1411.204,961,2123
32,49,1141.102,962,1394
