 	Area	Mean	Min	Max	Angle	Length
1	0.002	23702.083	14079.000	37840.887	-88.713	0.464
2	0.003	23287.807	8478.000	41295.000	-90.000	0.615
3	0.003	30935.202	8117.000	54068.000	-90.000	0.641
4	0.004	28616.266	15980.132	56289.238	-87.739	0.792
5	0.004	28649.925	7042.000	63156.750	-88.568	0.938
6	0.002	26450.487	7004.000	61510.375	-89.105	0.500
7	0.005	34738.677	18113.000	43020.156	-89.007	0.901
8	0.005	35217.983	28812.457	41814.000	-86.121	0.924
9	0.008	33518.568	23689.816	42084.395	-89.193	1.479
10	0.005	32618.792	14542.000	39682.258	-87.056	0.913
11	0.005	34205.872	24848.000	44344.430	-85.649	0.961
12	0.005	34892.272	10789.000	42645.582	-81.652	0.969
13	0.005	28142.293	0.000	41617.867	-90.315	0.948
14	0.006	31027.717	13899.000	40659.086	-88.556	1.240
