 ,Area,Mean,Min,Max
1,36,2507.611,2072,2894
2,6,2446.333,2281,2528
3,14,2261.571,1982,2566
4,22,2511.864,2191,2915
5,13,2745.308,2590,2909
6,21,2778.667,2467,3051
7,67,2477.478,1760,3039
8,35,2417.400,1806,2969
9,43,2680.837,2167,3098
10,13,2893.769,2699,3061
11,41,2864.439,2591,3092
12,96,2623.323,1897,3088
13,16,2889.375,2667,3065
14,29,2749.966,2278,3134
15,136,2295.912,1538,3150
16,112,2311.696,1597,3148
17,35,2868.000,2473,3142
18,15,2959.733,2771,3103
19,52,2354.231,1861,3025
20,37,2649.622,2211,3093
21,69,2606.667,1929,3147
