 ,Area,Mean,Min,Max
1,304,2573.401,1774,3587
2,244,2724.422,1985,3575
3,308,2839.37,2143,3582
4,168,2555.125,1912,3577
5,115,2599.409,1931,3573
6,152,2780.224,2176,3587
7,125,2634.256,1883,3588
8,128,2620.094,1972,3583
9,76,2730.171,2029,3539
10,126,2601.746,1995,3562
11,237,2520.857,1856,3591
12,146,2579.397,1793,3580
13,135,2754.333,1845,3574
14,181,2690.608,1791,3581
15,194,2676.211,1848,3586
16,253,2622.85,1925,3532
17,191,2552.675,1710,3592
18,301,2484.621,1570,3714
19,188,2613.133,1599,3724
20,247,2428.66,1546,3706
21,205,2509.561,1667,3702
22,245,2653.131,1584,3710
23,136,3043.331,2225,3716
24,159,2874.182,2039,3716
25,283,2542.431,1618,3719
26,208,2576.635,1690,3715
27,162,2590.074,1587,3723
28,156,2630.128,1676,3715
29,159,2694.189,1841,3724
30,223,2546.085,1800,3714
31,160,2465.25,1669,3724
32,133,2588.459,1722,3718
33,137,2635.577,1870,3724
34,115,2717.574,1892,3712
35,267,2434.951,1715,3721
36,145,2709.855,1825,3723
37,226,2553.04,1744,3720
38,240,2710.392,1911,3724
39,67,2765.985,1891,3717
40,97,2746.918,2010,3721
41,113,2693.92,1970,3724
42,157,2785.306,1975,3724
43,92,2930.315,2148,3717
44,132,2832.917,1971,3723
45,115,2717.574,1892,3712
46,223,2546.085,1800,3714
47,128,2601.969,1828,3572
48,163,2499.877,1681,3572
49,233,2558.386,1824,3570
50,112,2739.33,1986,3577
51,173,2507.786,1770,3562
52,104,2682.808,1875,3571
53,156,2041.667,1698,2372
54,104,2062.356,1745,2366
55,263,2523.452,1599,3579
56,161,2795.373,1889,3583
57,98,2312.235,1884,2630
58,304,2573.401,1774,3587
59,244,2724.422,1985,3575
60,308,2839.37,2143,3582
61,168,2555.125,1912,3577
62,115,2599.409,1931,3573
63,152,2780.224,2176,3587
64,125,2634.256,1883,3588
65,128,2620.094,1972,3583
66,76,2730.171,2029,3539
67,126,2601.746,1995,3562
68,237,2520.857,1856,3591
69,146,2579.397,1793,3580
70,135,2754.333,1845,3574
71,181,2690.608,1791,3581
72,194,2676.211,1848,3586
73,253,2622.85,1925,3532
74,191,2552.675,1710,3592
