 ,Area,Mean,Min,Max
1,130,851.892,673,1021
2,120,847.967,673,1021
3,30,890.133,738,1016
4,103,888.117,708,1022
5,168,811.333,641,1020
6,183,882.388,682,1022
7,130,911.785,776,1021
8,156,921.263,769,1022
9,149,910.396,736,1022
10,114,873.439,712,1021
11,132,911.303,777,1041
12,130,880.877,735,1027
13,196,812.883,617,1023
14,103,849.961,687,1022
15,221,860.828,676,1027
16,174,860.603,688,1024
17,155,872.826,682,1026
18,213,835.714,661,1027
19,151,901.411,711,1094
20,285,880.309,691,1092
21,237,871.190,662,1093
22,95,1039.642,939,1125
23,146,957.267,771,1095
24,87,975.218,808,1089
25,134,944.731,746,1093
26,134,805.284,576,1029
27,163,787.215,578,1025
28,114,781.640,574,1020
29,179,789.453,612,1031
30,147,765.259,568,1030
31,188,814.053,649,1030
32,158,814.816,668,1033
33,129,769.078,602,1027
34,44,866.159,696,1028
35,227,780.313,629,1030
36,161,798.193,622,1028
37,138,810.754,628,1027
38,250,781.276,570,1032
39,63,819.413,601,1025
