 ,Area,Mean,Min,Max
1,173,912.821,647,1150
2,127,952.031,698,1151
3,110,948.400,695,1154
4,100,974.770,725,1152
5,72,992.056,798,1153
6,77,985.688,756,1153
7,89,968.112,752,1142
8,92,995.163,752,1154
9,61,1110.016,935,1255
10,84,1083.440,815,1254
11,70,1098.157,879,1253
12,82,1137.159,966,1256
13,89,959.090,745,1124
14,55,982.327,825,1123
15,89,928.472,686,1123
16,53,993.792,849,1117
17,146,772.397,549,1019
18,113,814.929,581,1014
19,111,859.685,650,1016
20,97,890.278,711,1018
21,127,827.724,589,1018
22,132,819.182,573,1019
23,124,838.185,583,1017
24,123,857.593,601,1019
25,96,856.896,644,1015
26,101,860.327,632,1017
27,101,849.911,617,1018
28,121,832.124,603,1019
29,65,858.892,717,995
30,75,824.320,627,994
31,103,827.961,574,996
32,43,859.302,679,993
33,94,798.096,585,992
34,78,816.615,609,996
35,85,846.529,630,996
36,75,841.493,634,992
37,60,833.867,662,987
