line,Replicate,note,mCherry_true_posvs_avg,mCherry_false_negs_avg,ratio_false_negs_per_true_pos,T0_mCherry_raw,T0_mCherry,T0_SOI_raw,T0_SOI,T24_mCherry_raw,T24_mCherry,T24_SOI_raw,T24_SOI,W_W,Delaney,r_W
19,f,,53268,31759,0.596211609,63207,252828,47266,94532,15945,1594500,30590,2108732.116,1.685976062,1.822553299,1.26329768
19,g,,53268,31759,0.596211609,61795,247180,37377,74754,17356,1735600,29651,1930741.304,1.668276312,1.879059715,1.302464943
19,h,,53268,31759,0.596211609,57095,228380,37213,74426,22229,2222900,28760,1551227.043,1.334616609,1.09852452,0.761439174
19,i,,53268,31759,0.596211609,71789,287156,41275,82550,28437,2843700,30191,1324351.312,1.210411151,0.696011191,0.482438194
19,j,,53268,31759,0.596211609,70238,280952,28682,57364,27357,2735700,28087,1178315.647,1.327978506,1.076922167,0.746465563
19,k,,53268,31759,0.596211609,75667,302668,28995,57990,29106,2910600,26055,870881.1826,1.196934512,0.643091329,0.445756941
19,l,,53268,31759,0.596211609,60903,243612,24350,48700,27144,2714400,24889,871209.7238,1.196392989,0.683050149,0.473454285
8,,,59535,9922,0.166658268,53613,214452,68350,136700,36148,3614800,50791,4476663.692,1.235117832,0.95814964,0.664138722
8,,,59535,9922,0.166658268,53613,214452,72338,144676,35696,3569600,48928,4297896.646,1.205987223,0.835697526,0.579261384
8,,,59535,9922,0.166658268,53613,214452,87002,174004,42488,4248800,44704,3762302.35,1.02926765,0.126094658,0.087402157
8,,,59535,9922,0.166658268,53613,214452,71128,142256,44516,4451600,41901,3448204.053,1.051121353,0.223686454,0.155047635
8,,,59535,9922,0.166658268,53613,214452,60028,120056,43504,4350400,41593,3434269.87,1.114176534,0.495802621,0.343664189
