timepoint,strain,W_1.0,W_mCherry,ID
Ancestor,JCVI-syn3B,0.397840216,0.680068737,B_anc
Ancestor,JCVI-syn3B,0.39666444,0.678058864,B_anc
Ancestor,JCVI-syn3B,0.419052915,0.716329761,B_anc
Ancestor,JCVI-syn1.0,0.959928083,1.640902685,s1_anc
Ancestor,JCVI-syn1.0,1.063009358,1.81710999,s1_anc
Ancestor,JCVI-syn1.0,1.148519813,1.963281707,s1_anc
Ancestor,JCVI-syn1.0,0.828542747,1.41631237,s1_anc
Evolved,JCVI-syn1.0,1.126193647,1.925117321,s1_1
Evolved,JCVI-syn1.0,1.237658776,2.115656001,s1_3
Evolved,JCVI-syn1.0,1.325155223,2.265222576,s1_4
Evolved,JCVI-syn1.0,1.09461934,1.871144148,s1_6
Evolved,JCVI-syn3B,0.886590057,1.48246315,B_1
Evolved,JCVI-syn3B,0.832213645,1.422587409,B_2
Evolved,JCVI-syn3B,0.799599884,1.366837392,B_3
Evolved,JCVI-syn3B,0.763598968,1.305297365,B_5
