LINE_ID,strain,tot,generations,per_genome_per_gen,bpsub_per_genome,per_CDS_per_gen,bpsub_per_CDS,per_nt_per_gen,bpsub_per_nt,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot,genome_len,CDS_len,AT/GC_genome,AT_proportion_genome,to_AT_tot,to_CG_tot,AT/GC_muts,GC/AT_muts,ts,tv,ts/tv,dN,dS,dN_dS,in_CDS,not_in_CDS
3B_1,MA_3B,8,616.4083274,0.01297841,0.011356109,0.011457962,0.010025717,2.38846E-08,2.08991E-08,1,0,0,0,0,2,0,1,4,0,0,1,,1,0,,,1,0,1,,1,0,543379,479721,3.117817791,0.757152926,5,0,#DIV/0!,0,1,6,0.166666667,6,2,0.797235999,7,0
3B_2,MA_3B,6,500.831766,0.011980071,0.009983392,0.01057658,0.008813817,2.20474E-08,1.83728E-08,0,1,0,0,0,1,0,4,0,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,4,0,#DIV/0!,0,4,1,4,3,3,0.265744225,5,0
3B_3,MA_3B,20,635.6710876,0.031462812,0.02674339,0.027776877,0.023610346,5.79021E-08,4.92168E-08,2,1,0,0,0,0,0,13,4,0,0,2,1,4,1,,,4,1,2,1,4,1,543379,479721,3.117817791,0.757152926,17,0,#DIV/0!,0,13,4,3.25,12,3,1.062982798,14,3
3B_6,MA_3B,5,635.6710876,0.007865703,0.006292562,0.006944219,0.005555375,1.44755E-08,1.15804E-08,0,1,0,0,0,0,0,3,1,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,4,0,#DIV/0!,0,3,1,3,3,1,0.797236374,3,1
3B_7,MA_3B,14,616.4083274,0.022712218,0.022712218,0.020051433,0.020051433,4.17981E-08,4.17981E-08,0,0,0,0,0,0,0,11,3,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,14,0,#DIV/0!,0,11,3,3.666666667,11,2,1.461603837,12,2
3B_8,MA_3B,20,520.0945262,0.038454548,0.034609093,0.033949516,0.030554565,7.07693E-08,6.36924E-08,0,2,0,0,1,0,0,13,4,0,0,,2,0,4,,,0,4,,2,0,4,543379,479721,3.117817791,0.757152926,17,1,17,0.058823529,14,4,3.5,13,4,0.863672052,16,2
3B_13,MA_3B,13,635.6710876,0.020450828,0.017304547,0.01805497,0.015277282,3.76364E-08,3.18462E-08,0,2,0,1,0,0,0,6,4,0,0,,1,0,2,,,0,2,,1,0,2,543379,479721,3.117817791,0.757152926,10,1,10,0.1,6,5,1.2,6,2,0.797235999,7,3
3B_15,MA_3B,7,597.1455671,0.011722435,0.011722435,0.010349127,0.010349127,2.15732E-08,2.15732E-08,0,0,0,0,0,0,0,3,4,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,7,0,#DIV/0!,0,3,4,0.75,6,2,0.797235999,7,0
3B_17,MA_3B,10,616.4083274,0.016223013,0.014600711,0.014322452,0.012890207,2.98558E-08,2.68702E-08,0,1,0,0,0,0,0,4,5,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,9,0,#DIV/0!,0,4,5,0.8,7,2,0.930109239,8,1
3B_18,MA_3B,3,654.9338478,0.004580615,0.004580615,0.004043987,0.004043987,8.42987E-09,8.42987E-09,0,0,0,0,0,0,0,1,2,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,3,0,#DIV/0!,0,1,2,0.5,2,1,0.531490588,2,1
