ID,Strain,Strain_technical,W_anc1.0,W_anc.own,W_anc3B,W_anc.other,abs_W_per_gen,abs_W_per_day,W,History,dNdS_gdtools,dNdS_gdtools_spectrum.aware_had.typo,dNdS_spectrum.unaware
mm1,Non-minimal,syn1.0,1.261483249,1.097961341,2.68764925,2.68764925,1.31E-04,8.72E-04,,,0.798975134,0.442384562,1.397494055
mm3,Non-minimal,syn1.0,1.432394548,1.428011332,3.051783792,3.051783792,2.17E-04,1.44E-03,,,0.424065403,0.368650764,0.550259453
mm4,Non-minimal,syn1.0,1.540687141,1.509297996,3.282506242,3.282506242,2.71E-04,1.80E-03,,,0.737514602,0.54069502,0.655073277
mm6,Non-minimal,syn1.0,1.280984909,1.258975605,2.729198451,2.729198451,1.41E-04,9.37E-04,,,2.39693859,2.064490258,1.572180719
mm9,Minimal,syn3B,1.055277683,2.156054718,2.156054718,0.971022482,1.81E-04,1.20E-03,,,0.452267081,0.138684639,0.930108937
mm10,Minimal,syn3B,1.00144312,2.133621554,2.133621554,0.806202409,1.54E-04,1.02E-03,,,1.421440332,0.832182785,1.727352119
mm11,Minimal,syn3B,0.967187002,2.060637288,2.060637288,0.800146358,1.37E-04,9.10E-04,,,0.274582846,0.317011271,1.062982953
mm13,Minimal,syn3B,0.966892654,2.060010165,2.060010165,0.794215732,1.37E-04,9.09E-04,,,0.904548537,0.713298002,3.188963191
mm8,Non-minimal,syn1.0,1,1,2.130546919,2.130546919,-9,-9,,,,-9,-9
mm16,Minimal,syn3B,0.69419982,1,1,0.69419982,-9,-9,,,,-9,-9
