ID,Strain,Strain_technical,W_anc1.0,W_anc.own,W_anc3B,W_anc.other,abs_W_per_gen,abs_W_per_day,W,History,dNdS_gdtools,dNdS_gdtools_spectrum.aware_had.typo,dNdS_spectrum.unaware
mm1,Non-minimal,syn1.0,1.126193647,1.126193647,2.78403021,2.68764925,,,,,0.798975134,0.442384562,1.397494055
mm3,Non-minimal,syn1.0,1.237658776,1.237658776,3.059579879,3.051783792,,,,,0.424065403,0.368650764,0.550259453
mm4,Non-minimal,syn1.0,1.325155223,1.325155223,3.275877275,3.282506242,,,,,0.737514602,0.54069502,0.655073277
mm6,Non-minimal,syn1.0,1.09461934,1.09461934,2.705976295,2.729198451,,,,,2.39693859,2.064490258,1.572180719
mm9,Minimal,syn3B,0.886590057,2.143880869,2.143880869,0.971022482,,,,,0.452267081,0.138684639,0.930108937
mm10,Minimal,syn3B,0.832213645,2.057290888,2.057290888,0.806202409,,,,,1.421440332,0.832182785,1.727352119
mm11,Minimal,syn3B,0.799599884,1.976667369,1.976667369,0.800146358,,,,,0.274582846,0.317011271,1.062982953
mm13,Minimal,syn3B,0.763598968,1.887670563,1.887670563,0.794215732,,,,,0.904548537,0.713298002,3.188963191
mm8,Non-minimal,syn1.0,1,1,2.472070605,2.472070605,,,,,,-9,-9
mm16,Minimal,syn3B,0.40451919,1,1,0.40451919,,,,,,-9,-9
