timepoint,strain,Mutation,W_1.0,W_mCherry
Ancestor,JCVI-syn3B,None,0.162931406,0.173811902
Ancestor,JCVI-syn3B,None,0.166969521,0.178119681
Ancestor,JCVI-syn3B,None,0.182319666,0.194494903
Ancestor,JCVI-syn3B,None,0.11400081,0.12161374
Ancestor,JCVI-syn3B,None,0.192041639,0.204866106
Ancestor,JCVI-syn3B,None,0.270770715,0.288852679
Ancestor,JCVI-syn3B,None,0.264078187,0.281713226
Ancestor,JCVI-syn3B,None,0.212200644,0.226371321
Ancestor,JCVI-syn3B,None,0.256680422,0.273821442
Ancestor,JCVI-syn3B,None,0.271307699,0.289425522
Ancestor,JCVI-syn3B,None,0.259698647,0.277041222
Ancestor,JCVI-syn3B,None,0.29723856,0.317088036
Ancestor,JCVI-syn3B,ftsZ,0.313414681,0.334344392
Ancestor,JCVI-syn3B,ftsZ,0.310887836,0.331648805
Ancestor,JCVI-syn3B,ftsZ,0.40626282,0.433392894
Ancestor,JCVI-syn3B,ftsZ,0.405235622,0.4322971
Ancestor,JCVI-syn3B,ftsZ,0.363014862,0.387256855
Ancestor,JCVI-syn3B,ftsZ,0.358064885,0.38197632
Ancestor,JCVI-syn3B,ftsZ,0.511554396,0.545715801
Ancestor,JCVI-syn3B,ftsZ,0.450823882,0.480929727
Ancestor,JCVI-syn3B,ftsZ,0.381275432,0.406736858
Ancestor,JCVI-syn3B,ftsZ,0.440875213,0.470316689
Ancestor,JCVI-syn3B,ftsZ,0.424794068,0.453161652
Ancestor,JCVI-syn3B,ftsZ,0.413696344,0.441322826
Ancestor,JCVI-syn1.0,None,1.120970313,1.195828278
Ancestor,JCVI-syn1.0,None,1.0601871,1.130985985
Ancestor,JCVI-syn1.0,None,0.91014731,0.970926595
Ancestor,JCVI-syn1.0,None,0.934313441,0.996706531
Ancestor,JCVI-syn1.0,None,0.974381836,1.039450679
Ancestor,JCVI-syn1.0,ftsZ,3.532371413,3.768261811
Ancestor,JCVI-syn1.0,ftsZ,2.378415813,2.537245502
Ancestor,JCVI-syn1.0,ftsZ,1.446192183,1.542768338
Ancestor,JCVI-syn1.0,ftsZ,1.340267653,1.429770209
Ancestor,JCVI-syn1.0,ftsZ,1.063518039,1.134539363
Ancestor,JCVI-syn1.0,ftsZ,0.867222628,0.92513542
Ancestor,JCVI-syn1.0,ftsZ,0.920897369,0.98239454
Ancestor,JCVI-syn1.0,ftsZ,0.721375586,0.769548769
Ancestor,JCVI-syn1.0,ftsZ,0.799754586,0.853161889
