Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10
0:00:00,0.833,0.862,0.858,0.854,0.862,0.86,0.851,0.863,0.87,0.877,0.838,0.857,0.879,0.861,0.86,0.866,0.87,0.881,0.872,0.874,0.839,0.863,0.85,0.844,0.847,0.852,0.844,0.859,0.864,0.874,0.835,0.858,0.847,0.844,0.841,0.851,0.847,0.894,0.869,0.84,0.857,0.851,0.852,0.853,0.863,0.848,0.858,0.86,0.838,0.869,0.865,0.862,0.864,0.859,0.87,0.871,0.88
0:15:00,0.86,0.888,0.884,0.879,0.884,0.884,0.876,0.891,0.895,0.901,0.864,0.883,0.881,0.883,0.878,0.885,0.886,0.894,0.887,0.896,0.864,0.89,0.877,0.871,0.874,0.878,0.869,0.883,0.889,0.901,0.861,0.885,0.874,0.872,0.868,0.878,0.868,0.877,0.892,0.868,0.885,0.879,0.88,0.881,0.879,0.874,0.883,0.887,0.865,0.897,0.893,0.891,0.89,0.885,0.895,0.896,0.903
0:30:00,0.872,0.901,0.896,0.893,0.899,0.897,0.889,0.904,0.908,0.914,0.876,0.897,0.894,0.896,0.892,0.898,0.898,0.906,0.901,0.91,0.875,0.903,0.89,0.883,0.887,0.89,0.882,0.896,0.902,0.917,0.873,0.898,0.886,0.884,0.881,0.892,0.881,0.89,0.905,0.88,0.898,0.893,0.894,0.894,0.893,0.887,0.898,0.901,0.876,0.909,0.906,0.905,0.903,0.898,0.908,0.909,0.916
0:45:00,0.877,0.907,0.902,0.898,0.905,0.903,0.894,0.91,0.913,0.918,0.881,0.903,0.9,0.902,0.898,0.905,0.904,0.913,0.907,0.915,0.879,0.909,0.897,0.889,0.894,0.897,0.888,0.903,0.909,0.922,0.877,0.904,0.892,0.891,0.887,0.899,0.888,0.897,0.911,0.885,0.903,0.899,0.9,0.9,0.9,0.893,0.904,0.908,0.88,0.914,0.912,0.911,0.909,0.904,0.914,0.915,0.919
1:00:00,0.879,0.909,0.904,0.901,0.907,0.906,0.896,0.912,0.915,0.92,0.883,0.905,0.903,0.905,0.901,0.908,0.907,0.916,0.909,0.917,0.881,0.912,0.9,0.892,0.896,0.901,0.891,0.905,0.911,0.925,0.88,0.906,0.895,0.894,0.89,0.902,0.891,0.9,0.913,0.888,0.906,0.901,0.902,0.903,0.903,0.896,0.908,0.91,0.882,0.916,0.915,0.913,0.912,0.906,0.916,0.918,0.921
1:15:00,0.88,0.91,0.905,0.902,0.908,0.907,0.898,0.914,0.916,0.921,0.884,0.906,0.904,0.906,0.902,0.91,0.909,0.917,0.91,0.918,0.883,0.913,0.901,0.893,0.898,0.902,0.893,0.907,0.913,0.926,0.881,0.908,0.897,0.895,0.892,0.903,0.892,0.902,0.914,0.889,0.907,0.902,0.904,0.904,0.904,0.897,0.909,0.912,0.883,0.917,0.916,0.914,0.913,0.907,0.917,0.919,0.922
1:30:00,0.881,0.911,0.906,0.902,0.909,0.907,0.898,0.914,0.917,0.921,0.885,0.907,0.905,0.907,0.903,0.911,0.909,0.918,0.911,0.918,0.883,0.914,0.902,0.894,0.899,0.903,0.893,0.907,0.913,0.926,0.882,0.908,0.897,0.896,0.892,0.904,0.893,0.902,0.915,0.889,0.908,0.903,0.904,0.905,0.905,0.897,0.91,0.912,0.884,0.912,0.916,0.912,0.913,0.908,0.917,0.919,0.922
1:45:00,0.881,0.911,0.906,0.903,0.909,0.907,0.899,0.915,0.917,0.921,0.885,0.907,0.905,0.908,0.903,0.911,0.909,0.918,0.911,0.919,0.884,0.914,0.902,0.894,0.899,0.903,0.894,0.907,0.913,0.925,0.882,0.909,0.897,0.897,0.893,0.905,0.893,0.903,0.915,0.89,0.908,0.903,0.904,0.905,0.905,0.897,0.91,0.912,0.884,0.912,0.917,0.912,0.913,0.908,0.917,0.919,0.922
2:00:00,0.881,0.912,0.907,0.903,0.909,0.908,0.899,0.915,0.918,0.921,0.885,0.907,0.906,0.908,0.904,0.911,0.91,0.918,0.911,0.919,0.884,0.915,0.902,0.894,0.899,0.904,0.894,0.908,0.913,0.925,0.882,0.909,0.898,0.897,0.893,0.905,0.893,0.903,0.916,0.89,0.908,0.904,0.905,0.905,0.905,0.897,0.91,0.912,0.884,0.912,0.917,0.912,0.913,0.908,0.917,0.919,0.922
2:15:00,0.881,0.912,0.907,0.903,0.909,0.908,0.899,0.915,0.918,0.921,0.885,0.908,0.906,0.908,0.904,0.911,0.91,0.918,0.912,0.918,0.884,0.915,0.903,0.894,0.899,0.904,0.894,0.908,0.914,0.924,0.883,0.909,0.898,0.897,0.893,0.905,0.893,0.903,0.916,0.89,0.909,0.904,0.905,0.906,0.905,0.897,0.91,0.912,0.885,0.912,0.917,0.912,0.913,0.908,0.917,0.919,0.921
