Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10
0:00:00,0.831,0.879,0.883,0.874,0.876,0.879,0.88,0.881,0.902,0.905,0.865,0.918,0.917,0.892,0.875,0.88,0.893,0.913,0.925,0.89,0.856,0.876,0.918,0.912,0.916,0.927,0.901,0.915,0.906,0.874,0.855,0.867,0.918,0.93,0.904,0.911,0.914,0.92,0.879,0.874,0.863,0.877,0.901,0.905,0.91,0.916,0.885,0.879,0.857,0.872,0.888,0.869,0.869,0.899,0.888,0.897,0.884
0:15:00,0.856,0.903,0.903,0.9,0.902,0.906,0.903,0.904,0.92,0.926,0.887,0.9,0.893,0.896,0.892,0.896,0.899,0.896,0.9,0.914,0.878,0.893,0.889,0.883,0.886,0.908,0.888,0.895,0.897,0.901,0.878,0.889,0.904,0.905,0.881,0.889,0.889,0.891,0.901,0.897,0.884,0.901,0.918,0.894,0.897,0.905,0.899,0.902,0.881,0.896,0.912,0.892,0.893,0.918,0.909,0.914,0.909
0:30:00,0.865,0.916,0.916,0.915,0.916,0.918,0.914,0.916,0.932,0.937,0.896,0.913,0.907,0.909,0.905,0.908,0.911,0.909,0.913,0.925,0.889,0.906,0.902,0.897,0.899,0.919,0.899,0.907,0.91,0.913,0.89,0.902,0.916,0.918,0.893,0.9,0.899,0.902,0.912,0.908,0.896,0.913,0.932,0.906,0.909,0.914,0.911,0.914,0.891,0.908,0.924,0.907,0.907,0.929,0.921,0.928,0.921
0:45:00,0.868,0.921,0.921,0.92,0.921,0.928,0.918,0.92,0.935,0.939,0.9,0.918,0.912,0.915,0.91,0.915,0.916,0.914,0.918,0.929,0.894,0.911,0.908,0.903,0.905,0.924,0.905,0.913,0.916,0.918,0.894,0.907,0.922,0.926,0.899,0.906,0.904,0.907,0.917,0.913,0.903,0.919,0.942,0.912,0.915,0.92,0.916,0.919,0.896,0.913,0.929,0.912,0.912,0.934,0.926,0.933,0.925
1:00:00,0.869,0.922,0.923,0.921,0.923,0.928,0.92,0.922,0.936,0.939,0.901,0.921,0.915,0.917,0.913,0.918,0.918,0.916,0.92,0.93,0.895,0.915,0.91,0.906,0.908,0.926,0.908,0.915,0.919,0.92,0.896,0.91,0.924,0.93,0.903,0.909,0.907,0.909,0.919,0.915,0.906,0.921,0.947,0.916,0.918,0.924,0.919,0.921,0.897,0.917,0.931,0.914,0.915,0.938,0.929,0.937,0.928
1:15:00,0.869,0.924,0.925,0.922,0.924,0.928,0.921,0.922,0.938,0.939,0.902,0.923,0.917,0.918,0.914,0.92,0.919,0.917,0.922,0.93,0.896,0.916,0.912,0.907,0.91,0.928,0.909,0.916,0.92,0.92,0.897,0.912,0.925,0.932,0.904,0.91,0.91,0.912,0.921,0.916,0.908,0.923,0.949,0.918,0.921,0.927,0.921,0.923,0.898,0.919,0.932,0.915,0.917,0.942,0.932,0.939,0.929
1:30:00,0.87,0.924,0.925,0.922,0.925,0.929,0.922,0.923,0.939,0.939,0.903,0.924,0.919,0.919,0.914,0.921,0.92,0.917,0.923,0.93,0.898,0.917,0.914,0.908,0.911,0.929,0.911,0.918,0.922,0.92,0.898,0.914,0.926,0.934,0.906,0.911,0.912,0.914,0.923,0.918,0.909,0.924,0.95,0.919,0.923,0.931,0.923,0.924,0.898,0.92,0.933,0.916,0.918,0.946,0.934,0.941,0.931
1:45:00,0.871,0.925,0.926,0.922,0.925,0.93,0.924,0.924,0.941,0.939,0.904,0.925,0.92,0.92,0.915,0.923,0.92,0.918,0.924,0.929,0.898,0.919,0.915,0.909,0.912,0.929,0.912,0.919,0.923,0.92,0.899,0.915,0.926,0.935,0.907,0.912,0.914,0.917,0.925,0.918,0.911,0.925,0.952,0.92,0.925,0.934,0.925,0.926,0.899,0.922,0.933,0.917,0.919,0.95,0.937,0.944,0.932
2:00:00,0.872,0.926,0.926,0.923,0.925,0.932,0.926,0.925,0.943,0.939,0.904,0.926,0.922,0.92,0.915,0.925,0.921,0.919,0.925,0.929,0.899,0.919,0.916,0.91,0.913,0.931,0.913,0.92,0.925,0.92,0.9,0.917,0.927,0.937,0.909,0.913,0.916,0.921,0.927,0.919,0.912,0.926,0.954,0.921,0.929,0.939,0.928,0.928,0.9,0.924,0.934,0.917,0.92,0.955,0.939,0.947,0.935
2:15:00,0.872,0.927,0.927,0.923,0.926,0.933,0.928,0.926,0.946,0.939,0.905,0.927,0.923,0.921,0.916,0.927,0.922,0.919,0.927,0.929,0.9,0.921,0.918,0.91,0.914,0.933,0.914,0.921,0.926,0.919,0.901,0.918,0.928,0.939,0.911,0.914,0.92,0.925,0.93,0.921,0.914,0.927,0.958,0.922,0.932,0.944,0.931,0.93,0.901,0.927,0.935,0.918,0.922,0.962,0.942,0.951,0.937
2:30:00,0.873,0.928,0.929,0.924,0.927,0.935,0.931,0.927,0.95,0.939,0.906,0.93,0.924,0.922,0.917,0.93,0.923,0.92,0.928,0.928,0.901,0.922,0.92,0.911,0.914,0.935,0.916,0.923,0.928,0.919,0.902,0.919,0.929,0.942,0.913,0.916,0.923,0.93,0.934,0.922,0.917,0.928,0.963,0.923,0.937,0.95,0.935,0.933,0.902,0.93,0.936,0.919,0.924,0.97,0.945,0.957,0.941
2:45:00,0.874,0.93,0.931,0.925,0.928,0.938,0.934,0.928,0.955,0.939,0.907,0.932,0.926,0.923,0.918,0.933,0.924,0.921,0.93,0.928,0.903,0.924,0.922,0.913,0.916,0.937,0.917,0.925,0.93,0.918,0.903,0.922,0.931,0.946,0.915,0.918,0.927,0.936,0.938,0.924,0.919,0.93,0.968,0.924,0.941,0.957,0.939,0.936,0.904,0.933,0.938,0.92,0.927,0.978,0.95,0.963,0.945
3:00:00,0.875,0.932,0.932,0.926,0.93,0.941,0.938,0.929,0.96,0.939,0.909,0.934,0.928,0.924,0.92,0.937,0.926,0.922,0.933,0.928,0.904,0.926,0.925,0.914,0.917,0.939,0.92,0.927,0.933,0.921,0.905,0.925,0.932,0.95,0.916,0.92,0.932,0.943,0.943,0.926,0.923,0.932,0.974,0.926,0.946,0.965,0.945,0.94,0.906,0.937,0.94,0.922,0.93,0.987,0.955,0.969,0.95
3:15:00,0.877,0.935,0.936,0.927,0.932,0.944,0.943,0.93,0.965,0.94,0.91,0.938,0.931,0.926,0.921,0.941,0.927,0.923,0.935,0.929,0.906,0.929,0.929,0.916,0.919,0.941,0.922,0.93,0.936,0.923,0.907,0.928,0.935,0.954,0.918,0.923,0.937,0.951,0.949,0.928,0.927,0.934,0.981,0.927,0.951,0.973,0.951,0.945,0.908,0.941,0.942,0.924,0.934,0.996,0.96,0.977,0.955
3:30:00,0.878,0.937,0.938,0.929,0.935,0.948,0.948,0.932,0.971,0.94,0.912,0.941,0.935,0.928,0.923,0.944,0.929,0.924,0.938,0.929,0.908,0.932,0.933,0.917,0.921,0.944,0.924,0.933,0.94,0.924,0.909,0.932,0.937,0.959,0.921,0.926,0.943,0.959,0.956,0.931,0.932,0.937,0.988,0.929,0.957,0.982,0.958,0.95,0.911,0.946,0.945,0.926,0.939,1.005,0.966,0.986,0.962
3:45:00,0.88,0.94,0.942,0.931,0.938,0.953,0.954,0.935,0.975,0.94,0.914,0.945,0.939,0.929,0.925,0.947,0.93,0.925,0.94,0.929,0.91,0.935,0.937,0.919,0.923,0.947,0.927,0.936,0.944,0.925,0.912,0.936,0.94,0.965,0.924,0.929,0.949,0.969,0.964,0.934,0.937,0.94,0.993,0.932,0.963,0.992,0.966,0.955,0.914,0.952,0.948,0.928,0.944,1.016,0.974,0.995,0.969
4:00:00,0.882,0.944,0.947,0.934,0.941,0.958,0.961,0.939,0.983,0.941,0.916,0.949,0.942,0.931,0.927,0.956,0.931,0.925,0.942,0.93,0.913,0.939,0.941,0.921,0.926,0.948,0.928,0.939,0.947,0.925,0.916,0.941,0.944,0.971,0.926,0.931,0.952,0.978,0.972,0.938,0.944,0.944,0.995,0.935,0.968,1.002,0.974,0.961,0.918,0.958,0.952,0.932,0.948,1.027,0.982,1.005,0.978
4:15:00,0.885,0.948,0.952,0.937,0.945,0.965,0.968,0.942,0.992,0.942,0.919,0.954,0.946,0.933,0.929,0.968,0.932,0.927,0.949,0.93,0.916,0.943,0.946,0.923,0.928,0.952,0.93,0.941,0.952,0.927,0.919,0.947,0.948,0.978,0.929,0.936,0.955,0.988,0.982,0.942,0.951,0.948,1.001,0.938,0.971,1.008,0.984,0.967,0.923,0.966,0.957,0.935,0.952,1.04,0.989,1.014,0.983
4:30:00,0.888,0.953,0.958,0.94,0.95,0.972,0.976,0.948,0.997,0.944,0.921,0.959,0.953,0.935,0.929,0.983,0.935,0.933,0.958,0.931,0.919,0.946,0.951,0.925,0.931,0.959,0.935,0.945,0.956,0.928,0.924,0.952,0.953,0.987,0.932,0.938,0.956,0.991,0.99,0.947,0.959,0.954,1.007,0.94,0.973,1.009,0.994,0.971,0.928,0.974,0.963,0.938,0.958,1.047,0.991,1.026,0.991
4:45:00,0.89,0.959,0.965,0.944,0.956,0.981,0.984,0.952,1.003,0.945,0.924,0.965,0.96,0.937,0.932,1.004,0.941,0.939,0.967,0.933,0.922,0.952,0.958,0.928,0.934,0.965,0.938,0.949,0.961,0.929,0.929,0.96,0.958,0.996,0.936,0.938,0.958,0.996,0.992,0.953,0.969,0.959,1.012,0.941,0.976,1.014,0.998,0.974,0.935,0.984,0.97,0.942,0.967,1.055,0.989,1.054,1.004
5:00:00,0.894,0.965,0.973,0.948,0.964,0.991,0.994,0.957,1.008,0.946,0.927,0.973,0.971,0.942,0.937,1.02,0.945,0.941,0.98,0.935,0.926,0.957,0.967,0.93,0.938,0.976,0.945,0.953,0.971,0.93,0.934,0.968,0.964,1.003,0.943,0.941,0.965,0.999,0.997,0.96,0.978,0.965,1.021,0.945,0.978,1.023,0.998,0.981,0.942,0.996,0.977,0.948,0.973,1.067,0.996,1.091,1.014
5:15:00,0.897,0.973,0.982,0.954,0.972,1.004,1.004,0.964,1.014,0.948,0.931,0.981,0.981,0.948,0.943,1.042,0.95,0.947,0.995,0.936,0.93,0.963,0.977,0.933,0.943,0.984,0.95,0.962,0.982,0.932,0.939,0.98,0.971,1.012,0.949,0.946,0.973,1.008,1.006,0.966,0.989,0.972,1.032,0.951,0.983,1.038,1.004,0.988,0.951,1.008,0.985,0.953,0.981,1.083,1.001,1.123,1.024
5:30:00,0.901,0.981,0.992,0.959,0.982,1.019,1.015,0.97,1.02,0.949,0.935,0.99,0.994,0.955,0.95,1.064,0.957,0.953,1.009,0.938,0.934,0.97,0.99,0.938,0.948,0.995,0.958,0.97,0.997,0.934,0.946,0.993,0.978,1.024,0.958,0.953,0.981,1.015,1.01,0.974,1.002,0.98,1.045,0.959,0.993,1.054,1.009,0.993,0.961,1.024,0.993,0.957,0.996,1.102,1.008,1.145,1.033
5:45:00,0.906,0.99,1.004,0.966,0.993,1.038,1.025,0.978,1.028,0.951,0.94,1.002,1.007,0.962,0.957,1.087,0.965,0.958,1.027,0.939,0.939,0.982,1.003,0.943,0.956,1.008,0.966,0.976,1.011,0.936,0.955,1.007,0.987,1.035,0.971,0.962,0.988,1.022,1.015,0.983,1.018,0.989,1.06,0.967,1.003,1.075,1.015,0.998,0.972,1.044,1.002,0.965,1.008,1.124,1.018,1.16,1.043
6:00:00,0.91,1.001,1.018,0.974,1.008,1.059,1.036,0.987,1.038,0.953,0.946,1.015,1.022,0.971,0.967,1.115,0.972,0.966,1.045,0.94,0.945,0.992,1.019,0.951,0.963,1.021,0.975,0.988,1.028,0.938,0.965,1.023,0.995,1.05,0.985,0.969,1,1.031,1.023,0.995,1.036,1,1.076,0.977,1.014,1.093,1.024,1.007,0.985,1.06,1.011,0.974,1.021,1.147,1.025,1.174,1.056
6:15:00,0.916,1.012,1.033,0.983,1.024,1.084,1.047,0.996,1.049,0.955,0.953,1.029,1.039,0.98,0.977,1.147,0.98,0.973,1.06,0.941,0.953,1.004,1.039,0.959,0.973,1.037,0.987,0.998,1.047,0.941,0.976,1.04,1.005,1.065,0.999,0.982,1.01,1.039,1.032,1.007,1.056,1.011,1.093,0.987,1.027,1.11,1.036,1.016,1,1.081,1.02,0.984,1.036,1.185,1.046,1.187,1.07
6:30:00,0.922,1.025,1.051,0.993,1.043,1.113,1.059,1.007,1.06,0.958,0.962,1.045,1.058,0.991,0.991,1.173,0.991,0.982,1.079,0.943,0.961,1.017,1.06,0.968,0.984,1.054,1,1.014,1.066,0.944,0.988,1.059,1.016,1.082,1.015,0.993,1.019,1.049,1.043,1.022,1.078,1.024,1.114,0.999,1.042,1.131,1.048,1.028,1.016,1.108,1.034,0.997,1.055,1.226,1.051,1.206,1.084
6:45:00,0.929,1.039,1.071,1.005,1.064,1.145,1.072,1.019,1.073,0.961,0.971,1.063,1.08,1.003,1.006,1.206,1.001,0.991,1.097,0.944,0.972,1.032,1.083,0.978,0.997,1.075,1.016,1.025,1.089,0.947,1.002,1.078,1.028,1.1,1.032,1.005,1.033,1.061,1.055,1.038,1.102,1.038,1.132,1.013,1.056,1.152,1.061,1.041,1.035,1.132,1.047,1.01,1.076,1.251,1.063,1.228,1.099
7:00:00,0.936,1.056,1.093,1.019,1.087,1.18,1.085,1.032,1.085,0.964,0.98,1.084,1.103,1.016,1.022,1.241,1.013,1.002,1.117,0.946,0.985,1.049,1.109,0.989,1.011,1.098,1.034,1.04,1.113,0.951,1.018,1.102,1.044,1.12,1.052,1.02,1.042,1.073,1.069,1.055,1.129,1.052,1.154,1.031,1.074,1.174,1.074,1.057,1.056,1.16,1.059,1.025,1.093,1.269,1.079,1.252,1.116
7:15:00,0.945,1.074,1.116,1.034,1.113,1.217,1.1,1.046,1.098,0.967,0.991,1.107,1.129,1.032,1.041,1.271,1.026,1.014,1.141,0.948,0.998,1.069,1.134,1.003,1.028,1.128,1.053,1.054,1.14,0.956,1.037,1.128,1.061,1.148,1.07,1.036,1.055,1.087,1.081,1.075,1.16,1.069,1.181,1.048,1.093,1.199,1.089,1.069,1.079,1.19,1.075,1.042,1.11,1.287,1.095,1.283,1.134
7:30:00,0.954,1.095,1.145,1.052,1.142,1.255,1.116,1.06,1.112,0.971,1.002,1.132,1.157,1.048,1.062,1.304,1.042,1.026,1.17,0.951,1.013,1.093,1.165,1.019,1.048,1.154,1.075,1.074,1.166,0.961,1.058,1.158,1.079,1.172,1.091,1.054,1.068,1.102,1.095,1.097,1.193,1.087,1.208,1.063,1.113,1.225,1.103,1.085,1.104,1.224,1.092,1.061,1.137,1.308,1.113,1.328,1.155
7:45:00,0.965,1.117,1.176,1.074,1.171,1.293,1.133,1.076,1.128,0.974,1.014,1.16,1.189,1.066,1.087,1.342,1.058,1.041,1.189,0.954,1.029,1.112,1.197,1.036,1.069,1.187,1.107,1.094,1.195,0.967,1.082,1.19,1.098,1.202,1.115,1.071,1.085,1.119,1.112,1.122,1.227,1.108,1.234,1.085,1.134,1.255,1.12,1.103,1.132,1.255,1.111,1.081,1.167,1.331,1.134,1.392,1.176
8:00:00,0.977,1.142,1.206,1.098,1.206,1.331,1.152,1.093,1.145,0.977,1.027,1.189,1.222,1.087,1.112,1.381,1.077,1.057,1.22,0.958,1.045,1.139,1.23,1.053,1.093,1.214,1.142,1.119,1.224,0.974,1.109,1.223,1.117,1.228,1.141,1.092,1.101,1.138,1.131,1.151,1.262,1.128,1.275,1.109,1.155,1.282,1.137,1.123,1.162,1.29,1.13,1.105,1.198,1.356,1.154,1.444,1.199
8:15:00,0.99,1.168,1.242,1.124,1.244,1.37,1.172,1.111,1.165,0.981,1.042,1.222,1.258,1.111,1.139,1.417,1.096,1.073,1.254,0.963,1.062,1.17,1.266,1.075,1.119,1.252,1.175,1.146,1.253,0.983,1.14,1.256,1.135,1.258,1.169,1.117,1.123,1.158,1.15,1.182,1.298,1.15,1.305,1.136,1.182,1.313,1.156,1.144,1.196,1.327,1.153,1.13,1.228,1.382,1.179,1.478,1.226
8:30:00,1.006,1.196,1.275,1.154,1.29,1.407,1.195,1.131,1.185,0.987,1.059,1.254,1.294,1.138,1.167,1.451,1.121,1.092,1.28,0.968,1.078,1.196,1.303,1.097,1.147,1.283,1.209,1.175,1.283,0.993,1.173,1.29,1.157,1.288,1.198,1.136,1.141,1.179,1.172,1.216,1.331,1.176,1.339,1.163,1.207,1.345,1.177,1.166,1.23,1.362,1.177,1.16,1.262,1.408,1.203,1.512,1.251
8:45:00,1.022,1.227,1.312,1.185,1.341,1.444,1.22,1.151,1.207,0.994,1.077,1.285,1.332,1.167,1.198,1.491,1.146,1.111,1.313,0.975,1.093,1.227,1.339,1.123,1.176,1.316,1.248,1.204,1.312,1.006,1.208,1.323,1.178,1.321,1.23,1.16,1.158,1.202,1.195,1.252,1.369,1.202,1.37,1.196,1.233,1.381,1.198,1.191,1.264,1.399,1.206,1.189,1.296,1.434,1.23,1.543,1.281
9:00:00,1.04,1.255,1.351,1.218,1.394,1.48,1.245,1.175,1.23,1.003,1.098,1.322,1.371,1.201,1.23,1.533,1.178,1.133,1.356,0.983,1.112,1.26,1.38,1.153,1.206,1.35,1.279,1.238,1.346,1.02,1.243,1.363,1.201,1.355,1.265,1.184,1.18,1.226,1.221,1.29,1.406,1.231,1.404,1.23,1.264,1.415,1.221,1.216,1.301,1.436,1.237,1.219,1.33,1.462,1.256,1.574,1.311
9:15:00,1.06,1.287,1.388,1.253,1.448,1.52,1.27,1.198,1.253,1.014,1.121,1.353,1.41,1.228,1.261,1.572,1.213,1.154,1.381,0.993,1.135,1.288,1.417,1.183,1.239,1.386,1.298,1.273,1.377,1.038,1.28,1.398,1.229,1.389,1.3,1.213,1.204,1.253,1.249,1.329,1.44,1.26,1.435,1.264,1.289,1.448,1.245,1.244,1.339,1.47,1.271,1.253,1.365,1.491,1.285,1.603,1.341
9:30:00,1.081,1.315,1.429,1.288,1.512,1.559,1.297,1.222,1.278,1.027,1.145,1.392,1.445,1.264,1.292,1.607,1.247,1.178,1.413,1.006,1.158,1.323,1.457,1.213,1.272,1.422,1.324,1.308,1.408,1.056,1.317,1.435,1.261,1.42,1.338,1.241,1.228,1.279,1.278,1.365,1.47,1.292,1.468,1.299,1.319,1.484,1.269,1.27,1.375,1.5,1.304,1.285,1.403,1.515,1.314,1.634,1.374
9:45:00,1.106,1.35,1.46,1.321,1.571,1.599,1.322,1.249,1.303,1.043,1.171,1.425,1.483,1.296,1.325,1.647,1.28,1.202,1.445,1.02,1.183,1.355,1.495,1.245,1.309,1.452,1.356,1.343,1.434,1.077,1.355,1.46,1.292,1.452,1.378,1.268,1.253,1.308,1.31,1.405,1.504,1.325,1.499,1.334,1.352,1.517,1.295,1.3,1.414,1.524,1.339,1.32,1.439,1.539,1.343,1.662,1.405
10:00:00,1.13,1.381,1.492,1.352,1.63,1.633,1.351,1.276,1.33,1.059,1.198,1.452,1.518,1.333,1.357,1.685,1.316,1.227,1.475,1.035,1.21,1.388,1.526,1.28,1.345,1.483,1.384,1.381,1.467,1.099,1.393,1.49,1.328,1.483,1.411,1.297,1.281,1.338,1.34,1.438,1.529,1.359,1.526,1.375,1.383,1.553,1.322,1.327,1.445,1.55,1.377,1.355,1.469,1.562,1.373,1.686,1.434
10:15:00,1.158,1.404,1.524,1.388,1.678,1.663,1.376,1.302,1.357,1.076,1.228,1.484,1.546,1.367,1.392,1.722,1.357,1.252,1.503,1.051,1.237,1.421,1.552,1.312,1.382,1.509,1.412,1.421,1.497,1.122,1.427,1.516,1.36,1.511,1.448,1.328,1.308,1.367,1.375,1.471,1.544,1.393,1.549,1.408,1.414,1.588,1.348,1.358,1.476,1.568,1.416,1.392,1.5,1.584,1.403,1.711,1.468
10:30:00,1.185,1.434,1.543,1.427,1.721,1.693,1.402,1.328,1.384,1.094,1.257,1.515,1.566,1.402,1.429,1.76,1.397,1.276,1.534,1.066,1.265,1.45,1.577,1.344,1.419,1.529,1.439,1.456,1.525,1.147,1.455,1.534,1.39,1.536,1.478,1.355,1.336,1.399,1.404,1.499,1.563,1.434,1.572,1.445,1.443,1.618,1.371,1.389,1.498,1.589,1.455,1.427,1.522,1.597,1.433,1.728,1.494
10:45:00,1.214,1.456,1.563,1.46,1.743,1.719,1.426,1.355,1.411,1.113,1.287,1.534,1.587,1.436,1.462,1.787,1.438,1.301,1.559,1.083,1.293,1.474,1.602,1.38,1.455,1.546,1.467,1.49,1.546,1.171,1.482,1.555,1.43,1.555,1.507,1.384,1.364,1.429,1.438,1.53,1.569,1.47,1.584,1.475,1.468,1.647,1.398,1.42,1.517,1.595,1.496,1.459,1.543,1.608,1.464,1.742,1.522
11:00:00,1.242,1.475,1.582,1.496,1.765,1.744,1.453,1.382,1.438,1.133,1.317,1.553,1.602,1.47,1.494,1.803,1.467,1.321,1.591,1.102,1.318,1.496,1.61,1.414,1.487,1.561,1.491,1.523,1.565,1.194,1.504,1.563,1.468,1.571,1.532,1.409,1.394,1.458,1.466,1.552,1.579,1.511,1.596,1.504,1.496,1.674,1.421,1.451,1.541,1.603,1.536,1.493,1.553,1.615,1.491,1.749,1.55
11:15:00,1.271,1.499,1.587,1.523,1.774,1.775,1.476,1.41,1.466,1.156,1.345,1.569,1.609,1.496,1.527,1.814,1.494,1.343,1.607,1.123,1.342,1.516,1.621,1.447,1.516,1.574,1.512,1.543,1.584,1.221,1.524,1.574,1.507,1.585,1.549,1.436,1.422,1.488,1.494,1.564,1.585,1.546,1.6,1.528,1.518,1.698,1.446,1.48,1.557,1.61,1.574,1.52,1.57,1.619,1.511,1.753,1.565
11:30:00,1.297,1.516,1.59,1.55,1.776,1.788,1.493,1.433,1.488,1.18,1.371,1.581,1.617,1.519,1.556,1.814,1.518,1.368,1.628,1.145,1.366,1.53,1.623,1.471,1.54,1.594,1.53,1.56,1.593,1.248,1.539,1.583,1.542,1.592,1.566,1.457,1.449,1.518,1.524,1.577,1.593,1.583,1.6,1.549,1.537,1.709,1.472,1.507,1.569,1.607,1.613,1.545,1.57,1.62,1.525,1.758,1.587
11:45:00,1.324,1.524,1.601,1.571,1.788,1.797,1.511,1.447,1.491,1.208,1.395,1.585,1.619,1.537,1.581,1.813,1.552,1.389,1.634,1.167,1.389,1.542,1.625,1.494,1.561,1.614,1.543,1.579,1.595,1.275,1.55,1.587,1.578,1.594,1.568,1.474,1.472,1.544,1.55,1.587,1.589,1.618,1.601,1.565,1.556,1.717,1.493,1.528,1.57,1.601,1.653,1.566,1.577,1.618,1.541,1.745,1.6
12:00:00,1.349,1.542,1.6,1.593,1.797,1.796,1.522,1.458,1.509,1.239,1.421,1.597,1.613,1.551,1.605,1.809,1.563,1.404,1.643,1.191,1.409,1.551,1.626,1.513,1.575,1.642,1.552,1.588,1.595,1.301,1.562,1.584,1.611,1.589,1.576,1.493,1.491,1.569,1.577,1.593,1.582,1.656,1.599,1.577,1.564,1.721,1.517,1.546,1.573,1.614,1.687,1.582,1.578,1.615,1.55,1.739,1.608
12:15:00,1.374,1.548,1.596,1.607,1.805,1.791,1.53,1.475,1.519,1.276,1.439,1.594,1.611,1.56,1.629,1.806,1.582,1.42,1.64,1.217,1.428,1.559,1.617,1.522,1.586,1.66,1.557,1.604,1.598,1.323,1.565,1.577,1.646,1.586,1.582,1.507,1.508,1.59,1.592,1.594,1.582,1.692,1.591,1.588,1.572,1.72,1.529,1.558,1.578,1.625,1.72,1.591,1.591,1.609,1.553,1.724,1.611
12:30:00,1.394,1.54,1.592,1.619,1.806,1.785,1.531,1.483,1.524,1.313,1.465,1.59,1.603,1.563,1.653,1.802,1.596,1.433,1.645,1.246,1.444,1.562,1.61,1.532,1.596,1.682,1.558,1.6,1.592,1.354,1.563,1.575,1.679,1.58,1.584,1.517,1.519,1.605,1.6,1.594,1.581,1.726,1.582,1.599,1.576,1.717,1.539,1.567,1.573,1.625,1.75,1.592,1.61,1.605,1.559,1.712,1.605
12:45:00,1.415,1.544,1.586,1.623,1.801,1.78,1.532,1.49,1.535,1.354,1.486,1.588,1.598,1.57,1.672,1.793,1.609,1.444,1.642,1.275,1.454,1.566,1.6,1.532,1.614,1.698,1.556,1.606,1.581,1.376,1.563,1.565,1.708,1.577,1.594,1.527,1.527,1.615,1.608,1.585,1.572,1.749,1.575,1.616,1.581,1.709,1.548,1.571,1.571,1.626,1.77,1.597,1.645,1.603,1.552,1.702,1.604
13:00:00,1.436,1.55,1.577,1.638,1.793,1.773,1.535,1.492,1.533,1.394,1.503,1.584,1.591,1.564,1.689,1.786,1.621,1.447,1.636,1.305,1.468,1.561,1.591,1.534,1.637,1.708,1.554,1.602,1.575,1.406,1.561,1.554,1.734,1.568,1.609,1.533,1.53,1.622,1.611,1.581,1.556,1.773,1.569,1.638,1.585,1.699,1.55,1.576,1.555,1.626,1.787,1.591,1.682,1.598,1.552,1.694,1.599
13:15:00,1.455,1.551,1.574,1.64,1.79,1.77,1.54,1.493,1.532,1.434,1.518,1.577,1.574,1.571,1.704,1.777,1.63,1.453,1.631,1.335,1.474,1.559,1.581,1.537,1.667,1.711,1.545,1.6,1.565,1.428,1.559,1.55,1.755,1.565,1.632,1.545,1.531,1.626,1.61,1.58,1.564,1.79,1.563,1.653,1.589,1.686,1.554,1.575,1.549,1.622,1.803,1.587,1.708,1.599,1.545,1.682,1.595
