Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
0:00:00,0.778,0.816,0.792,0.79,0.812,0.82,0.787,0.795,0.793,0.793,0.808,0.813,0.773,0.836,0.828,0.805,0.836,0.775,0.775,0.824,0.838,0.836,0.841,0.814,0.773,0.815,0.828,0.87,0.839,0.819,0.781,0.791,0.831,0.822,0.834,0.815,0.78,0.792,0.792,0.813,0.797,0.801,0.773,0.798,0.797,0.798,0.807,0.83
0:15:00,0.798,0.838,0.816,0.813,0.872,0.834,0.806,0.818,0.817,0.818,0.833,0.837,0.794,0.818,0.821,0.817,0.822,0.798,0.796,0.814,0.815,0.82,0.828,0.838,0.794,0.807,0.813,0.843,0.818,0.843,0.802,0.813,0.819,0.822,0.825,0.838,0.801,0.816,0.815,0.83,0.82,0.824,0.794,0.821,0.819,0.822,0.834,0.853
0:30:00,0.806,0.845,0.823,0.821,0.882,0.836,0.812,0.827,0.826,0.829,0.843,0.845,0.802,0.828,0.827,0.826,0.83,0.805,0.804,0.823,0.824,0.829,0.834,0.846,0.802,0.816,0.822,0.838,0.828,0.851,0.81,0.822,0.827,0.831,0.834,0.847,0.809,0.824,0.824,0.84,0.83,0.832,0.802,0.829,0.828,0.83,0.843,0.862
0:45:00,0.809,0.848,0.826,0.824,0.872,0.838,0.815,0.83,0.829,0.835,0.846,0.849,0.805,0.832,0.829,0.83,0.834,0.808,0.807,0.827,0.828,0.834,0.837,0.851,0.806,0.82,0.827,0.853,0.832,0.856,0.814,0.826,0.832,0.835,0.838,0.851,0.812,0.827,0.828,0.844,0.833,0.836,0.804,0.833,0.831,0.834,0.844,0.864
1:00:00,0.81,0.85,0.828,0.825,0.858,0.84,0.818,0.832,0.831,0.839,0.844,0.85,0.807,0.833,0.831,0.832,0.835,0.808,0.809,0.829,0.83,0.836,0.839,0.852,0.807,0.822,0.829,0.855,0.833,0.857,0.815,0.828,0.833,0.837,0.84,0.852,0.813,0.829,0.83,0.855,0.835,0.837,0.806,0.834,0.833,0.835,0.842,0.865
1:15:00,0.811,0.851,0.828,0.826,0.89,0.841,0.82,0.833,0.832,0.84,0.842,0.85,0.808,0.834,0.832,0.833,0.836,0.808,0.81,0.83,0.831,0.837,0.84,0.852,0.808,0.823,0.83,0.836,0.834,0.858,0.816,0.829,0.835,0.838,0.841,0.853,0.814,0.83,0.831,0.863,0.836,0.838,0.807,0.835,0.834,0.836,0.841,0.866
1:30:00,0.811,0.852,0.829,0.826,0.867,0.841,0.822,0.834,0.833,0.841,0.841,0.851,0.808,0.835,0.833,0.834,0.837,0.809,0.811,0.831,0.832,0.837,0.84,0.853,0.809,0.824,0.831,0.836,0.835,0.859,0.817,0.829,0.835,0.838,0.841,0.853,0.815,0.831,0.832,0.858,0.836,0.839,0.807,0.836,0.834,0.837,0.84,0.867
1:45:00,0.812,0.853,0.829,0.827,0.843,0.841,0.824,0.834,0.834,0.841,0.84,0.852,0.809,0.836,0.834,0.834,0.837,0.809,0.811,0.831,0.832,0.838,0.841,0.854,0.81,0.824,0.831,0.837,0.835,0.859,0.818,0.83,0.835,0.839,0.842,0.854,0.816,0.832,0.832,0.85,0.837,0.84,0.808,0.836,0.835,0.838,0.841,0.868
2:00:00,0.813,0.854,0.83,0.828,0.869,0.842,0.825,0.835,0.834,0.841,0.842,0.852,0.81,0.837,0.834,0.835,0.838,0.81,0.812,0.832,0.833,0.838,0.843,0.854,0.811,0.825,0.832,0.838,0.836,0.86,0.818,0.831,0.836,0.839,0.842,0.855,0.817,0.832,0.833,0.848,0.838,0.84,0.809,0.837,0.836,0.839,0.841,0.869
2:15:00,0.814,0.855,0.831,0.829,0.852,0.842,0.824,0.836,0.835,0.84,0.845,0.854,0.811,0.838,0.835,0.836,0.839,0.811,0.813,0.833,0.834,0.839,0.847,0.855,0.812,0.826,0.832,0.839,0.837,0.861,0.819,0.832,0.837,0.84,0.843,0.856,0.817,0.833,0.834,0.848,0.839,0.841,0.809,0.838,0.837,0.84,0.843,0.869
