Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10
0:00:00,0.912,0.951,0.951,0.958,0.963,0.971,0.958,0.933,0.94,0.969,0.919,0.947,0.931,0.953,0.958,0.978,0.973,0.943,0.955,0.959,0.912,0.952,0.948,0.96,0.97,0.965,0.988,0.968,0.95,0.975,0.905,0.939,0.935,0.953,0.949,0.954,0.956,0.946,0.96,0.934,0.948,0.937,0.949,0.962,0.955,0.964,0.952,0.961,0.915,0.954,0.943,0.957,0.958,0.956,0.974,0.96,0.966
0:15:00,0.929,0.964,0.966,0.969,0.974,0.98,0.97,0.944,0.95,0.978,0.935,0.959,0.942,0.963,0.969,0.984,0.983,0.953,0.965,0.975,0.93,0.964,0.934,0.971,0.98,0.978,1.001,0.978,0.959,0.982,0.918,0.951,0.945,0.964,0.959,0.965,0.966,0.956,0.97,0.95,0.96,0.949,0.961,0.972,0.966,0.975,0.963,0.97,0.931,0.968,0.956,0.969,0.971,0.97,0.987,0.972,0.973
0:30:00,0.93,0.968,0.97,0.973,0.978,0.984,0.973,0.947,0.953,0.981,0.939,0.964,0.946,0.967,0.973,0.987,0.987,0.956,0.969,0.978,0.931,0.968,0.937,0.975,0.984,0.982,1.006,0.982,0.963,0.983,0.922,0.955,0.949,0.968,0.964,0.969,0.97,0.96,0.973,0.954,0.964,0.953,0.965,0.976,0.969,0.978,0.967,0.973,0.934,0.972,0.958,0.971,0.975,0.973,0.99,0.975,0.976
0:45:00,0.929,0.967,0.969,0.972,0.977,0.986,0.973,0.947,0.953,0.981,0.94,0.964,0.946,0.968,0.972,0.987,0.987,0.956,0.968,0.978,0.931,0.967,0.937,0.975,0.984,0.984,1.006,0.982,0.963,0.981,0.922,0.955,0.95,0.968,0.964,0.969,0.969,0.959,0.972,0.954,0.965,0.953,0.966,0.977,0.97,0.978,0.967,0.972,0.934,0.972,0.959,0.97,0.975,0.973,0.99,0.975,0.975
1:00:00,0.927,0.965,0.967,0.97,0.975,0.985,0.971,0.945,0.951,0.979,0.937,0.962,0.945,0.967,0.971,0.988,0.986,0.955,0.966,0.976,0.93,0.965,0.936,0.974,0.982,0.984,1.005,0.98,0.961,0.979,0.921,0.954,0.949,0.967,0.963,0.967,0.968,0.957,0.97,0.952,0.963,0.952,0.965,0.976,0.968,0.976,0.966,0.97,0.933,0.97,0.958,0.969,0.973,0.973,0.988,0.974,0.974
1:15:00,0.926,0.963,0.965,0.968,0.973,0.984,0.969,0.944,0.949,0.976,0.936,0.96,0.943,0.965,0.968,0.987,0.984,0.953,0.963,0.974,0.928,0.963,0.934,0.972,0.98,0.983,1.003,0.978,0.959,0.977,0.919,0.952,0.947,0.964,0.961,0.966,0.966,0.955,0.969,0.951,0.961,0.951,0.963,0.974,0.966,0.973,0.964,0.969,0.931,0.967,0.957,0.968,0.971,0.971,0.986,0.973,0.973
1:30:00,0.924,0.961,0.963,0.966,0.97,0.982,0.967,0.942,0.947,0.974,0.934,0.958,0.941,0.963,0.965,0.986,0.981,0.951,0.961,0.972,0.927,0.961,0.932,0.97,0.977,0.981,1,0.975,0.956,0.975,0.918,0.95,0.945,0.962,0.958,0.963,0.964,0.953,0.967,0.949,0.959,0.948,0.961,0.972,0.964,0.97,0.961,0.967,0.929,0.965,0.955,0.966,0.968,0.97,0.985,0.971,0.972
1:45:00,0.924,0.959,0.961,0.964,0.968,0.981,0.965,0.94,0.945,0.973,0.933,0.956,0.939,0.962,0.963,0.986,0.98,0.949,0.959,0.97,0.927,0.959,0.93,0.968,0.974,0.98,1,0.973,0.954,0.973,0.916,0.948,0.943,0.96,0.956,0.962,0.963,0.95,0.966,0.947,0.956,0.946,0.958,0.969,0.961,0.968,0.959,0.965,0.927,0.963,0.953,0.964,0.966,0.968,0.983,0.969,0.971
2:00:00,0.923,0.958,0.959,0.961,0.966,0.98,0.963,0.938,0.942,0.972,0.932,0.954,0.937,0.96,0.96,0.985,0.977,0.946,0.957,0.968,0.926,0.956,0.928,0.965,0.972,0.98,0.997,0.97,0.952,0.971,0.914,0.946,0.941,0.958,0.954,0.959,0.961,0.947,0.965,0.945,0.955,0.944,0.957,0.968,0.959,0.966,0.957,0.965,0.925,0.961,0.951,0.963,0.964,0.966,0.981,0.967,0.971
2:15:00,0.923,0.956,0.957,0.96,0.964,0.98,0.962,0.937,0.94,0.97,0.932,0.952,0.935,0.958,0.958,0.985,0.975,0.944,0.954,0.966,0.925,0.954,0.926,0.963,0.97,0.98,0.995,0.967,0.949,0.969,0.912,0.944,0.939,0.956,0.952,0.957,0.959,0.945,0.965,0.943,0.953,0.942,0.955,0.966,0.957,0.963,0.955,0.964,0.923,0.959,0.947,0.961,0.962,0.964,0.98,0.965,0.972
2:30:00,0.923,0.954,0.956,0.957,0.962,0.98,0.96,0.935,0.938,0.969,0.931,0.95,0.933,0.956,0.956,0.986,0.973,0.942,0.952,0.965,0.925,0.952,0.924,0.961,0.967,0.98,0.992,0.965,0.947,0.967,0.91,0.942,0.938,0.954,0.95,0.955,0.957,0.944,0.965,0.94,0.951,0.94,0.953,0.964,0.955,0.961,0.953,0.965,0.921,0.958,0.945,0.959,0.96,0.963,0.978,0.964,0.974
2:45:00,0.923,0.952,0.954,0.956,0.96,0.981,0.958,0.933,0.936,0.968,0.931,0.948,0.931,0.955,0.953,0.988,0.971,0.94,0.95,0.964,0.926,0.95,0.922,0.959,0.965,0.981,0.99,0.962,0.945,0.965,0.908,0.941,0.936,0.952,0.948,0.954,0.955,0.942,0.966,0.938,0.949,0.938,0.952,0.962,0.954,0.959,0.951,0.967,0.919,0.956,0.943,0.958,0.958,0.961,0.976,0.962,0.976
3:00:00,0.924,0.951,0.953,0.954,0.958,0.983,0.956,0.931,0.935,0.967,0.932,0.946,0.929,0.953,0.951,0.991,0.969,0.938,0.948,0.963,0.927,0.948,0.921,0.957,0.963,0.984,0.988,0.96,0.939,0.964,0.907,0.939,0.935,0.95,0.946,0.952,0.953,0.94,0.968,0.936,0.947,0.937,0.95,0.96,0.952,0.957,0.949,0.97,0.918,0.954,0.942,0.957,0.957,0.96,0.975,0.961,0.98
3:15:00,0.925,0.95,0.951,0.953,0.956,0.986,0.955,0.929,0.933,0.966,0.934,0.945,0.927,0.952,0.949,0.994,0.967,0.936,0.946,0.962,0.928,0.946,0.919,0.955,0.961,0.987,0.986,0.958,0.937,0.963,0.905,0.937,0.933,0.949,0.944,0.95,0.952,0.938,0.965,0.935,0.946,0.935,0.948,0.958,0.95,0.956,0.947,0.974,0.916,0.953,0.941,0.955,0.955,0.958,0.974,0.959,0.985
3:30:00,0.926,0.948,0.95,0.951,0.955,0.989,0.954,0.927,0.931,0.965,0.936,0.943,0.926,0.949,0.947,0.998,0.965,0.934,0.944,0.961,0.931,0.945,0.918,0.954,0.96,0.99,0.984,0.956,0.936,0.962,0.904,0.936,0.932,0.947,0.942,0.949,0.95,0.936,0.97,0.933,0.944,0.934,0.947,0.957,0.949,0.954,0.946,0.979,0.915,0.952,0.94,0.954,0.954,0.957,0.972,0.958,0.991
3:45:00,0.928,0.947,0.949,0.95,0.954,0.993,0.952,0.926,0.93,0.964,0.939,0.942,0.924,0.948,0.946,1.003,0.964,0.933,0.943,0.961,0.934,0.943,0.917,0.952,0.959,0.995,0.983,0.954,0.934,0.961,0.903,0.935,0.93,0.946,0.941,0.947,0.949,0.935,0.977,0.932,0.943,0.932,0.946,0.955,0.948,0.953,0.944,0.986,0.913,0.951,0.939,0.953,0.953,0.956,0.971,0.956,0.999
4:00:00,0.93,0.946,0.948,0.949,0.952,0.998,0.951,0.924,0.929,0.964,0.943,0.941,0.923,0.946,0.944,1.009,0.962,0.931,0.942,0.961,0.938,0.942,0.916,0.951,0.958,1,0.981,0.953,0.934,0.961,0.901,0.934,0.929,0.945,0.939,0.946,0.948,0.933,0.986,0.93,0.942,0.919,0.944,0.954,0.946,0.951,0.943,0.993,0.912,0.95,0.938,0.952,0.951,0.954,0.97,0.955,1.008
4:15:00,0.933,0.945,0.948,0.948,0.952,1.005,0.95,0.923,0.928,0.964,0.948,0.94,0.922,0.945,0.943,1.017,0.961,0.93,0.941,0.961,0.942,0.941,0.915,0.951,0.957,1.008,0.98,0.951,0.933,0.962,0.9,0.933,0.928,0.944,0.938,0.945,0.947,0.932,0.996,0.929,0.941,0.918,0.944,0.953,0.945,0.95,0.942,1.004,0.911,0.949,0.938,0.951,0.95,0.954,0.969,0.954,1.019
4:30:00,0.936,0.945,0.947,0.948,0.951,1.014,0.949,0.922,0.927,0.965,0.954,0.939,0.921,0.944,0.941,1.029,0.96,0.929,0.941,0.961,0.948,0.94,0.914,0.95,0.956,1.016,0.979,0.95,0.932,0.962,0.9,0.932,0.928,0.943,0.937,0.944,0.946,0.931,1.008,0.928,0.94,0.918,0.943,0.952,0.944,0.949,0.941,1.016,0.911,0.948,0.938,0.951,0.949,0.953,0.969,0.954,1.032
4:45:00,0.941,0.944,0.946,0.948,0.95,1.025,0.949,0.921,0.926,0.966,0.962,0.938,0.92,0.943,0.94,1.039,0.959,0.928,0.94,0.961,0.954,0.939,0.913,0.95,0.956,1.027,0.979,0.949,0.932,0.963,0.899,0.931,0.927,0.942,0.936,0.944,0.946,0.93,1.023,0.926,0.939,0.917,0.942,0.951,0.944,0.948,0.94,1.03,0.91,0.948,0.938,0.95,0.948,0.952,0.968,0.953,1.048
5:00:00,0.948,0.944,0.946,0.948,0.949,1.035,0.948,0.921,0.926,0.967,0.97,0.937,0.919,0.943,0.939,1.046,0.958,0.928,0.94,0.961,0.963,0.938,0.913,0.95,0.956,1.041,0.978,0.948,0.932,0.964,0.898,0.93,0.927,0.941,0.935,0.943,0.945,0.93,1.04,0.926,0.939,0.917,0.942,0.951,0.943,0.947,0.94,1.048,0.909,0.947,0.938,0.95,0.948,0.951,0.968,0.952,1.069
5:15:00,0.955,0.943,0.946,0.948,0.949,1.042,0.948,0.92,0.926,0.968,0.982,0.937,0.919,0.942,0.939,1.052,0.958,0.927,0.94,0.962,0.972,0.938,0.912,0.951,0.957,1.052,0.978,0.947,0.932,0.966,0.898,0.93,0.927,0.941,0.934,0.943,0.945,0.929,1.068,0.926,0.938,0.916,0.942,0.951,0.942,0.947,0.94,1.077,0.909,0.947,0.938,0.95,0.947,0.951,0.968,0.952,1.086
5:30:00,0.964,0.943,0.929,0.948,0.949,1.046,0.947,0.919,0.926,0.97,0.995,0.937,0.919,0.942,0.938,1.057,0.957,0.927,0.94,0.963,0.981,0.938,0.912,0.951,0.957,1.062,0.978,0.947,0.932,0.968,0.897,0.93,0.926,0.941,0.933,0.943,0.946,0.929,1.047,0.925,0.938,0.916,0.942,0.951,0.942,0.946,0.939,1.063,0.909,0.947,0.939,0.95,0.947,0.951,0.967,0.952,1.077
5:45:00,0.974,0.943,0.93,0.949,0.949,1.055,0.948,0.92,0.926,0.972,1.006,0.936,0.918,0.942,0.938,1.063,0.957,0.927,0.94,0.967,0.997,0.937,0.912,0.952,0.958,1.072,0.978,0.947,0.933,0.97,0.897,0.93,0.927,0.941,0.933,0.944,0.947,0.929,1.052,0.925,0.938,0.916,0.943,0.95,0.942,0.949,0.94,1.069,0.909,0.947,0.939,0.95,0.946,0.95,0.967,0.952,1.087
6:00:00,0.986,0.943,0.931,0.95,0.949,1.072,0.948,0.919,0.926,0.974,1.015,0.936,0.918,0.942,0.938,1.068,0.957,0.927,0.941,0.968,1.007,0.937,0.912,0.953,0.96,1.084,0.979,0.947,0.934,0.972,0.897,0.93,0.927,0.941,0.932,0.944,0.947,0.929,1.07,0.925,0.938,0.917,0.943,0.95,0.942,0.952,0.94,1.071,0.909,0.947,0.94,0.951,0.946,0.95,0.968,0.953,1.11
6:15:00,0.999,0.943,0.933,0.951,0.95,1.086,0.948,0.92,0.925,0.976,1.029,0.936,0.918,0.943,0.937,1.07,0.957,0.927,0.942,0.962,1.019,0.937,0.912,0.955,0.961,1.096,0.98,0.947,0.935,0.975,0.897,0.93,0.928,0.941,0.932,0.945,0.948,0.93,1.089,0.926,0.938,0.917,0.944,0.95,0.942,0.954,0.94,1.11,0.909,0.947,0.941,0.952,0.946,0.95,0.968,0.953,1.125
6:30:00,1.015,0.943,0.934,0.952,0.95,1.097,0.949,0.92,0.925,0.979,1.048,0.937,0.918,0.943,0.938,1.074,0.957,0.927,0.943,0.957,1.038,0.937,0.913,0.957,0.964,1.107,0.981,0.947,0.937,0.984,0.897,0.931,0.929,0.942,0.932,0.946,0.949,0.931,1.112,0.926,0.939,0.917,0.946,0.951,0.943,0.955,0.941,1.135,0.909,0.948,0.942,0.953,0.946,0.95,0.969,0.954,1.14
6:45:00,1.032,0.944,0.935,0.954,0.951,1.123,0.95,0.92,0.927,0.981,1.067,0.937,0.919,0.944,0.938,1.078,0.958,0.928,0.944,0.954,1.055,0.937,0.913,0.96,0.966,1.114,0.982,0.947,0.939,0.99,0.897,0.932,0.93,0.943,0.932,0.948,0.951,0.932,1.135,0.926,0.939,0.918,0.947,0.952,0.944,0.956,0.942,1.153,0.909,0.948,0.944,0.954,0.947,0.95,0.969,0.955,1.165
