Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10
0:00:00,0.888,0.878,0.876,0.875,0.883,0.873,0.879,0.878,0.883,0.855,0.886,0.874,0.876,0.867,0.868,0.871,0.87,0.862,0.873,0.854,0.894,0.872,0.869,0.876,0.872,0.865,0.894,0.878,0.891,0.849,0.878,0.87,0.884,0.858,0.868,0.875,0.863,0.896,0.868,0.872,0.87,0.883,0.862,0.872,0.884,0.863,0.874,0.867,0.894,0.889,0.895,0.882,0.878,0.878,0.881,0.915,0.887
0:15:00,0.913,0.902,0.896,0.899,0.907,0.895,0.902,0.902,0.905,0.88,0.908,0.894,0.896,0.891,0.89,0.887,0.89,0.885,0.895,0.882,0.919,0.894,0.887,0.897,0.893,0.887,0.892,0.893,0.907,0.874,0.901,0.892,0.905,0.88,0.883,0.885,0.883,0.907,0.892,0.895,0.892,0.904,0.886,0.898,0.908,0.887,0.899,0.891,0.911,0.912,0.919,0.907,0.905,0.903,0.903,0.907,0.914
0:30:00,0.926,0.913,0.908,0.913,0.918,0.907,0.916,0.913,0.918,0.888,0.924,0.91,0.908,0.902,0.904,0.9,0.904,0.899,0.907,0.892,0.932,0.908,0.898,0.912,0.904,0.9,0.903,0.908,0.916,0.886,0.911,0.903,0.916,0.893,0.896,0.898,0.895,0.914,0.905,0.906,0.905,0.916,0.898,0.91,0.92,0.9,0.91,0.907,0.921,0.922,0.93,0.918,0.918,0.915,0.915,0.921,0.927
0:45:00,0.929,0.919,0.912,0.918,0.921,0.912,0.92,0.916,0.922,0.891,0.927,0.916,0.914,0.91,0.909,0.904,0.909,0.905,0.912,0.893,0.938,0.914,0.905,0.916,0.91,0.907,0.91,0.914,0.922,0.891,0.916,0.91,0.923,0.899,0.903,0.903,0.901,0.919,0.911,0.909,0.912,0.921,0.904,0.915,0.927,0.906,0.916,0.913,0.924,0.927,0.935,0.924,0.924,0.921,0.92,0.927,0.93
1:00:00,0.932,0.921,0.914,0.919,0.923,0.914,0.921,0.917,0.924,0.893,0.929,0.917,0.917,0.913,0.912,0.907,0.912,0.907,0.914,0.894,0.939,0.915,0.907,0.92,0.913,0.911,0.912,0.916,0.924,0.892,0.918,0.912,0.926,0.903,0.905,0.906,0.904,0.92,0.913,0.911,0.914,0.924,0.907,0.918,0.93,0.909,0.918,0.917,0.926,0.929,0.937,0.927,0.928,0.924,0.922,0.929,0.933
1:15:00,0.933,0.922,0.915,0.921,0.925,0.916,0.922,0.919,0.925,0.893,0.93,0.919,0.918,0.914,0.913,0.909,0.913,0.908,0.915,0.894,0.94,0.916,0.909,0.922,0.914,0.912,0.913,0.917,0.925,0.893,0.918,0.913,0.927,0.904,0.907,0.908,0.906,0.921,0.914,0.912,0.916,0.925,0.909,0.92,0.932,0.911,0.919,0.919,0.927,0.93,0.938,0.928,0.93,0.925,0.924,0.93,0.935
1:30:00,0.933,0.922,0.915,0.921,0.926,0.917,0.922,0.919,0.926,0.894,0.931,0.92,0.918,0.915,0.913,0.91,0.914,0.909,0.916,0.895,0.931,0.917,0.91,0.923,0.916,0.913,0.915,0.918,0.928,0.894,0.919,0.914,0.928,0.905,0.909,0.91,0.907,0.922,0.914,0.912,0.916,0.926,0.91,0.922,0.934,0.912,0.921,0.919,0.927,0.931,0.939,0.93,0.932,0.927,0.926,0.931,0.937
1:45:00,0.934,0.923,0.916,0.922,0.927,0.918,0.923,0.92,0.927,0.894,0.929,0.921,0.919,0.915,0.914,0.911,0.914,0.91,0.917,0.895,0.932,0.919,0.91,0.925,0.916,0.915,0.915,0.919,0.931,0.894,0.919,0.915,0.929,0.906,0.91,0.911,0.908,0.923,0.915,0.912,0.917,0.927,0.912,0.923,0.935,0.913,0.921,0.92,0.927,0.934,0.94,0.931,0.934,0.928,0.927,0.933,0.938
2:00:00,0.935,0.924,0.916,0.923,0.929,0.918,0.923,0.921,0.928,0.894,0.929,0.921,0.92,0.916,0.914,0.913,0.915,0.91,0.918,0.894,0.932,0.92,0.91,0.927,0.918,0.916,0.916,0.92,0.934,0.894,0.919,0.916,0.93,0.908,0.912,0.913,0.909,0.925,0.915,0.913,0.918,0.927,0.914,0.925,0.937,0.914,0.923,0.92,0.928,0.935,0.941,0.932,0.937,0.93,0.928,0.934,0.939
2:15:00,0.936,0.926,0.917,0.924,0.93,0.918,0.924,0.922,0.929,0.894,0.93,0.923,0.921,0.917,0.915,0.915,0.916,0.911,0.919,0.894,0.933,0.922,0.911,0.93,0.919,0.918,0.918,0.921,0.937,0.894,0.919,0.917,0.931,0.909,0.914,0.914,0.91,0.927,0.916,0.913,0.92,0.928,0.916,0.927,0.938,0.915,0.924,0.921,0.928,0.937,0.941,0.934,0.94,0.931,0.93,0.935,0.941
