cell,time,biorep,dilutions,pos
min,0,1,0.1,6
min,0,1,0.01,6
min,0,1,0.001,6
min,0,1,1.00E-04,6
min,0,1,1.00E-05,3
min,0,1,1.00E-06,1
min,0,1,1.00E-07,0
min,0,1,1.00E-08,0
min,0,1,1.00E-09,0
min,0,1,1.00E-10,0
min,0,1,1.00E-11,0
min,0,1,1.00E-12,0
min,0,2,0.1,6
min,0,2,0.01,6
min,0,2,0.001,6
min,0,2,1.00E-04,6
min,0,2,1.00E-05,1
min,0,2,1.00E-06,0
min,0,2,1.00E-07,0
min,0,2,1.00E-08,0
min,0,2,1.00E-09,0
min,0,2,1.00E-10,0
min,0,2,1.00E-11,0
min,0,2,1.00E-12,0
min,0,3,0.1,6
min,0,3,0.01,6
min,0,3,0.001,6
min,0,3,1.00E-04,5
min,0,3,1.00E-05,2
min,0,3,1.00E-06,0
min,0,3,1.00E-07,0
min,0,3,1.00E-08,0
min,0,3,1.00E-09,0
min,0,3,1.00E-10,0
min,0,3,1.00E-11,0
min,0,3,1.00E-12,0
min,0,4,0.1,6
min,0,4,0.01,6
min,0,4,0.001,6
min,0,4,1.00E-04,6
min,0,4,1.00E-05,3
min,0,4,1.00E-06,0
min,0,4,1.00E-07,0
min,0,4,1.00E-08,0
min,0,4,1.00E-09,0
min,0,4,1.00E-10,0
min,0,4,1.00E-11,0
min,0,4,1.00E-12,0
min,4,1,0.1,6
min,4,1,0.01,6
min,4,1,0.001,6
min,4,1,1.00E-04,6
min,4,1,1.00E-05,3
min,4,1,1.00E-06,0
min,4,1,1.00E-07,0
min,4,1,1.00E-08,0
min,4,1,1.00E-09,0
min,4,1,1.00E-10,0
min,4,1,1.00E-11,0
min,4,1,1.00E-12,0
min,4,2,0.1,6
min,4,2,0.01,6
min,4,2,0.001,6
min,4,2,1.00E-04,6
min,4,2,1.00E-05,3
min,4,2,1.00E-06,0
min,4,2,1.00E-07,0
min,4,2,1.00E-08,0
min,4,2,1.00E-09,0
min,4,2,1.00E-10,0
min,4,2,1.00E-11,0
min,4,2,1.00E-12,0
min,4,3,0.1,6
min,4,3,0.01,6
min,4,3,0.001,6
min,4,3,1.00E-04,6
min,4,3,1.00E-05,2
min,4,3,1.00E-06,0
min,4,3,1.00E-07,0
min,4,3,1.00E-08,0
min,4,3,1.00E-09,0
min,4,3,1.00E-10,0
min,4,3,1.00E-11,0
min,4,3,1.00E-12,0
min,4,4,0.1,6
min,4,4,0.01,6
min,4,4,0.001,6
min,4,4,1.00E-04,6
min,4,4,1.00E-05,2
min,4,4,1.00E-06,0
min,4,4,1.00E-07,0
min,4,4,1.00E-08,0
min,4,4,1.00E-09,0
min,4,4,1.00E-10,0
min,4,4,1.00E-11,0
min,4,4,1.00E-12,0
min,8.5,1,0.1,6
min,8.5,1,0.01,6
min,8.5,1,0.001,6
min,8.5,1,1.00E-04,6
min,8.5,1,1.00E-05,6
min,8.5,1,1.00E-06,5
min,8.5,1,1.00E-07,0
min,8.5,1,1.00E-08,0
min,8.5,1,1.00E-09,0
min,8.5,1,1.00E-10,0
min,8.5,1,1.00E-11,0
min,8.5,1,1.00E-12,0
min,8.5,2,0.1,6
min,8.5,2,0.01,6
min,8.5,2,0.001,6
min,8.5,2,1.00E-04,6
min,8.5,2,1.00E-05,6
min,8.5,2,1.00E-06,5
min,8.5,2,1.00E-07,0
min,8.5,2,1.00E-08,0
min,8.5,2,1.00E-09,0
min,8.5,2,1.00E-10,0
min,8.5,2,1.00E-11,0
min,8.5,2,1.00E-12,0
min,8.5,3,0.1,6
min,8.5,3,0.01,6
min,8.5,3,0.001,6
min,8.5,3,1.00E-04,6
min,8.5,3,1.00E-05,6
min,8.5,3,1.00E-06,5
