Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4
0:00:00,0.735,0.783,0.777,0.779,0.782,0.787,0.788,0.77,0.744,0.778,0.787,0.791,0.791,0.794,0.785,0.768,0.737,0.776,0.782,0.786,0.786,0.787,0.8,0.77,0.731,0.776,0.783,0.787,0.806,0.796,0.79,0.772,0.751,0.782,0.786,0.784,0.813,0.81,0.799,0.78,0.731,0.776,0.781,0.781,0.788,0.799,0.787,0.773,0.744,0.78,0.776,0.774,0.779,0.773,0.777,0.763,0.715,0.763,0.771,0.77,0.769,0.771,0.767,0.747
0:15:00,0.759,0.803,0.8,0.8,0.803,0.808,0.809,0.793,0.767,0.802,0.81,0.813,0.813,0.817,0.808,0.793,0.759,0.799,0.803,0.807,0.806,0.808,0.822,0.793,0.753,0.798,0.803,0.807,0.827,0.816,0.812,0.795,0.773,0.805,0.807,0.803,0.833,0.83,0.82,0.802,0.754,0.8,0.803,0.802,0.809,0.821,0.809,0.797,0.766,0.805,0.8,0.797,0.802,0.796,0.801,0.785,0.734,0.787,0.795,0.794,0.793,0.795,0.791,0.768
0:30:00,0.763,0.81,0.807,0.807,0.81,0.816,0.815,0.799,0.773,0.812,0.818,0.821,0.821,0.826,0.817,0.799,0.767,0.808,0.812,0.817,0.816,0.818,0.831,0.801,0.761,0.807,0.813,0.817,0.837,0.825,0.821,0.804,0.78,0.814,0.816,0.813,0.843,0.841,0.829,0.811,0.759,0.808,0.812,0.812,0.818,0.83,0.818,0.805,0.771,0.812,0.808,0.805,0.81,0.804,0.809,0.793,0.737,0.791,0.8,0.8,0.799,0.801,0.796,0.774
0:45:00,0.764,0.811,0.808,0.808,0.812,0.816,0.815,0.8,0.774,0.814,0.82,0.824,0.824,0.828,0.819,0.801,0.768,0.811,0.815,0.82,0.819,0.821,0.834,0.803,0.762,0.81,0.817,0.82,0.841,0.828,0.824,0.805,0.78,0.816,0.82,0.816,0.847,0.845,0.831,0.812,0.759,0.811,0.816,0.815,0.822,0.834,0.821,0.806,0.772,0.814,0.811,0.809,0.813,0.806,0.811,0.793,0.737,0.791,0.8,0.801,0.799,0.8,0.796,0.775
1:00:00,0.764,0.811,0.808,0.808,0.812,0.816,0.815,0.807,0.773,0.814,0.821,0.825,0.824,0.828,0.819,0.801,0.768,0.811,0.816,0.821,0.82,0.822,0.835,0.803,0.762,0.811,0.818,0.822,0.843,0.828,0.824,0.805,0.78,0.817,0.821,0.818,0.849,0.847,0.832,0.812,0.759,0.812,0.817,0.816,0.823,0.834,0.821,0.806,0.772,0.815,0.812,0.809,0.814,0.807,0.812,0.793,0.737,0.791,0.8,0.8,0.798,0.8,0.796,0.775
1:15:00,0.764,0.811,0.808,0.808,0.813,0.817,0.815,0.817,0.774,0.814,0.821,0.824,0.823,0.828,0.819,0.801,0.768,0.811,0.816,0.821,0.82,0.822,0.835,0.802,0.762,0.811,0.818,0.822,0.843,0.828,0.825,0.805,0.78,0.818,0.821,0.818,0.849,0.847,0.832,0.812,0.759,0.812,0.817,0.817,0.823,0.835,0.821,0.806,0.772,0.815,0.812,0.809,0.814,0.807,0.812,0.793,0.738,0.791,0.8,0.8,0.799,0.8,0.796,0.775
1:30:00,0.765,0.811,0.808,0.808,0.813,0.817,0.815,0.806,0.773,0.814,0.82,0.824,0.822,0.827,0.819,0.8,0.768,0.811,0.816,0.821,0.82,0.822,0.835,0.802,0.762,0.811,0.818,0.822,0.843,0.827,0.825,0.805,0.78,0.817,0.821,0.818,0.849,0.847,0.832,0.812,0.759,0.812,0.817,0.816,0.823,0.834,0.821,0.806,0.772,0.814,0.811,0.809,0.814,0.807,0.812,0.793,0.737,0.791,0.8,0.8,0.799,0.8,0.796,0.775
1:45:00,0.765,0.811,0.808,0.808,0.812,0.817,0.815,0.798,0.773,0.814,0.82,0.823,0.822,0.826,0.819,0.8,0.767,0.811,0.816,0.821,0.819,0.822,0.835,0.802,0.762,0.81,0.818,0.821,0.843,0.827,0.825,0.805,0.78,0.817,0.821,0.817,0.848,0.847,0.831,0.811,0.758,0.812,0.817,0.816,0.822,0.834,0.82,0.805,0.772,0.814,0.811,0.809,0.813,0.806,0.811,0.793,0.737,0.792,0.799,0.8,0.799,0.801,0.796,0.775
2:00:00,0.764,0.811,0.808,0.808,0.813,0.817,0.815,0.798,0.773,0.813,0.819,0.823,0.822,0.826,0.819,0.8,0.767,0.81,0.815,0.82,0.819,0.822,0.834,0.801,0.762,0.81,0.817,0.82,0.842,0.827,0.824,0.804,0.78,0.817,0.82,0.817,0.848,0.846,0.831,0.811,0.758,0.812,0.816,0.816,0.822,0.833,0.82,0.805,0.772,0.814,0.81,0.808,0.813,0.806,0.811,0.793,0.736,0.792,0.8,0.8,0.799,0.801,0.797,0.775
2:15:00,0.765,0.811,0.809,0.808,0.813,0.817,0.815,0.798,0.773,0.813,0.819,0.823,0.822,0.827,0.818,0.799,0.767,0.81,0.815,0.82,0.819,0.822,0.834,0.801,0.762,0.81,0.817,0.82,0.842,0.827,0.831,0.804,0.78,0.817,0.82,0.817,0.847,0.846,0.832,0.811,0.758,0.812,0.816,0.815,0.822,0.833,0.82,0.805,0.771,0.813,0.81,0.809,0.812,0.805,0.81,0.792,0.737,0.792,0.799,0.8,0.799,0.801,0.797,0.774
