Time,B3,B4,B5,B6,C3,C4,C5,C6,D3,D4,D5,D6,E3,E4,E5,E6,F3,F4,F5,F6,G3,G4,G5,G6
0:00:00,1.145,1.108,1.134,1.139,1.101,1.102,1.128,1.1,1.099,1.092,1.109,1.114,1.139,1.072,1.103,1.094,1.106,1.087,1.102,1.108,1.118,1.086,1.105,1.086
0:15:00,0.983,0.948,0.967,0.968,0.971,0.964,0.981,0.956,0.967,0.968,0.972,0.974,0.98,0.952,0.968,0.964,0.977,0.966,0.981,0.972,0.965,0.956,0.984,0.948
0:30:00,0.977,0.952,0.972,0.971,0.975,0.967,0.986,0.96,0.972,0.971,0.975,0.977,0.986,0.955,0.978,0.968,0.985,0.969,0.981,0.976,0.975,0.96,0.989,0.952
0:45:00,0.979,0.952,0.972,0.97,0.974,0.968,0.986,0.959,0.972,0.971,0.976,0.976,0.986,0.955,0.978,0.967,0.983,0.969,0.984,0.974,0.975,0.961,0.99,0.953
1:00:00,0.98,0.951,0.97,0.967,0.973,0.967,0.985,0.957,0.972,0.969,0.975,0.973,0.986,0.954,0.977,0.963,0.982,0.967,0.983,0.971,0.974,0.96,0.99,0.951
1:15:00,0.979,0.948,0.969,0.964,0.971,0.965,0.983,0.954,0.971,0.966,0.973,0.971,0.986,0.952,0.976,0.96,0.982,0.965,0.984,0.969,0.973,0.958,0.989,0.949
1:30:00,0.977,0.945,0.967,0.962,0.969,0.962,0.982,0.951,0.97,0.964,0.972,0.969,0.986,0.949,0.976,0.957,0.983,0.963,0.983,0.968,0.973,0.957,0.988,0.947
1:45:00,0.976,0.943,0.966,0.96,0.968,0.96,0.982,0.948,0.969,0.961,0.972,0.967,0.985,0.947,0.975,0.955,0.984,0.961,0.983,0.966,0.973,0.954,0.988,0.946
2:00:00,0.976,0.94,0.966,0.959,0.967,0.957,0.983,0.946,0.968,0.959,0.972,0.966,0.985,0.945,0.975,0.953,0.985,0.958,0.983,0.964,0.973,0.952,0.988,0.945
2:15:00,0.975,0.938,0.967,0.957,0.966,0.955,0.984,0.944,0.967,0.956,0.972,0.964,0.985,0.943,0.976,0.951,0.985,0.955,0.984,0.962,0.973,0.949,0.989,0.943
2:30:00,0.975,0.936,0.968,0.955,0.966,0.952,0.986,0.942,0.967,0.954,0.974,0.963,0.985,0.94,0.977,0.95,0.986,0.953,0.984,0.96,0.973,0.946,0.99,0.942
2:45:00,0.976,0.934,0.97,0.954,0.966,0.95,0.99,0.94,0.968,0.952,0.976,0.963,0.986,0.939,0.98,0.949,0.987,0.95,0.987,0.959,0.974,0.944,0.992,0.941
