Time,B2,B3,B4,B5,B6,B7,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7,E2,E3,E4,E5,E6,E7,F2,F3,F4,F5,F6,F7,G2,G3,G4,G5,G6,G7
0:00:00,0.709,0.739,0.738,0.73,0.74,0.745,0.704,0.73,0.725,0.727,0.731,0.737,0.705,0.729,0.722,0.719,0.733,0.737,0.702,0.728,0.727,0.718,0.735,0.74,0.714,0.731,0.728,0.725,0.743,0.747,0.713,0.741,0.735,0.73,0.744,0.755
0:15:00,0.726,0.755,0.75,0.746,0.755,0.76,0.721,0.746,0.741,0.743,0.746,0.753,0.72,0.746,0.737,0.734,0.747,0.752,0.719,0.745,0.743,0.734,0.749,0.755,0.731,0.748,0.744,0.74,0.757,0.761,0.73,0.758,0.751,0.746,0.759,0.771
0:30:00,0.734,0.763,0.759,0.755,0.763,0.768,0.729,0.755,0.749,0.752,0.753,0.76,0.728,0.754,0.746,0.743,0.755,0.759,0.727,0.754,0.752,0.743,0.758,0.762,0.739,0.756,0.753,0.75,0.765,0.768,0.737,0.767,0.76,0.755,0.767,0.779
0:45:00,0.737,0.766,0.764,0.76,0.766,0.77,0.732,0.759,0.755,0.757,0.757,0.763,0.731,0.76,0.752,0.749,0.759,0.762,0.73,0.758,0.757,0.748,0.761,0.765,0.742,0.761,0.758,0.754,0.769,0.771,0.74,0.772,0.764,0.76,0.77,0.782
1:00:00,0.738,0.767,0.765,0.762,0.767,0.771,0.733,0.761,0.757,0.759,0.758,0.764,0.732,0.762,0.755,0.751,0.76,0.763,0.731,0.762,0.76,0.75,0.763,0.766,0.744,0.763,0.761,0.757,0.77,0.773,0.741,0.776,0.767,0.763,0.771,0.783
1:15:00,0.738,0.768,0.765,0.762,0.768,0.771,0.733,0.762,0.757,0.76,0.759,0.764,0.733,0.763,0.755,0.752,0.761,0.763,0.732,0.763,0.761,0.751,0.763,0.766,0.744,0.764,0.761,0.758,0.771,0.773,0.741,0.777,0.768,0.763,0.772,0.784
1:30:00,0.738,0.768,0.766,0.763,0.768,0.772,0.733,0.762,0.757,0.76,0.759,0.764,0.733,0.763,0.756,0.752,0.761,0.764,0.731,0.763,0.762,0.751,0.764,0.767,0.744,0.765,0.762,0.758,0.772,0.773,0.741,0.777,0.768,0.764,0.772,0.784
1:45:00,0.738,0.768,0.766,0.763,0.768,0.772,0.733,0.763,0.757,0.76,0.759,0.764,0.733,0.763,0.756,0.752,0.762,0.764,0.731,0.763,0.762,0.751,0.764,0.767,0.743,0.765,0.762,0.758,0.772,0.774,0.74,0.777,0.769,0.764,0.773,0.784
2:00:00,0.737,0.768,0.766,0.763,0.768,0.772,0.733,0.763,0.758,0.76,0.759,0.764,0.732,0.763,0.756,0.753,0.762,0.765,0.731,0.763,0.762,0.752,0.764,0.768,0.743,0.765,0.762,0.758,0.772,0.774,0.74,0.778,0.769,0.763,0.773,0.785
2:15:00,0.737,0.768,0.766,0.764,0.769,0.772,0.732,0.763,0.758,0.761,0.76,0.765,0.732,0.764,0.756,0.753,0.762,0.765,0.731,0.763,0.762,0.752,0.764,0.768,0.743,0.766,0.762,0.759,0.773,0.775,0.739,0.778,0.769,0.763,0.773,0.785
2:30:00,0.736,0.769,0.766,0.764,0.769,0.771,0.732,0.764,0.758,0.761,0.76,0.765,0.732,0.764,0.756,0.753,0.762,0.765,0.73,0.763,0.762,0.752,0.765,0.768,0.742,0.766,0.762,0.759,0.773,0.775,0.739,0.778,0.769,0.763,0.774,0.785
2:45:00,0.736,0.769,0.766,0.763,0.769,0.772,0.732,0.764,0.758,0.761,0.76,0.765,0.731,0.764,0.757,0.753,0.762,0.766,0.73,0.763,0.763,0.752,0.765,0.769,0.742,0.766,0.763,0.759,0.773,0.775,0.739,0.778,0.769,0.763,0.774,0.785
3:00:00,0.736,0.769,0.766,0.763,0.769,0.772,0.731,0.765,0.758,0.761,0.76,0.765,0.731,0.764,0.757,0.753,0.762,0.766,0.73,0.764,0.762,0.753,0.765,0.769,0.741,0.766,0.763,0.759,0.773,0.775,0.738,0.778,0.769,0.764,0.774,0.785
3:15:00,0.735,0.769,0.766,0.763,0.769,0.772,0.731,0.765,0.759,0.761,0.76,0.765,0.731,0.764,0.757,0.754,0.763,0.766,0.729,0.764,0.762,0.753,0.765,0.769,0.741,0.767,0.763,0.759,0.773,0.776,0.738,0.778,0.769,0.764,0.774,0.785
3:30:00,0.735,0.769,0.766,0.763,0.769,0.772,0.731,0.765,0.759,0.761,0.761,0.766,0.731,0.765,0.757,0.754,0.763,0.766,0.729,0.765,0.762,0.753,0.766,0.769,0.741,0.767,0.763,0.759,0.773,0.776,0.738,0.778,0.769,0.764,0.774,0.785
3:45:00,0.735,0.769,0.766,0.763,0.769,0.772,0.731,0.765,0.759,0.761,0.761,0.766,0.73,0.765,0.757,0.754,0.763,0.766,0.729,0.765,0.762,0.753,0.766,0.769,0.741,0.767,0.763,0.759,0.773,0.776,0.738,0.778,0.769,0.764,0.774,0.785
4:00:00,0.735,0.769,0.766,0.763,0.77,0.773,0.731,0.765,0.759,0.761,0.761,0.766,0.73,0.766,0.757,0.754,0.763,0.767,0.729,0.765,0.763,0.753,0.766,0.77,0.741,0.768,0.763,0.759,0.773,0.777,0.737,0.778,0.768,0.764,0.774,0.786
4:15:00,0.735,0.769,0.766,0.763,0.77,0.773,0.73,0.765,0.759,0.761,0.761,0.766,0.73,0.766,0.757,0.754,0.763,0.767,0.728,0.766,0.763,0.753,0.766,0.77,0.74,0.768,0.763,0.759,0.773,0.777,0.737,0.778,0.768,0.764,0.775,0.786
4:30:00,0.734,0.77,0.766,0.763,0.77,0.773,0.73,0.766,0.759,0.761,0.761,0.767,0.73,0.767,0.757,0.754,0.763,0.767,0.728,0.766,0.763,0.753,0.766,0.77,0.74,0.768,0.763,0.76,0.774,0.777,0.737,0.779,0.768,0.764,0.775,0.786
4:45:00,0.734,0.77,0.766,0.763,0.77,0.773,0.73,0.766,0.759,0.761,0.761,0.767,0.73,0.767,0.758,0.754,0.763,0.767,0.728,0.766,0.763,0.753,0.766,0.77,0.74,0.769,0.763,0.76,0.774,0.778,0.737,0.779,0.768,0.764,0.775,0.787
5:00:00,0.734,0.77,0.767,0.763,0.769,0.773,0.73,0.766,0.759,0.761,0.761,0.767,0.73,0.768,0.758,0.754,0.763,0.767,0.728,0.767,0.763,0.753,0.767,0.77,0.74,0.769,0.763,0.76,0.774,0.778,0.737,0.779,0.768,0.764,0.775,0.787
5:15:00,0.734,0.77,0.767,0.764,0.769,0.773,0.73,0.766,0.76,0.761,0.761,0.767,0.73,0.769,0.758,0.755,0.764,0.767,0.728,0.767,0.763,0.753,0.767,0.77,0.74,0.769,0.763,0.76,0.774,0.778,0.737,0.78,0.768,0.764,0.775,0.787
5:30:00,0.734,0.771,0.767,0.764,0.77,0.773,0.73,0.766,0.76,0.761,0.762,0.767,0.73,0.77,0.758,0.755,0.764,0.767,0.728,0.768,0.763,0.754,0.767,0.77,0.74,0.77,0.763,0.76,0.774,0.779,0.737,0.781,0.769,0.764,0.775,0.787
5:45:00,0.734,0.771,0.767,0.764,0.77,0.773,0.73,0.766,0.76,0.761,0.762,0.767,0.73,0.77,0.758,0.755,0.764,0.767,0.728,0.769,0.763,0.754,0.767,0.771,0.74,0.77,0.763,0.76,0.774,0.779,0.737,0.782,0.769,0.764,0.776,0.787
6:00:00,0.734,0.772,0.767,0.764,0.77,0.773,0.73,0.767,0.76,0.761,0.762,0.768,0.729,0.771,0.759,0.756,0.764,0.768,0.728,0.77,0.764,0.754,0.768,0.771,0.74,0.771,0.764,0.76,0.774,0.78,0.736,0.783,0.769,0.765,0.776,0.787
6:15:00,0.733,0.772,0.767,0.764,0.77,0.773,0.73,0.767,0.76,0.761,0.762,0.768,0.729,0.772,0.759,0.756,0.764,0.768,0.728,0.77,0.764,0.755,0.768,0.771,0.74,0.771,0.764,0.761,0.775,0.78,0.736,0.784,0.77,0.765,0.776,0.788
6:30:00,0.733,0.773,0.768,0.764,0.77,0.774,0.729,0.768,0.76,0.761,0.762,0.768,0.729,0.772,0.759,0.757,0.765,0.768,0.728,0.77,0.764,0.755,0.768,0.771,0.74,0.772,0.764,0.761,0.775,0.78,0.736,0.785,0.77,0.766,0.777,0.788
6:45:00,0.733,0.774,0.768,0.765,0.77,0.774,0.729,0.768,0.76,0.762,0.763,0.768,0.729,0.772,0.76,0.757,0.765,0.769,0.728,0.77,0.764,0.755,0.769,0.772,0.74,0.773,0.764,0.762,0.775,0.781,0.736,0.786,0.77,0.767,0.777,0.789
7:00:00,0.733,0.775,0.769,0.765,0.771,0.774,0.729,0.769,0.76,0.762,0.763,0.769,0.729,0.773,0.76,0.758,0.765,0.769,0.728,0.77,0.765,0.756,0.769,0.773,0.739,0.773,0.765,0.762,0.776,0.781,0.736,0.787,0.77,0.767,0.778,0.789
7:15:00,0.733,0.777,0.769,0.765,0.771,0.774,0.729,0.77,0.761,0.762,0.763,0.769,0.729,0.774,0.761,0.759,0.766,0.77,0.728,0.771,0.766,0.757,0.77,0.773,0.739,0.775,0.765,0.763,0.776,0.782,0.736,0.789,0.771,0.768,0.778,0.79
7:30:00,0.733,0.778,0.77,0.766,0.771,0.774,0.729,0.77,0.761,0.762,0.764,0.769,0.729,0.774,0.762,0.76,0.766,0.771,0.728,0.771,0.766,0.758,0.77,0.774,0.739,0.775,0.766,0.763,0.777,0.783,0.736,0.79,0.771,0.768,0.779,0.79
7:45:00,0.733,0.78,0.771,0.767,0.772,0.775,0.729,0.771,0.761,0.763,0.764,0.77,0.729,0.775,0.762,0.761,0.767,0.771,0.728,0.772,0.767,0.759,0.771,0.774,0.739,0.777,0.767,0.765,0.777,0.784,0.736,0.792,0.772,0.769,0.779,0.791
8:00:00,0.733,0.782,0.772,0.767,0.772,0.775,0.729,0.773,0.762,0.763,0.764,0.77,0.729,0.777,0.763,0.763,0.767,0.772,0.728,0.773,0.768,0.76,0.772,0.775,0.74,0.778,0.768,0.766,0.778,0.785,0.736,0.794,0.772,0.769,0.78,0.792
8:15:00,0.733,0.784,0.773,0.768,0.773,0.776,0.729,0.774,0.762,0.764,0.765,0.771,0.729,0.778,0.763,0.764,0.768,0.773,0.728,0.774,0.769,0.761,0.773,0.776,0.739,0.78,0.769,0.767,0.778,0.786,0.736,0.795,0.773,0.769,0.78,0.793
8:30:00,0.733,0.786,0.774,0.768,0.773,0.776,0.729,0.775,0.762,0.764,0.765,0.771,0.729,0.78,0.763,0.765,0.769,0.773,0.727,0.775,0.77,0.762,0.774,0.776,0.739,0.781,0.77,0.769,0.779,0.787,0.736,0.797,0.773,0.77,0.781,0.793
