Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,0.859,0.901,0.895,0.883,0.887,0.894,0.904,0.905,0.898,0.873,0.87,0.905,0.895,0.9,0.891,0.888,0.903,0.899,0.924,0.894,0.853,0.896,0.884,0.894,0.88,0.872,0.879,0.926,0.938,0.897,0.845,0.884,0.896,0.892,0.874,0.868,0.896,0.906,0.917,0.912,0.849,0.882,0.894,0.892,0.896,0.887,0.896,0.9,0.89,0.908,0.833,0.858,0.884,0.872,0.876,0.874,0.896,0.901,0.885,0.878,,,,,,,,,,,,,
0:15:00,0.724,0.756,0.751,0.747,0.749,0.743,0.744,0.743,0.741,0.753,0.718,0.746,0.743,0.746,0.741,0.739,0.744,0.743,0.743,0.748,0.719,0.75,0.738,0.74,0.743,0.737,0.738,0.741,0.745,0.745,0.719,0.745,0.745,0.741,0.741,0.738,0.745,0.742,0.743,0.755,0.724,0.74,0.748,0.746,0.754,0.745,0.745,0.746,0.742,0.755,0.73,0.757,0.758,0.747,0.748,0.745,0.76,0.763,0.75,0.754,,,,,,,,,,,,,
0:30:00,0.731,0.764,0.757,0.753,0.756,0.75,0.751,0.749,0.747,0.759,0.725,0.753,0.75,0.752,0.747,0.746,0.75,0.749,0.749,0.754,0.726,0.757,0.744,0.747,0.749,0.743,0.744,0.747,0.751,0.751,0.726,0.751,0.751,0.748,0.747,0.744,0.751,0.748,0.749,0.761,0.731,0.746,0.755,0.752,0.761,0.752,0.752,0.752,0.749,0.762,0.736,0.763,0.764,0.753,0.755,0.752,0.767,0.77,0.756,0.761,,,,,,,,,,,,,
0:45:00,0.734,0.768,0.761,0.757,0.759,0.753,0.753,0.752,0.75,0.762,0.729,0.758,0.753,0.756,0.75,0.749,0.753,0.752,0.752,0.757,0.73,0.761,0.747,0.75,0.752,0.746,0.747,0.75,0.755,0.754,0.729,0.755,0.754,0.751,0.75,0.748,0.754,0.751,0.752,0.764,0.735,0.75,0.758,0.756,0.764,0.756,0.755,0.756,0.752,0.765,0.74,0.766,0.767,0.757,0.758,0.755,0.772,0.773,0.759,0.764,,,,,,,,,,,,,
1:00:00,0.736,0.77,0.763,0.759,0.761,0.755,0.755,0.753,0.751,0.763,0.731,0.759,0.756,0.758,0.753,0.751,0.754,0.753,0.753,0.758,0.732,0.763,0.749,0.753,0.754,0.748,0.749,0.752,0.756,0.755,0.731,0.757,0.756,0.754,0.752,0.75,0.756,0.753,0.754,0.766,0.737,0.751,0.76,0.758,0.767,0.757,0.757,0.757,0.753,0.766,0.741,0.768,0.77,0.759,0.76,0.757,0.775,0.774,0.761,0.765,,,,,,,,,,,,,
1:15:00,0.737,0.771,0.764,0.761,0.762,0.756,0.756,0.754,0.752,0.763,0.732,0.761,0.758,0.76,0.754,0.752,0.755,0.754,0.754,0.759,0.732,0.764,0.751,0.755,0.756,0.749,0.75,0.752,0.757,0.756,0.731,0.758,0.758,0.755,0.754,0.751,0.757,0.753,0.755,0.767,0.738,0.753,0.762,0.76,0.768,0.759,0.757,0.758,0.754,0.767,0.742,0.769,0.771,0.76,0.762,0.758,0.776,0.775,0.762,0.766,,,,,,,,,,,,,
1:30:00,0.737,0.773,0.766,0.763,0.764,0.756,0.756,0.754,0.752,0.763,0.732,0.761,0.759,0.762,0.755,0.752,0.755,0.754,0.754,0.759,0.733,0.765,0.752,0.756,0.757,0.75,0.75,0.753,0.758,0.756,0.732,0.759,0.759,0.757,0.756,0.751,0.757,0.754,0.755,0.767,0.738,0.754,0.763,0.761,0.769,0.759,0.758,0.759,0.754,0.767,0.742,0.769,0.773,0.761,0.763,0.758,0.777,0.775,0.762,0.766,,,,,,,,,,,,,
1:45:00,0.737,0.774,0.767,0.765,0.765,0.757,0.756,0.754,0.752,0.764,0.732,0.762,0.761,0.764,0.757,0.753,0.756,0.755,0.755,0.759,0.733,0.765,0.753,0.758,0.759,0.751,0.751,0.753,0.759,0.757,0.732,0.76,0.761,0.759,0.757,0.752,0.758,0.754,0.755,0.767,0.738,0.755,0.764,0.763,0.771,0.76,0.758,0.759,0.755,0.768,0.742,0.77,0.774,0.763,0.764,0.759,0.777,0.776,0.762,0.766,,,,,,,,,,,,,
2:00:00,0.737,0.774,0.768,0.767,0.767,0.757,0.757,0.755,0.752,0.764,0.732,0.763,0.762,0.767,0.758,0.754,0.756,0.755,0.755,0.759,0.732,0.766,0.755,0.76,0.761,0.752,0.751,0.754,0.759,0.757,0.732,0.761,0.762,0.76,0.759,0.753,0.759,0.755,0.755,0.767,0.738,0.755,0.765,0.764,0.772,0.761,0.759,0.759,0.755,0.768,0.742,0.77,0.776,0.764,0.766,0.759,0.778,0.776,0.762,0.766,,,,,,,,,,,,,
2:15:00,0.737,0.776,0.77,0.77,0.768,0.758,0.757,0.755,0.753,0.764,0.732,0.764,0.765,0.769,0.76,0.755,0.757,0.755,0.755,0.759,0.732,0.767,0.756,0.762,0.763,0.753,0.751,0.754,0.76,0.757,0.732,0.762,0.764,0.763,0.761,0.754,0.759,0.755,0.756,0.767,0.738,0.756,0.767,0.766,0.774,0.761,0.759,0.76,0.755,0.768,0.742,0.771,0.778,0.766,0.768,0.76,0.778,0.776,0.762,0.766,,,,,,,,,,,,,
2:30:00,0.737,0.777,0.772,0.773,0.771,0.759,0.757,0.755,0.753,0.764,0.732,0.765,0.767,0.772,0.762,0.756,0.757,0.756,0.755,0.759,0.732,0.768,0.758,0.765,0.765,0.754,0.752,0.754,0.76,0.758,0.732,0.763,0.765,0.765,0.764,0.754,0.76,0.755,0.756,0.767,0.738,0.757,0.769,0.769,0.777,0.762,0.76,0.76,0.755,0.768,0.742,0.772,0.78,0.768,0.769,0.761,0.779,0.776,0.763,0.766,,,,,,,,,,,,,
