Time,B2,B3,B8,B9,B10,B11,C2,C3,C8,C9,C10,C11,D2,D3,D8,D9,D10,D11,E2,E3,E8,E9,E10,E11,F2,F3,F8,F9,F10,F11,G2,G3,G8,G9,G10,G11
0:00:00,0.712,0.742,0.747,0.735,0.74,0.753,0.702,0.734,0.747,0.736,0.733,0.744,0.702,0.728,0.738,0.732,0.736,0.742,0.702,0.721,0.736,0.729,0.733,0.747,0.703,0.732,0.736,0.732,0.733,0.75,0.709,0.737,0.752,0.746,0.742,0.75
0:15:00,0.727,0.761,0.758,0.75,0.753,0.767,0.716,0.748,0.759,0.75,0.747,0.756,0.717,0.745,0.749,0.745,0.747,0.755,0.718,0.738,0.747,0.742,0.744,0.758,0.717,0.748,0.748,0.746,0.746,0.763,0.724,0.752,0.764,0.761,0.755,0.765
0:30:00,0.734,0.767,0.765,0.757,0.76,0.773,0.723,0.754,0.766,0.757,0.754,0.764,0.724,0.752,0.755,0.752,0.754,0.762,0.724,0.745,0.753,0.749,0.751,0.765,0.723,0.756,0.755,0.753,0.753,0.769,0.73,0.759,0.771,0.768,0.762,0.771
0:45:00,0.736,0.769,0.768,0.76,0.763,0.776,0.726,0.757,0.771,0.76,0.757,0.767,0.727,0.755,0.759,0.756,0.758,0.765,0.727,0.749,0.757,0.753,0.755,0.768,0.726,0.759,0.759,0.757,0.757,0.773,0.733,0.762,0.775,0.772,0.765,0.774
1:00:00,0.737,0.77,0.77,0.762,0.765,0.778,0.727,0.759,0.774,0.763,0.759,0.77,0.729,0.755,0.762,0.759,0.76,0.767,0.729,0.75,0.76,0.755,0.757,0.771,0.727,0.76,0.762,0.76,0.759,0.775,0.734,0.763,0.777,0.774,0.767,0.776
1:15:00,0.738,0.771,0.772,0.763,0.766,0.779,0.728,0.76,0.777,0.764,0.761,0.772,0.729,0.756,0.764,0.761,0.761,0.769,0.73,0.751,0.762,0.757,0.759,0.772,0.728,0.76,0.764,0.762,0.76,0.778,0.735,0.763,0.78,0.776,0.769,0.779
1:30:00,0.738,0.771,0.774,0.764,0.767,0.781,0.728,0.76,0.779,0.766,0.762,0.774,0.73,0.757,0.766,0.762,0.762,0.772,0.731,0.752,0.765,0.759,0.76,0.774,0.729,0.76,0.766,0.764,0.762,0.78,0.735,0.763,0.782,0.778,0.77,0.781
1:45:00,0.739,0.772,0.777,0.766,0.769,0.784,0.729,0.761,0.783,0.767,0.764,0.778,0.73,0.758,0.769,0.764,0.764,0.775,0.731,0.753,0.768,0.761,0.762,0.777,0.729,0.761,0.768,0.766,0.763,0.783,0.735,0.764,0.785,0.781,0.772,0.784
2:00:00,0.739,0.772,0.78,0.768,0.771,0.787,0.729,0.761,0.786,0.769,0.766,0.782,0.729,0.758,0.772,0.766,0.765,0.778,0.731,0.754,0.771,0.763,0.764,0.78,0.729,0.761,0.771,0.768,0.764,0.786,0.735,0.765,0.788,0.783,0.774,0.788
2:15:00,0.738,0.772,0.784,0.771,0.773,0.791,0.728,0.761,0.79,0.772,0.769,0.787,0.729,0.759,0.776,0.769,0.767,0.781,0.731,0.754,0.775,0.765,0.766,0.783,0.729,0.762,0.775,0.771,0.766,0.791,0.734,0.765,0.792,0.786,0.776,0.792
2:30:00,0.737,0.773,0.788,0.774,0.776,0.796,0.728,0.762,0.795,0.775,0.772,0.793,0.729,0.759,0.78,0.772,0.77,0.786,0.73,0.755,0.779,0.769,0.769,0.788,0.729,0.762,0.779,0.775,0.769,0.796,0.734,0.766,0.797,0.79,0.78,0.797
2:45:00,0.737,0.773,0.793,0.778,0.78,0.801,0.728,0.762,0.8,0.779,0.776,0.799,0.728,0.76,0.785,0.776,0.773,0.792,0.73,0.756,0.784,0.772,0.772,0.793,0.729,0.763,0.783,0.779,0.771,0.802,0.734,0.766,0.802,0.794,0.784,0.803
