Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
0:00:00,0.707,0.741,0.749,0.747,0.759,0.741,0.786,0.667,0.725,0.758,0.708,0.74,0.782,0.762,0.745,0.773,0.779,0.782,0.746,0.759,0.698,0.741,0.753,0.75,0.747,0.778,0.776,0.655,0.73,0.746,0.703,0.742,0.745,0.741,0.729,0.735,0.784,0.665,0.713,0.743,0.7,0.74,0.752,0.744,0.735,0.745,0.764,0.756,0.705,0.74,0.699,0.747,0.751,0.754,0.742,0.75,0.756,0.749,0.721,0.744
0:15:00,0.721,0.757,0.763,0.754,0.748,0.755,0.777,0.66,0.719,0.761,0.721,0.754,0.773,0.764,0.748,0.771,0.763,0.766,0.733,0.757,0.711,0.756,0.767,0.765,0.762,0.797,0.768,0.657,0.722,0.756,0.717,0.755,0.759,0.759,0.746,0.75,0.775,0.676,0.726,0.761,0.715,0.754,0.759,0.757,0.748,0.761,0.779,0.766,0.72,0.756,0.714,0.764,0.766,0.766,0.755,0.764,0.771,0.763,0.735,0.761
0:30:00,0.727,0.767,0.771,0.764,0.763,0.763,0.785,0.667,0.729,0.769,0.728,0.762,0.779,0.771,0.756,0.779,0.772,0.775,0.741,0.765,0.718,0.765,0.776,0.769,0.769,0.805,0.777,0.664,0.731,0.764,0.724,0.763,0.767,0.764,0.753,0.759,0.782,0.684,0.735,0.768,0.722,0.762,0.766,0.763,0.754,0.769,0.787,0.773,0.729,0.763,0.721,0.769,0.773,0.771,0.764,0.774,0.778,0.773,0.743,0.768
0:45:00,0.73,0.773,0.773,0.765,0.764,0.77,0.79,0.67,0.732,0.772,0.731,0.767,0.784,0.773,0.76,0.782,0.776,0.778,0.745,0.768,0.721,0.769,0.782,0.772,0.773,0.809,0.782,0.667,0.734,0.767,0.727,0.767,0.772,0.769,0.755,0.762,0.786,0.687,0.739,0.771,0.725,0.766,0.77,0.767,0.756,0.772,0.792,0.778,0.732,0.766,0.723,0.772,0.778,0.776,0.767,0.779,0.782,0.777,0.747,0.771
1:00:00,0.731,0.774,0.774,0.766,0.764,0.77,0.792,0.671,0.733,0.773,0.732,0.769,0.786,0.774,0.76,0.782,0.779,0.779,0.746,0.769,0.723,0.771,0.783,0.773,0.775,0.81,0.784,0.668,0.736,0.769,0.729,0.769,0.773,0.771,0.757,0.764,0.788,0.688,0.741,0.772,0.727,0.768,0.771,0.769,0.758,0.775,0.794,0.78,0.734,0.768,0.725,0.774,0.78,0.777,0.769,0.781,0.784,0.779,0.749,0.772
1:15:00,0.732,0.774,0.775,0.768,0.765,0.769,0.793,0.671,0.733,0.773,0.733,0.769,0.787,0.775,0.761,0.782,0.779,0.78,0.747,0.769,0.724,0.772,0.783,0.773,0.774,0.811,0.785,0.669,0.737,0.77,0.73,0.77,0.773,0.772,0.758,0.765,0.789,0.688,0.742,0.773,0.727,0.769,0.772,0.77,0.759,0.776,0.795,0.781,0.735,0.769,0.726,0.775,0.78,0.778,0.77,0.782,0.785,0.78,0.75,0.773
1:30:00,0.733,0.775,0.776,0.769,0.766,0.77,0.793,0.671,0.733,0.774,0.734,0.77,0.787,0.775,0.762,0.783,0.78,0.78,0.747,0.77,0.724,0.772,0.784,0.773,0.776,0.811,0.787,0.67,0.737,0.77,0.73,0.771,0.773,0.773,0.76,0.766,0.79,0.689,0.742,0.773,0.727,0.769,0.772,0.77,0.76,0.777,0.796,0.781,0.736,0.769,0.726,0.775,0.781,0.778,0.771,0.783,0.785,0.78,0.75,0.773
1:45:00,0.733,0.774,0.776,0.769,0.767,0.771,0.793,0.672,0.733,0.774,0.734,0.77,0.787,0.776,0.763,0.783,0.78,0.781,0.747,0.77,0.724,0.772,0.785,0.774,0.778,0.811,0.787,0.67,0.737,0.77,0.73,0.771,0.774,0.773,0.761,0.768,0.791,0.69,0.743,0.773,0.727,0.769,0.772,0.771,0.761,0.778,0.796,0.782,0.736,0.769,0.727,0.775,0.781,0.778,0.772,0.784,0.786,0.78,0.75,0.773
2:00:00,0.733,0.774,0.776,0.769,0.769,0.772,0.794,0.672,0.734,0.776,0.734,0.77,0.788,0.777,0.765,0.785,0.781,0.781,0.748,0.771,0.724,0.773,0.785,0.775,0.78,0.813,0.787,0.671,0.738,0.771,0.73,0.771,0.774,0.774,0.762,0.77,0.791,0.69,0.743,0.773,0.727,0.77,0.772,0.772,0.763,0.78,0.796,0.782,0.736,0.769,0.727,0.775,0.782,0.778,0.774,0.785,0.786,0.781,0.75,0.773
2:15:00,0.733,0.774,0.776,0.77,0.77,0.773,0.794,0.672,0.734,0.774,0.734,0.77,0.788,0.778,0.767,0.786,0.781,0.782,0.748,0.771,0.724,0.773,0.786,0.776,0.783,0.814,0.787,0.671,0.738,0.771,0.73,0.771,0.775,0.775,0.764,0.771,0.791,0.69,0.743,0.773,0.727,0.77,0.773,0.773,0.765,0.781,0.797,0.782,0.737,0.769,0.727,0.775,0.782,0.779,0.777,0.786,0.786,0.781,0.751,0.773
2:30:00,0.733,0.774,0.777,0.77,0.771,0.775,0.794,0.673,0.734,0.774,0.734,0.77,0.788,0.779,0.77,0.788,0.781,0.782,0.748,0.771,0.724,0.773,0.787,0.778,0.785,0.816,0.788,0.671,0.738,0.771,0.73,0.771,0.775,0.776,0.766,0.774,0.792,0.691,0.743,0.773,0.727,0.77,0.773,0.775,0.768,0.783,0.797,0.782,0.737,0.769,0.726,0.775,0.783,0.78,0.78,0.788,0.786,0.781,0.751,0.773
2:45:00,0.733,0.774,0.777,0.771,0.773,0.777,0.794,0.673,0.734,0.774,0.734,0.77,0.789,0.78,0.773,0.79,0.782,0.782,0.748,0.771,0.724,0.773,0.788,0.779,0.787,0.818,0.788,0.672,0.739,0.771,0.73,0.771,0.776,0.777,0.768,0.776,0.792,0.691,0.743,0.773,0.727,0.77,0.774,0.776,0.77,0.785,0.797,0.783,0.737,0.769,0.726,0.775,0.783,0.78,0.783,0.79,0.787,0.781,0.751,0.772
3:00:00,0.733,0.775,0.778,0.772,0.776,0.779,0.795,0.673,0.734,0.774,0.734,0.771,0.79,0.781,0.776,0.793,0.782,0.783,0.749,0.771,0.724,0.773,0.789,0.781,0.79,0.821,0.788,0.672,0.739,0.771,0.73,0.771,0.777,0.779,0.771,0.78,0.792,0.691,0.743,0.774,0.727,0.77,0.774,0.778,0.773,0.788,0.798,0.783,0.738,0.769,0.725,0.775,0.785,0.782,0.788,0.793,0.787,0.782,0.751,0.772
3:15:00,0.732,0.775,0.778,0.773,0.779,0.781,0.795,0.673,0.735,0.774,0.734,0.771,0.791,0.783,0.781,0.796,0.783,0.783,0.749,0.771,0.723,0.773,0.79,0.783,0.794,0.824,0.789,0.672,0.74,0.771,0.73,0.771,0.778,0.781,0.774,0.784,0.792,0.692,0.744,0.774,0.726,0.77,0.775,0.781,0.778,0.791,0.798,0.784,0.738,0.769,0.725,0.775,0.786,0.783,0.793,0.796,0.788,0.782,0.752,0.772
3:30:00,0.732,0.775,0.779,0.775,0.783,0.785,0.795,0.674,0.735,0.776,0.734,0.771,0.792,0.785,0.787,0.8,0.783,0.783,0.749,0.771,0.723,0.773,0.792,0.786,0.798,0.828,0.789,0.673,0.74,0.771,0.73,0.771,0.779,0.784,0.778,0.789,0.793,0.692,0.745,0.774,0.726,0.77,0.777,0.783,0.782,0.795,0.799,0.784,0.738,0.77,0.725,0.775,0.787,0.785,0.8,0.8,0.788,0.783,0.752,0.772
3:45:00,0.732,0.775,0.78,0.777,0.787,0.788,0.796,0.674,0.735,0.774,0.733,0.771,0.794,0.788,0.794,0.804,0.783,0.784,0.75,0.772,0.723,0.773,0.794,0.79,0.803,0.832,0.79,0.673,0.741,0.771,0.73,0.771,0.78,0.787,0.783,0.794,0.794,0.693,0.746,0.774,0.726,0.771,0.778,0.787,0.789,0.799,0.799,0.785,0.739,0.77,0.725,0.775,0.789,0.787,0.808,0.805,0.789,0.783,0.752,0.772
