day,cell,techrep,biorep,trial,well,order
0,neg,1,1,1,B2,2
0,jcvi,1,1,1,B3,3
0,nm,1,1,1,B4,4
0,nm,1,1,1,B5,5
0,m,1,1,1,B6,6
0,m,1,1,1,B7,7
0,neg,2,1,1,C2,8
0,jcvi,2,1,1,C3,9
0,nm,2,1,1,C4,10
0,nm,2,1,1,C5,11
0,m,2,1,1,C6,12
0,m,2,1,1,C7,13
0,neg,3,1,1,D2,14
0,jcvi,3,1,1,D3,15
0,nm,3,1,1,D4,16
0,nm,3,1,1,D5,17
0,m,3,1,1,D6,18
0,m,3,1,1,D7,19
0,neg,3,1,1,E2,20
0,jcvi,3,1,1,E3,21
0,nm,3,1,1,E4,22
0,nm,3,1,1,E5,23
0,m,3,1,1,E6,24
0,m,3,1,1,E7,25
0,neg,4,1,1,F2,26
0,jcvi,4,1,1,F3,27
0,nm,4,1,1,F4,28
0,nm,4,1,1,F5,29
0,m,4,1,1,F6,30
0,m,4,1,1,F7,31
0,neg,4,1,1,G2,32
0,jcvi,4,1,1,G3,33
0,nm,4,1,1,G4,34
0,nm,4,1,1,G5,35
0,m,4,1,1,G6,36
0,m,4,1,1,G7,37
