day,cell,techrep,biorep,trial,well,order
100,jcvi,1,0,1,B3,3
100,nm,1,1,1,B4,4
100,nm,1,2,1,B5,5
100,nm,1,3,1,B6,6
100,nm,1,4,1,B7,7
100,jcvi,2,0,1,C3,8
100,nm,2,1,1,C4,9
100,nm,2,2,1,C5,10
100,nm,2,3,1,C6,11
100,nm,2,4,1,C7,12
100,jcvi,3,0,1,D3,13
100,nm,3,1,1,D4,14
100,nm,3,2,1,D5,15
100,nm,3,3,1,D6,16
100,nm,3,4,1,D7,17
100,jcvi,4,0,1,E3,18
100,nm,4,1,1,E4,19
100,nm,4,2,1,E5,20
100,nm,4,3,1,E6,21
100,nm,4,4,1,E7,22
100,jcvi,5,0,1,F3,23
100,nm,5,1,1,F4,24
100,nm,5,2,1,F5,25
100,nm,5,3,1,F6,26
100,nm,5,4,1,F7,27
100,jcvi,6,0,1,G3,28
100,nm,6,1,1,G4,29
100,nm,6,2,1,G5,30
100,nm,6,3,1,G6,31
100,nm,6,4,1,G7,32
