day,cell,techrep,biorep,well,order,sample
0,m,1,6,B2,2,M_g0_pop2_rep1_RR
20,m,1,6,B3,3,M_g133_pop2_rep1_RR
40,m,1,6,B4,4,M_g266_pop2_rep1_RR
60,m,1,6,B5,5,M_g399_pop2_rep1_RR
100,m,1,6,B6,6,M_g666_pop2_rep1_RR
140,m,1,6,B7,7,M_g932_pop2_rep1_RR
200,m,1,6,B8,8,M_g1331_pop2_rep1_RR
240,m,1,6,B9,9,M_g1598_pop2_rep1_RR
280,m,1,6,B10,10,M_g1864_pop2_rep1_RR
1000,jcvi,1,6,B11,11,M_jcvi_pop2_rep1_RR
0,m,2,6,C2,12,M_g0_pop2_rep2_RR
20,m,2,6,C3,13,M_g133_pop2_rep2_RR
40,m,2,6,C4,14,M_g266_pop2_rep2_RR
60,m,2,6,C5,15,M_g399_pop2_rep2_RR
100,m,2,6,C6,16,M_g666_pop2_rep2_RR
140,m,2,6,C7,17,M_g932_pop2_rep2_RR
200,m,2,6,C8,18,M_g1331_pop2_rep2_RR
240,m,2,6,C9,19,M_g1598_pop2_rep2_RR
280,m,2,6,C10,20,M_g1864_pop2_rep2_RR
1000,jcvi,2,6,C11,21,M_jcvi_pop2_rep2_RR
0,m,3,6,D2,22,M_g0_pop2_rep3_RR
20,m,3,6,D3,23,M_g133_pop2_rep3_RR
40,m,3,6,D4,24,M_g266_pop2_rep3_RR
60,m,3,6,D5,25,M_g399_pop2_rep3_RR
100,m,3,6,D6,26,M_g666_pop2_rep3_RR
140,m,3,6,D7,27,M_g932_pop2_rep3_RR
200,m,3,6,D8,28,M_g1331_pop2_rep3_RR
240,m,3,6,D9,29,M_g1598_pop2_rep3_RR
280,m,3,6,D10,30,M_g1864_pop2_rep3_RR
1000,jcvi,3,6,D11,31,M_jcvi_pop2_rep3_RR
10,m,1,6,E2,32,M_g66_pop2_rep1_RR
30,m,1,6,E3,33,M_g200_pop2_rep1_RR
50,m,1,6,E4,34,M_g333_pop2_rep1_RR
80,m,1,6,E5,35,M_g533_pop2_rep1_RR
120,m,1,6,E6,36,M_g799_pop2_rep1_RR
160,m,1,6,E7,37,M_g1065_pop2_rep1_RR
220,m,1,6,E8,38,M_g1464_pop2_rep1_RR
260,m,1,6,E9,39,M_g1731_pop2_rep1_RR
300,m,1,6,E10,40,M_g1997_pop2_rep1_RR
10,m,2,6,F2,41,M_g66_pop2_rep2_RR
30,m,2,6,F3,42,M_g200_pop2_rep2_RR
50,m,2,6,F4,43,M_g333_pop2_rep2_RR
80,m,2,6,F5,44,M_g533_pop2_rep2_RR
120,m,2,6,F6,45,M_g799_pop2_rep2_RR
160,m,2,6,F7,46,M_g1065_pop2_rep2_RR
220,m,2,6,F8,47,M_g1464_pop2_rep2_RR
260,m,2,6,F9,48,M_g1731_pop2_rep2_RR
300,m,2,6,F10,49,M_g1997_pop2_rep2_RR
10,m,3,6,G2,50,M_g66_pop2_rep3_RR
30,m,3,6,G3,51,M_g200_pop2_rep3_RR
50,m,3,6,G4,52,M_g333_pop2_rep3_RR
80,m,3,6,G5,53,M_g533_pop2_rep3_RR
120,m,3,6,G6,54,M_g799_pop2_rep3_RR
160,m,3,6,G7,55,M_g1065_pop2_rep3_RR
220,m,3,6,G8,56,M_g1464_pop2_rep3_RR
260,m,3,6,G9,57,M_g1731_pop2_rep3_RR
300,m,3,6,G10,58,M_g1997_pop2_rep3_RR
