day,cell,techrep,biorep,well,order
0,m,1,6,B2,2
20,m,1,6,B3,3
60,m,1,6,B5,4
100,m,1,6,B6,5
140,m,1,6,B7,6
200,m,1,6,B8,7
240,m,1,6,B9,8
280,m,1,6,B10,9
1000,jcvi,1,6,B11,10
0,m,2,6,C2,11
20,m,2,6,C3,12
60,m,2,6,C5,13
100,m,2,6,C6,14
140,m,2,6,C7,15
200,m,2,6,C8,16
240,m,2,6,C9,17
280,m,2,6,C10,18
1000,jcvi,2,6,C11,19
0,m,3,6,D2,20
20,m,3,6,D3,21
60,m,3,6,D5,22
100,m,3,6,D6,23
140,m,3,6,D7,24
200,m,3,6,D8,25
240,m,3,6,D9,26
280,m,3,6,D10,27
1000,jcvi,3,6,D11,28
10,m,1,6,E2,29
30,m,1,6,E3,30
50,m,1,6,E4,31
80,m,1,6,E5,32
120,m,1,6,E6,33
160,m,1,6,E7,34
220,m,1,6,E8,35
260,m,1,6,E9,36
300,m,1,6,E10,37
10,m,2,6,F2,38
30,m,2,6,F3,39
50,m,2,6,F4,40
80,m,2,6,F5,41
120,m,2,6,F6,42
160,m,2,6,F7,43
220,m,2,6,F8,44
260,m,2,6,F9,45
300,m,2,6,F10,46
10,m,3,6,G2,47
30,m,3,6,G3,48
50,m,3,6,G4,49
80,m,3,6,G5,50
120,m,3,6,G6,51
160,m,3,6,G7,52
220,m,3,6,G8,53
260,m,3,6,G9,54
300,m,3,6,G10,55
