day,cell,techrep,biorep,well,order
0,m,1,6,B2,2
20,m,1,6,B3,3
40,m,1,6,B4,4
60,m,1,6,B5,5
100,m,1,6,B6,6
140,m,1,6,B7,7
200,m,1,6,B8,8
240,m,1,6,B9,9
280,m,1,6,B10,10
1000,jcvi,1,6,B11,11
0,m,2,6,C2,12
20,m,2,6,C3,13
40,m,2,6,C4,14
60,m,2,6,C5,15
100,m,2,6,C6,16
140,m,2,6,C7,17
200,m,2,6,C8,18
240,m,2,6,C9,19
280,m,2,6,C10,20
1000,jcvi,2,6,C11,21
0,m,3,6,D2,22
20,m,3,6,D3,23
40,m,3,6,D4,24
60,m,3,6,D5,25
100,m,3,6,D6,26
140,m,3,6,D7,27
200,m,3,6,D8,28
240,m,3,6,D9,29
280,m,3,6,D10,30
1000,jcvi,3,6,D11,31
10,m,1,6,E2,32
30,m,1,6,E3,33
50,m,1,6,E4,34
80,m,1,6,E5,35
120,m,1,6,E6,36
160,m,1,6,E7,37
220,m,1,6,E8,38
260,m,1,6,E9,39
300,m,1,6,E10,40
10,m,2,6,F2,41
30,m,2,6,F3,42
50,m,2,6,F4,43
80,m,2,6,F5,44
120,m,2,6,F6,45
160,m,2,6,F7,46
220,m,2,6,F8,47
260,m,2,6,F9,48
300,m,2,6,F10,49
10,m,3,6,G2,50
30,m,3,6,G3,51
50,m,3,6,G4,52
80,m,3,6,G5,53
120,m,3,6,G6,54
160,m,3,6,G7,55
220,m,3,6,G8,56
260,m,3,6,G9,57
300,m,3,6,G10,58
