Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B6,0.7771,0.3246,0.0571,14.7299,-4.1839,1.1016,-22.574,0.0514,0.0636,0.0511,0.0631
C6,0.771,0.296,0.0646,15.4291,-4.0819,1.0669,-17.3243,0.0561,0.0749,0.0553,0.0738
D6,0.7728,0.3075,0.0492,15.1776,-4.0947,1.0803,-27.7971,0.0431,0.0567,0.0425,0.0559
E6,0.7766,0.3202,0.0486,14.2138,-4.028,1.0967,-29.5266,0.0427,0.0556,0.0423,0.0549
F6,0.7829,0.3193,0.0532,14.5668,-4.111,1.1022,-25.7367,0.0473,0.0602,0.0468,0.0595
G6,0.7831,0.3177,0.0635,13.2582,-4.1012,1.1008,-20.5539,0.0565,0.0718,0.056,0.071
B7,0.78,0.3083,0.0546,14.8432,-4.2796,1.0882,-24.2635,0.0493,0.0608,0.049,0.0603
C7,0.7771,0.2843,0.0615,15.5086,-4.0919,1.0614,-19.1174,0.0528,0.0724,0.0519,0.0711
D7,0.7746,0.2808,0.0521,13.5343,-4.3113,1.0554,-27.1438,0.047,0.0582,0.0466,0.0577
E7,0.78,0.2999,0.0593,14.3786,-4.0804,1.0799,-21.6799,0.0519,0.0682,0.0513,0.0673
F7,0.7866,0.2919,0.0564,12.9723,-4.1553,1.0785,-25.2633,0.0502,0.0637,0.0497,0.063
G7,0.7951,0.2823,0.0581,13.2729,-4.1558,1.0774,-24.2426,0.0514,0.0661,0.0509,0.0653
