Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.7786,0.7917,0.1469,13.3274,-3.6767,1.5703,-1.3804,0.1377,0.157,0.1374,0.1564
C4,0.7692,0.8236,0.1492,14.7117,-3.7254,1.5927,0.3942,0.14,0.1592,0.1397,0.1587
D4,0.7742,0.7495,0.1587,15.8177,-3.4317,1.5236,2.2547,0.143,0.1768,0.142,0.1753
E4,0.7788,0.7966,0.1554,15.3776,-3.503,1.5754,1.4546,0.1415,0.1712,0.1407,0.1701
F4,0.7794,0.7601,0.1578,15.6582,-3.4842,1.5396,1.9336,0.1437,0.1739,0.143,0.1727
G4,0.7801,0.8019,0.126,14.4773,-3.5867,1.5819,-2.658,0.1172,0.1356,0.1168,0.1351
B5,0.773,0.8557,0.1435,13.7801,-3.7818,1.6288,-1.1621,0.1361,0.1515,0.1359,0.1511
C5,0.7703,0.8173,0.1509,14.4929,-3.7606,1.5876,0.315,0.142,0.1605,0.1418,0.16
D5,0.767,0.8121,0.1551,14.5851,-3.6793,1.5791,0.8402,0.1447,0.1665,0.1443,0.1658
E5,0.7693,0.8311,0.1523,15.1669,-3.5501,1.6004,1.1386,0.1402,0.1659,0.1397,0.165
F5,0.7755,0.7825,0.1427,15.1646,-3.5574,1.5579,0.09,0.1305,0.1564,0.1299,0.1555
G5,0.7785,0.792,0.1286,14.9996,-3.4742,1.5706,-1.7592,0.1179,0.1406,0.1174,0.1398
