Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B8,0.7775,0.3021,0.0528,9.7281,-4.3053,1.0797,-30.5687,0.0483,0.058,0.048,0.0576
C8,0.7754,0.3069,0.0564,10.1555,-4.1602,1.0823,-27.5124,0.0508,0.063,0.0504,0.0624
D8,0.7712,0.3143,0.0701,10.281,-4.0358,1.0854,-19.9319,0.0622,0.0795,0.0616,0.0786
E8,0.773,0.3137,0.0556,8.7387,-4.0308,1.0868,-29.3549,0.0498,0.0625,0.0494,0.0618
F8,0.7811,0.3537,0.0536,8.113,-4.0399,1.1347,-31.8341,0.049,0.0587,0.0488,0.0583
G8,0.7809,0.3485,0.0764,8.427,-4.1616,1.1294,-19.6515,0.0698,0.084,0.0694,0.0834
B9,0.7754,0.2983,0.0409,10.4156,-4.8355,1.0737,-41.4004,0.0388,0.0433,0.0387,0.0431
C9,0.7742,0.2958,0.044,10.4742,-4.6609,1.07,-37.6104,0.0412,0.0471,0.0411,0.0469
D9,0.7761,0.3339,0.0628,10.8008,-4.2117,1.11,-23.0851,0.0572,0.0693,0.0568,0.0688
E9,0.7706,0.3101,0.0571,10.9887,-4.4441,1.0807,-25.9651,0.0526,0.0623,0.0524,0.0619
F9,0.7799,0.3297,0.0629,10.83,-4.3674,1.1097,-23.1514,0.0579,0.0686,0.0577,0.0682
G9,0.7817,0.3682,0.0743,9.3498,-4.2274,1.1499,-19.5485,0.0686,0.0807,0.0683,0.0803
B10,0.7802,0.313,0.0599,11.3925,-4.1824,1.0932,-24.34,0.0537,0.067,0.0533,0.0664
C10,0.7842,0.3274,0.0636,11.1902,-4.0323,1.1117,-22.6533,0.0565,0.0719,0.056,0.0711
D10,0.775,0.3327,0.0588,11.5413,-4.0792,1.1077,-24.5819,0.0527,0.0659,0.0523,0.0653
E10,0.7858,0.3627,0.0678,10.3801,-3.9227,1.1485,-21.4109,0.0608,0.0761,0.0603,0.0754
F10,0.7909,0.3646,0.0672,9.4226,-3.8966,1.1555,-22.848,0.0601,0.0757,0.0596,0.0749
G10,0.797,0.3727,0.0732,9.6532,-3.7871,1.1697,-20.2417,0.0639,0.0846,0.063,0.0834
B11,0.7927,0.2702,0.061,9.8241,-4.1768,1.0629,-25.8104,0.0542,0.069,0.0537,0.0683
C11,0.7954,0.2831,0.0556,9.511,-4.3439,1.0784,-29.6465,0.0507,0.0614,0.0504,0.0609
D11,0.7907,0.3153,0.0614,9.1731,-4.2701,1.106,-26.1496,0.0561,0.0674,0.0558,0.067
E11,0.7899,0.3079,0.0577,9.6581,-4.3614,1.0978,-27.8563,0.053,0.063,0.0528,0.0626
F11,0.799,0.3084,0.0616,9.3278,-4.0968,1.1074,-26.2041,0.0553,0.0691,0.0549,0.0684
G11,0.8083,0.3174,0.0658,9.3236,-3.9984,1.1257,-24.3753,0.0585,0.0745,0.058,0.0736
