Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B4,0.749,0.974,0.0702,5.7664,-3.4428,1.723,-23.5331,0.0669,0.0738,0.0668,0.0736
C4,0.7496,0.917,0.0765,5.0696,-3.3196,1.6666,-21.8589,0.0719,0.0815,0.0718,0.0813
D4,0.7566,0.848,0.0988,5.3394,-3.0235,1.6046,-15.7721,0.0885,0.1114,0.0876,0.11
E4,0.7548,0.8766,0.0868,4.9281,-3.1029,1.6314,-19.0003,0.0795,0.0954,0.079,0.0947
F4,0.7556,0.8698,0.0905,4.9811,-3.1602,1.6253,-18.0101,0.0832,0.099,0.0827,0.0983
G4,0.7273,1.0314,0.0818,3.7479,-2.9071,1.7586,-20.7237,0.0751,0.0895,0.0746,0.0889
B5,0.7784,0.8945,0.1325,6.3857,-2.9683,1.6729,-9.8814,0.1173,0.1511,0.1159,0.1491
C5,0.7908,0.7884,0.2065,6.7625,-3.134,1.5791,-3.9474,0.1818,0.2363,0.1797,0.2333
D5,0.7796,0.7832,0.1445,6.5976,-3.3717,1.5628,-8.3706,0.1319,0.1589,0.1311,0.1578
E5,0.7759,0.8079,0.1276,6.2628,-3.494,1.5837,-10.5589,0.1186,0.1378,0.1182,0.1371
F5,0.7838,0.803,0.1409,6.3462,-3.41,1.5868,-9.0696,0.1297,0.1537,0.1291,0.1528
G5,0.7895,0.8603,0.1676,6.1757,-2.8966,1.6497,-6.9252,0.1444,0.1966,0.142,0.1933
B6,0.7919,0.9259,0.1771,6.6129,-3.3319,1.7178,-5.8387,0.1633,0.193,0.1625,0.1918
C6,0.7878,0.846,0.1946,6.0889,-3.5281,1.6338,-5.2162,0.1813,0.2094,0.1807,0.2085
D6,0.7901,0.8713,0.1917,6.1108,-3.4498,1.6614,-5.3899,0.1772,0.2081,0.1765,0.207
E6,0.7844,0.8561,0.1956,6.4078,-3.373,1.6405,-4.7947,0.179,0.2144,0.1781,0.2131
F6,0.7941,0.857,0.1681,5.8641,-3.5229,1.6511,-7.2793,0.1569,0.1806,0.1563,0.1798
G6,0.7845,0.9294,0.1688,5.9336,-3.3222,1.7139,-6.9963,0.156,0.1834,0.1553,0.1824
B7,0.7822,0.6422,0.1029,7.6567,-3.9575,1.4244,-13.3012,0.0964,0.1101,0.0962,0.1096
C7,0.7934,0.7736,0.1209,6.8953,-3.6225,1.5669,-11.244,0.1113,0.1318,0.1109,0.1309
D7,0.7839,0.5854,0.1603,8.8419,-3.3826,1.3693,-4.7495,0.1422,0.1823,0.1406,0.18
E7,0.7853,0.5827,0.1482,7.604,-3.5512,1.368,-7.1034,0.1341,0.1646,0.1331,0.1632
F7,0.7859,0.6349,0.1451,7.4078,-3.4802,1.4208,-7.6147,0.1325,0.1596,0.1317,0.1585
G7,0.7943,0.7227,0.1307,7.1477,-3.6941,1.517,-9.6774,0.1215,0.1408,0.1212,0.1402
