Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B3,0.993,1.3445,0.1388,7.269,-3.6951,2.3374,-12.4833,0.1327,0.1459,0.1323,0.1452
B5,0.9818,0.8114,0.185,4.7022,-3.6333,1.7932,-10.0226,0.17,0.2022,0.1693,0.2007
C3,0.9904,1.0758,0.1879,8.7438,-3.5367,2.0662,-5.8875,0.1724,0.2063,0.1712,0.2045
C5,1.0095,0.7467,0.2458,5.0487,-3.2879,1.7562,-6.4128,0.2174,0.2798,0.2153,0.2764
D3,0.9789,1.172,0.1362,8.3449,-4.0626,2.1509,-11.4975,0.1313,0.1418,0.131,0.1413
D5,0.9926,0.6989,0.2127,5.2947,-3.3943,1.6916,-7.6936,0.1898,0.2397,0.1883,0.237
E3,0.9951,0.9916,0.1238,6.7622,-4.1684,1.9867,-15.3819,0.1192,0.1288,0.1191,0.1286
E5,1.0001,0.7303,0.2308,5.1444,-3.3917,1.7304,-6.9325,0.2062,0.2599,0.2046,0.2571
F3,0.9965,1.1385,0.1155,6.6761,-3.7459,2.135,-17.076,0.1101,0.1218,0.1097,0.1212
F5,1.0043,0.7067,0.2247,5.0398,-3.4022,1.711,-7.4085,0.2008,0.253,0.1992,0.2503
G3,0.983,1.1155,0.109,6.5087,-3.9073,2.0985,-18.2986,0.1047,0.114,0.1045,0.1136
G5,1.0034,0.7631,0.1848,4.8859,-3.7009,1.7665,-10.1708,0.1691,0.2028,0.1684,0.2013
