Time,T 415,B2,B3,B4,B5,C2,C3,C4,C5,D2,D3,D4,D5,E2,E3,E4,E5,F2,F3,F4,F5,G2,G3,G4,G5
0:00:00,23,0.779,0.757,0.767,0.77,0.782,0.797,0.774,0.775,0.773,0.778,0.782,0.763,0.771,0.798,0.761,0.762,0.781,0.806,0.769,0.761,0.778,0.798,0.778,0.751
0:15:00,34.9,0.78,0.76,0.769,0.772,0.784,0.8,0.776,0.777,0.775,0.781,0.785,0.766,0.774,0.8,0.763,0.765,0.783,0.808,0.771,0.763,0.78,0.802,0.781,0.755
0:30:00,37,0.782,0.763,0.773,0.774,0.787,0.802,0.78,0.781,0.777,0.783,0.788,0.768,0.776,0.801,0.766,0.768,0.786,0.809,0.774,0.766,0.784,0.805,0.784,0.757
0:45:00,37,0.782,0.761,0.773,0.772,0.786,0.801,0.779,0.778,0.776,0.783,0.788,0.767,0.775,0.8,0.766,0.766,0.786,0.807,0.774,0.763,0.783,0.804,0.785,0.755
1:00:00,37,0.781,0.759,0.771,0.771,0.784,0.798,0.777,0.775,0.774,0.783,0.786,0.764,0.774,0.798,0.764,0.764,0.783,0.804,0.772,0.762,0.78,0.803,0.783,0.755
1:15:00,37,0.779,0.756,0.769,0.769,0.783,0.796,0.775,0.771,0.773,0.781,0.784,0.762,0.772,0.796,0.762,0.76,0.781,0.802,0.77,0.76,0.777,0.801,0.781,0.753
1:30:00,37,0.774,0.754,0.767,0.766,0.779,0.794,0.773,0.768,0.77,0.778,0.781,0.758,0.771,0.795,0.76,0.756,0.78,0.8,0.768,0.756,0.775,0.797,0.778,0.751
1:45:00,37,0.775,0.752,0.765,0.763,0.778,0.791,0.771,0.766,0.767,0.776,0.779,0.755,0.769,0.793,0.758,0.753,0.779,0.798,0.766,0.754,0.773,0.794,0.776,0.749
2:00:00,36.9,0.772,0.751,0.763,0.761,0.777,0.789,0.768,0.763,0.765,0.775,0.776,0.753,0.768,0.791,0.756,0.75,0.776,0.797,0.763,0.751,0.772,0.793,0.774,0.747
2:15:00,37,0.769,0.747,0.761,0.759,0.775,0.787,0.766,0.761,0.764,0.773,0.774,0.75,0.766,0.787,0.753,0.748,0.774,0.795,0.761,0.749,0.771,0.791,0.772,0.745
2:30:00,37,0.764,0.744,0.758,0.757,0.768,0.785,0.764,0.759,0.76,0.771,0.771,0.747,0.763,0.785,0.751,0.746,0.774,0.792,0.759,0.747,0.768,0.79,0.77,0.743
2:45:00,37,0.763,0.741,0.757,0.755,0.763,0.783,0.762,0.755,0.758,0.77,0.769,0.745,0.759,0.783,0.749,0.744,0.77,0.789,0.756,0.745,0.764,0.789,0.768,0.741
3:00:00,37,0.761,0.738,0.754,0.753,0.759,0.78,0.758,0.754,0.754,0.768,0.767,0.743,0.752,0.782,0.747,0.742,0.764,0.788,0.754,0.742,0.758,0.786,0.766,0.739
3:15:00,37,0.757,0.735,0.753,0.751,0.758,0.777,0.758,0.752,0.749,0.764,0.765,0.741,0.748,0.78,0.745,0.74,0.759,0.784,0.752,0.741,0.756,0.783,0.764,0.737
3:30:00,37,0.753,0.733,0.751,0.75,0.757,0.776,0.756,0.75,0.747,0.76,0.763,0.739,0.747,0.777,0.742,0.738,0.755,0.784,0.75,0.739,0.755,0.781,0.762,0.735
3:45:00,37,0.752,0.732,0.75,0.748,0.755,0.773,0.755,0.749,0.745,0.757,0.761,0.737,0.744,0.775,0.741,0.737,0.754,0.781,0.749,0.735,0.751,0.779,0.76,0.734
4:00:00,37,0.75,0.731,0.747,0.747,0.754,0.769,0.752,0.747,0.744,0.753,0.759,0.736,0.742,0.771,0.739,0.735,0.753,0.779,0.747,0.735,0.749,0.777,0.759,0.733
