,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot
s1_1,0,1,0,1,3,1,1,7,13,0,0,,2.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0
s1_2,1,1,0,0,1,1,1,11,9,0,0,6.0,1.0,6.0,1.0,,,6.0,1.0,6.0,1.0,6.0,1.0
s1_4,0,3,0,0,3,1,2,7,8,0,0,,4.666666666666667,0.0,14.0,,,0.0,14.0,,4.666666666666667,0.0,14.0
s1_6,2,3,0,0,0,0,3,8,11,0,0,1.5,1.0,3.0,3.0,,,3.0,3.0,1.5,1.0,3.0,3.0
s1_8,1,1,0,0,4,0,2,15,6,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
s1_9,2,2,0,0,3,1,1,14,7,0,0,1.0,1.0,2.0,2.0,,,2.0,2.0,1.0,1.0,2.0,2.0
s1_10,1,2,0,0,2,2,4,6,9,0,0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0
s1_11,1,3,0,0,5,1,1,5,13,0,0,1.0,1.0,1.0,3.0,,,1.0,3.0,1.0,1.0,1.0,3.0
s1_12,0,0,0,0,2,2,1,6,2,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
s1_13,0,2,1,0,1,1,1,9,12,1,0,,1.0,0.0,2.0,,160.0,0.0,2.0,,54.0,0.0,162.0
s1_14,0,1,0,0,0,1,1,9,4,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_15,0,2,0,1,3,0,3,7,8,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_16,1,1,0,0,0,1,1,3,4,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
s1_17,1,0,0,0,1,0,1,7,7,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
s1_18,0,3,0,2,2,0,0,12,9,0,0,,1.0,0.0,3.0,,,0.0,3.0,,1.0,0.0,3.0
s1_20,1,3,0,0,2,0,1,8,8,0,0,2.0,1.3333333333333333,2.0,4.0,,,2.0,4.0,2.0,1.3333333333333333,2.0,4.0
s1_21,1,0,0,0,1,2,1,9,3,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
s1_22,0,1,0,0,1,1,3,6,8,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_23,0,2,0,0,1,1,5,7,4,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_24,0,1,0,0,0,0,5,4,4,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_25,1,5,0,0,2,0,2,8,10,0,0,2.0,1.0,2.0,5.0,,,2.0,5.0,2.0,1.0,2.0,5.0
s1_26,0,3,0,0,4,0,2,9,11,0,0,,1.0,0.0,3.0,,,0.0,3.0,,1.0,0.0,3.0
s1_27,0,2,0,0,1,1,1,8,7,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_28,0,3,0,0,2,1,1,8,8,0,0,,2.0,0.0,6.0,,,0.0,6.0,,2.0,0.0,6.0
s1_29,0,2,0,0,2,0,1,10,11,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_30,0,1,0,0,4,2,5,12,8,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_33,0,1,0,0,2,0,2,16,7,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_34,1,0,0,0,1,2,0,14,8,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
s1_35,0,1,0,0,1,0,3,6,7,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_36,1,3,0,0,2,0,5,12,7,0,0,1.0,1.0,1.0,3.0,,,1.0,3.0,1.0,1.0,1.0,3.0
s1_37,2,0,0,0,0,0,3,7,10,0,0,2.0,,4.0,0.0,,,4.0,0.0,2.0,,4.0,0.0
s1_38,0,3,0,3,1,2,3,5,3,0,0,,1.0,0.0,3.0,,,0.0,3.0,,1.0,0.0,3.0
s1_39,0,2,0,1,2,1,3,6,4,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_40,0,2,0,0,1,0,3,13,5,0,0,,35.5,0.0,71.0,,,0.0,71.0,,35.5,0.0,71.0
s1_41,0,1,0,0,2,0,1,7,6,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_42,1,2,0,0,2,1,1,8,8,0,0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0
s1_43,0,1,0,0,3,2,3,8,4,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_44,0,3,0,0,0,1,0,11,9,0,0,,1.0,0.0,3.0,,,0.0,3.0,,1.0,0.0,3.0
s1_45,2,2,0,0,0,2,2,7,7,0,0,2.0,1.0,4.0,2.0,,,4.0,2.0,2.0,1.0,4.0,2.0
s1_46,1,4,1,0,0,0,0,5,9,1,0,1.0,3.75,1.0,15.0,,135.0,1.0,15.0,1.0,30.0,1.0,150.0
s1_47,1,0,0,0,2,1,2,6,8,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
s1_48,0,5,0,0,1,2,0,8,6,0,0,,1.2,0.0,6.0,,,0.0,6.0,,1.2,0.0,6.0
s1_49,0,3,0,1,1,1,3,5,10,0,0,,1.0,0.0,3.0,,,0.0,3.0,,1.0,0.0,3.0
s1_50,2,1,0,0,0,0,1,10,9,0,0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0
s1_51,0,1,0,0,0,0,0,7,13,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_52,0,2,0,0,0,1,0,0,4,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_53,1,1,0,0,1,3,5,10,7,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
s1_54,1,5,1,0,1,0,0,12,14,1,0,1.0,1.2,1.0,6.0,,1492.0,1.0,6.0,1.0,249.66666666666666,1.0,1498.0
s1_55,2,3,0,0,0,2,3,9,9,0,0,1.0,1.0,2.0,3.0,,,2.0,3.0,1.0,1.0,2.0,3.0
s1_56,1,2,0,0,3,1,0,11,4,0,0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0
s1_57,0,2,1,0,1,0,1,6,5,1,0,,1.0,0.0,2.0,,428.0,0.0,2.0,,143.33333333333334,0.0,430.0
s1_58,0,1,0,0,1,0,2,6,1,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_59,1,0,0,2,0,0,2,9,3,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
s1_60,0,4,0,0,4,1,0,7,3,0,0,,1.0,0.0,4.0,,,0.0,4.0,,1.0,0.0,4.0
s1_61,1,1,0,1,4,2,8,15,4,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
s1_62,0,4,0,0,1,0,0,6,7,0,0,,1.0,0.0,4.0,,,0.0,4.0,,1.0,0.0,4.0
s1_64,0,3,0,0,4,0,1,5,8,0,0,,1.0,0.0,3.0,,,0.0,3.0,,1.0,0.0,3.0
s1_65,0,3,0,0,1,1,3,8,6,0,0,,1.0,0.0,3.0,,,0.0,3.0,,1.0,0.0,3.0
s1_66,0,2,0,0,3,2,3,11,8,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
