,dN,dS,dN_dS,in_CDS,not_in_CDS
s1_1,17,6,0.7424162296166019,22,4
s1_2,17,3,1.4848379096097601,19,4
s1_4,13,6,0.5677293298623234,18,3
s1_6,15,2,1.9652277894742787,16,7
s1_8,19,6,0.8297598475096344,24,3
s1_9,20,8,0.6550721707916335,27,0
s1_10,19,3,1.6595257866205024,21,2
s1_11,21,4,1.3756587325555312,24,2
s1_12,9,1,2.3582716964058004,9,4
s1_13,17,1,4.454524629627528,17,7
s1_14,11,1,2.8823339215695096,11,4
s1_15,10,8,0.3275350352839548,17,5
s1_16,7,3,0.6114018849229946,9,0
s1_17,10,4,0.6550732766684936,13,3
s1_18,21,3,1.8342138876741874,23,2
s1_20,12,6,0.524057674933632,17,2
s1_21,12,4,0.7860884360634347,15,1
s1_22,15,2,1.9652277894742787,16,4
s1_23,17,2,2.2272595895816307,18,0
s1_24,9,2,1.1791344054366477,10,3
s1_25,16,3,1.3974940550995192,18,4
s1_26,22,4,1.4411667532999997,25,2
s1_27,13,3,1.135462827654315,15,3
s1_28,16,3,1.3974940550995192,18,2
s1_29,20,2,2.620307919786301,21,3
s1_30,23,3,2.0089022127411447,25,6
s1_33,23,2,3.0133570061094437,24,4
s1_34,22,1,5.764688173550236,22,3
s1_35,14,3,1.22280651412943,16,2
s1_36,16,4,1.0481192588885166,19,7
s1_37,18,1,4.716557002360444,18,2
s1_38,13,4,0.8515960787623889,16,1
s1_39,12,3,1.0481191971857244,14,3
s1_40,18,3,1.5721818201116897,20,2
s1_41,13,2,1.7031963254300282,14,3
s1_42,10,5,0.5240579801166515,14,7
s1_43,12,4,0.7860884360634347,15,6
s1_44,19,3,1.6595257866205024,21,1
s1_45,15,2,1.9652277894742787,16,3
s1_46,13,1,3.406396818856798,13,1
s1_47,17,3,1.4848379096097601,19,0
s1_48,11,5,0.576463962946157,15,3
s1_49,20,2,2.620307919786301,21,1
s1_50,15,4,0.9826114901748759,18,2
s1_51,11,4,0.720580835357926,14,6
s1_52,5,1,1.310149262260748,5,0
s1_53,21,4,1.3756587325555312,24,2
s1_54,19,3,1.6595257866205024,21,7
s1_55,22,1,5.764688173550236,22,1
s1_56,13,5,0.6812760294255229,17,2
s1_57,11,1,2.8823339215695096,11,2
s1_58,8,1,2.0962408358527362,8,2
s1_59,13,2,1.7031963254300282,14,2
s1_60,10,5,0.5240579801166515,14,1
s1_61,25,4,1.637691067565579,28,6
s1_62,12,1,3.1443652862259546,12,2
s1_64,14,3,1.22280651412943,16,2
s1_65,14,3,1.22280651412943,16,3
s1_66,18,7,0.6737889109115252,24,3
s1_67,15,3,1.3101502566111407,17,3
s1_68,24,3,2.0962464592854504,26,5
s1_69,18,2,2.358275615639391,19,7
s1_71,20,3,1.74686980913627,22,5
s1_72,15,2,1.9652277894742787,16,3
s1_73,18,6,0.7860880245614488,23,2
s1_74,13,5,0.6812760294255229,17,3
s1_75,19,1,4.97858954311442,19,1
s1_76,24,4,1.5721829208049698,27,5
s1_77,10,3,0.8734321042527046,12,2
s1_78,26,2,3.4064068485312826,27,2
s1_79,13,2,1.7031963254300282,14,8
s1_80,27,3,2.358279534977664,29,2
s1_81,7,1,1.8342101433185778,7,1
s1_82,19,2,2.489291725707578,20,1
s1_83,20,4,1.3101507538049932,23,2
s1_85,25,5,1.3101512509993956,29,6
s1_86,22,4,1.4411667532999997,25,3
s1_88,23,4,1.5066748160497945,26,1
s1_89,13,3,1.135462827654315,15,3
s1_90,21,3,1.8342138876741874,23,4
s1_91,28,5,1.4673708124923521,32,3
s1_93,20,3,1.74686980913627,22,2
s1_94,12,1,3.1443652862259546,12,4
s1_95,23,3,2.0089022127411447,25,3
s1_96,17,3,1.4848379096097601,19,3
