,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot
3B_1,1,0,0,0,0,2,0,1,4,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
3B_2,0,1,0,0,0,1,0,4,0,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_3,2,1,0,0,0,0,0,13,4,0,0,2.0,1.0,4.0,1.0,,,4.0,1.0,2.0,1.0,4.0,1.0
3B_6,0,1,0,0,0,0,0,3,1,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_7,0,0,0,0,0,0,0,11,3,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_8,0,2,0,0,1,0,0,13,4,0,0,,2.0,0.0,4.0,,,0.0,4.0,,2.0,0.0,4.0
3B_13,0,2,0,1,0,0,0,6,4,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
3B_15,0,0,0,0,0,0,0,3,4,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_17,0,1,0,0,0,0,0,4,5,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_18,0,0,0,0,0,0,0,1,2,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_20,0,1,0,0,0,0,0,6,2,0,0,,3.0,0.0,3.0,,,0.0,3.0,,3.0,0.0,3.0
3B_21,0,2,0,0,0,1,0,7,3,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
3B_22,0,0,0,0,1,0,0,6,2,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_26,0,1,0,0,0,1,0,7,1,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_29,1,2,0,0,0,0,0,7,1,0,0,9.0,1.0,9.0,2.0,,,9.0,2.0,9.0,1.0,9.0,2.0
3B_31,1,1,0,0,0,1,1,7,2,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
3B_34,1,0,0,0,0,1,1,6,5,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
3B_35,1,0,0,1,1,0,0,4,1,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
3B_36,2,1,0,0,0,0,0,10,2,0,0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0
3B_40,0,2,0,0,0,0,0,5,3,0,0,,2.0,0.0,4.0,,,0.0,4.0,,2.0,0.0,4.0
3B_41,1,1,0,0,0,1,0,3,4,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
3B_42,1,4,0,0,0,1,0,6,4,0,0,3.0,1.75,3.0,7.0,,,3.0,7.0,3.0,1.75,3.0,7.0
3B_44,0,2,0,0,0,0,0,1,2,0,0,,1.5,0.0,3.0,,,0.0,3.0,,1.5,0.0,3.0
3B_45,0,0,0,0,0,1,0,4,1,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_47,0,1,0,0,0,0,0,3,3,0,0,,3.0,0.0,3.0,,,0.0,3.0,,3.0,0.0,3.0
3B_49,0,3,0,0,0,0,1,2,7,0,0,,5.333333333333333,0.0,16.0,,,0.0,16.0,,5.333333333333333,0.0,16.0
3B_51,0,2,0,0,0,0,0,4,4,0,0,,1.5,0.0,3.0,,,0.0,3.0,,1.5,0.0,3.0
3B_52,1,1,0,1,0,0,0,3,0,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
3B_53,0,3,0,0,0,0,0,7,1,0,0,,2.0,0.0,6.0,,,0.0,6.0,,2.0,0.0,6.0
3B_54,0,0,0,0,0,0,0,7,3,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_55,0,1,0,0,0,2,0,10,3,0,0,,2.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0
3B_56,0,1,0,0,0,0,0,5,0,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_58,0,1,0,0,0,0,0,7,2,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_62,0,1,0,0,0,0,0,6,3,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_63,0,2,0,0,0,1,0,5,3,0,0,,2.0,0.0,4.0,,,0.0,4.0,,2.0,0.0,4.0
3B_64,1,0,0,0,0,0,0,8,5,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
3B_66,0,3,0,1,0,0,0,5,2,0,0,,1.3333333333333333,0.0,4.0,,,0.0,4.0,,1.3333333333333333,0.0,4.0
3B_72,0,0,0,0,0,0,0,5,4,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_73,0,0,0,0,1,0,1,7,0,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_74,1,1,0,0,0,1,0,9,3,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
3B_75,0,1,0,0,0,0,0,5,2,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_76,1,3,0,1,0,0,0,4,2,0,0,1.0,1.6666666666666667,1.0,5.0,,,1.0,5.0,1.0,1.6666666666666667,1.0,5.0
3B_78,1,3,0,0,0,1,0,10,2,0,0,2.0,1.6666666666666667,2.0,5.0,,,2.0,5.0,2.0,1.6666666666666667,2.0,5.0
3B_79,0,0,0,0,0,0,0,3,6,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_80,0,0,0,0,1,0,0,12,0,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_81,0,1,0,0,0,0,0,4,3,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
3B_82,0,2,0,2,1,0,0,6,4,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
3B_83,0,0,0,0,1,0,0,4,4,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
3B_84,0,1,0,0,0,0,0,4,1,0,0,,3.0,0.0,3.0,,,0.0,3.0,,3.0,0.0,3.0
3B_85,1,3,0,0,0,1,0,7,0,0,0,1.0,1.6666666666666667,1.0,5.0,,,1.0,5.0,1.0,1.6666666666666667,1.0,5.0
3B_86,2,0,0,0,0,0,0,13,0,0,0,2.0,,4.0,0.0,,,4.0,0.0,2.0,,4.0,0.0
