Gene,Length,Observed,Expected,Multiplicity,-log10(P)
MMSYN1_0001, 1092.0, 10, 0.26, 8.23, 12.4944
MMSYN1_0228, 1463.3, 6, 0.35, 3.69, 5.72342
MMSYN1_0339, 1490.0, 6, 0.36, 3.62, 5.67872
MMSYN1_0641, 792.7, 6, 0.19, 6.81, 7.26153
MMSYN1_0032, 2543.7, 5, 0.61, 1.77, 3.37728
MMSYN1_0149, 368.7, 4, 0.09, 9.75, 5.6298
MMSYN1_0831, 817.3, 3, 0.20, 3.30, 2.96845
MMSYN1_0471, 105.0, 2, 0.03, 17.12, 3.50868
